51 0 AP890908-0222    1 17.06233 BM25_short 
66 0 AP891129-0149  186 6.41495 BM25_short 
66 0 AP890426-0244  187 6.38943 BM25_short 
66 0 AP891020-0119  188 6.38943 BM25_short 
66 0 AP890824-0163  189 6.38029 BM25_short 
66 0 AP891206-0204  190 6.38029 BM25_short 
66 0 AP891111-0073  191 6.35498 BM25_short 
66 0 AP890224-0144  192 6.33577 BM25_short 
66 0 AP890320-0225  193 6.33524 BM25_short 
66 0 AP890327-0005  194 6.33524 BM25_short 
66 0 AP890619-0247  195 6.33524 BM25_short 
66 0 AP890814-0186  196 6.33524 BM25_short 
66 0 AP890817-0121  197 6.33524 BM25_short 
66 0 AP890612-0082  198 6.32195 BM25_short 
66 0 AP890327-0193  199 6.31281 BM25_short 
66 0 AP890509-0069  200 6.31281 BM25_short 
66 0 AP891120-0168  201 6.31281 BM25_short 
66 0 AP890302-0132  202 6.31173 BM25_short 
66 0 AP890830-0055  203 6.31173 BM25_short 
66 0 AP891214-0227  204 6.30572 BM25_short 
66 0 AP890622-0241  205 6.28063 BM25_short 
66 0 AP891002-0312  206 6.28063 BM25_short 
66 0 AP890308-0288  207 6.27165 BM25_short 
66 0 AP890519-0176  208 6.27165 BM25_short 
66 0 AP890619-0297  209 6.27165 BM25_short 
66 0 AP891207-0201  210 6.27165 BM25_short 
66 0 AP890125-0118  211 6.21430 BM25_short 
66 0 AP890425-0285  212 6.21430 BM25_short 
66 0 AP891206-0195  213 6.21430 BM25_short 
66 0 AP890302-0248  214 6.20597 BM25_short 
66 0 AP891214-0239  215 6.20426 BM25_short 
66 0 AP890103-0111  216 6.14099 BM25_short 
66 0 AP890105-0101  217 6.14099 BM25_short 
66 0 AP890306-0279  218 6.14099 BM25_short 
66 0 AP890313-0196  219 6.14099 BM25_short 
66 0 AP890407-0300  220 6.14099 BM25_short 
66 0 AP890410-0086  221 6.14099 BM25_short 
66 0 AP890418-0146  222 6.14099 BM25_short 
66 0 AP890419-0285  223 6.14099 BM25_short 
66 0 AP890520-0034  224 6.14099 BM25_short 
66 0 AP890524-0077  225 6.14099 BM25_short 
66 0 AP890703-0161  226 6.14099 BM25_short 
66 0 AP890731-0235  227 6.14099 BM25_short 
66 0 AP890811-0227  228 6.14099 BM25_short 
66 0 AP890819-0075  229 6.14099 BM25_short 
66 0 AP890830-0225  230 6.14099 BM25_short 
66 0 AP890906-0133  231 6.14099 BM25_short 
66 0 AP890926-0150  232 6.14099 BM25_short 
66 0 AP891011-0293  233 6.14099 BM25_short 
66 0 AP891020-0159  234 6.14099 BM25_short 
66 0 AP891023-0264  235 6.14099 BM25_short 
66 0 AP891116-0063  236 6.14099 BM25_short 
66 0 AP890107-0004  237 6.13165 BM25_short 
66 0 AP890112-0132  238 6.13165 BM25_short 
66 0 AP890120-0057  239 6.13165 BM25_short 
66 0 AP890210-0145  240 6.13165 BM25_short 
66 0 AP890216-0170  241 6.13165 BM25_short 
66 0 AP890329-0093  242 6.13165 BM25_short 
66 0 AP890407-0186  243 6.13165 BM25_short 
66 0 AP890510-0242  244 6.13165 BM25_short 
66 0 AP890516-0271  245 6.13165 BM25_short 
66 0 AP890517-0162  246 6.13165 BM25_short 
66 0 AP890601-0384  247 6.13165 BM25_short 
66 0 AP890616-0189  248 6.13165 BM25_short 
66 0 AP890719-0245  249 6.13165 BM25_short 
66 0 AP890831-0026  250 6.13165 BM25_short 
66 0 AP890928-0181  251 6.13165 BM25_short 
66 0 AP890929-0062  252 6.13165 BM25_short 
66 0 AP891025-0220  253 6.13165 BM25_short 
66 0 AP891026-0261  254 6.13165 BM25_short 
66 0 AP891109-0202  255 6.13165 BM25_short 
66 0 AP891229-0238  256 6.13165 BM25_short 
66 0 AP891229-0239  257 6.13165 BM25_short 
66 0 AP891230-0072  258 6.13165 BM25_short 
66 0 AP890203-0207  259 6.12495 BM25_short 
66 0 AP891021-0149  260 6.12495 BM25_short 
66 0 AP891211-0232  261 6.12495 BM25_short 
66 0 AP890129-0021  262 6.12176 BM25_short 
66 0 AP890225-0093  263 6.12176 BM25_short 
66 0 AP890316-0147  264 6.12176 BM25_short 
66 0 AP890412-0103  265 6.12176 BM25_short 
66 0 AP890427-0054  266 6.12176 BM25_short 
66 0 AP890505-0076  267 6.12176 BM25_short 
66 0 AP890522-0302  268 6.12176 BM25_short 
66 0 AP890705-0173  269 6.12176 BM25_short 
66 0 AP890712-0043  270 6.12176 BM25_short 
66 0 AP890725-0197  271 6.12176 BM25_short 
66 0 AP890727-0095  272 6.12176 BM25_short 
66 0 AP890728-0029  273 6.12176 BM25_short 
66 0 AP891025-0273  274 6.12176 BM25_short 
66 0 AP891107-0057  275 6.12176 BM25_short 
66 0 AP891218-0140  276 6.12176 BM25_short 
66 0 AP890302-0114  277 6.11438 BM25_short 
66 0 AP890901-0190  278 6.11438 BM25_short 
66 0 AP891018-0119  279 6.11438 BM25_short 
66 0 AP891108-0196  280 6.11438 BM25_short 
66 0 AP890301-0013  281 6.10862 BM25_short 
66 0 AP891108-0225  282 6.10862 BM25_short 
66 0 AP890121-0027  283 6.07986 BM25_short 
66 0 AP890716-0064  284 6.07986 BM25_short 
66 0 AP890729-0076  285 6.07986 BM25_short 
66 0 AP890924-0012  286 6.07986 BM25_short 
66 0 AP890926-0061  287 6.07986 BM25_short 
66 0 AP890926-0209  288 6.07986 BM25_short 
66 0 AP891005-0255  289 6.06680 BM25_short 
66 0 AP890825-0147  290 6.02066 BM25_short 
66 0 AP890123-0093  291 6.01027 BM25_short 
66 0 AP890202-0075  292 6.01027 BM25_short 
66 0 AP890319-0059  293 6.01027 BM25_short 
66 0 AP890413-0148  294 6.01027 BM25_short 
66 0 AP890508-0286  295 6.01027 BM25_short 
66 0 AP890724-0071  296 6.01027 BM25_short 
66 0 AP890911-0235  297 6.01027 BM25_short 
66 0 AP890111-0168  298 6.00460 BM25_short 
66 0 AP890816-0264  299 6.00460 BM25_short 
66 0 AP890125-0320  300 5.97634 BM25_short 
66 0 AP890419-0025  301 5.97634 BM25_short 
66 0 AP890525-0011  302 5.97634 BM25_short 
66 0 AP891020-0308  303 5.97634 BM25_short 
66 0 AP890204-0058  304 5.97235 BM25_short 
66 0 AP890210-0146  305 5.97235 BM25_short 
66 0 AP890217-0060  306 5.97235 BM25_short 
66 0 AP890306-0261  307 5.97235 BM25_short 
66 0 AP890417-0067  308 5.97235 BM25_short 
66 0 AP890709-0040  309 5.97235 BM25_short 
66 0 AP890726-0056  310 5.97235 BM25_short 
66 0 AP890802-0204  311 5.97235 BM25_short 
66 0 AP890822-0167  312 5.97235 BM25_short 
66 0 AP891206-0081  313 5.97235 BM25_short 
66 0 AP890525-0226  314 5.90840 BM25_short 
66 0 AP890829-0112  315 5.90840 BM25_short 
66 0 AP890130-0223  316 5.89247 BM25_short 
66 0 AP891016-0226  317 5.89247 BM25_short 
66 0 AP890105-0156  318 5.87066 BM25_short 
66 0 AP890131-0293  319 5.87066 BM25_short 
66 0 AP890308-0169  320 5.87066 BM25_short 
66 0 AP890404-0141  321 5.87066 BM25_short 
66 0 AP890406-0153  322 5.87066 BM25_short 
66 0 AP890406-0234  323 5.87066 BM25_short 
66 0 AP890409-0014  324 5.87066 BM25_short 
66 0 AP890818-0023  325 5.87066 BM25_short 
66 0 AP891226-0209  326 5.87066 BM25_short 
66 0 AP890726-0001  327 5.80780 BM25_short 
66 0 AP890222-0014  328 5.79863 BM25_short 
66 0 AP890223-0070  329 5.79863 BM25_short 
66 0 AP890301-0048  330 5.79863 BM25_short 
66 0 AP890313-0025  331 5.79863 BM25_short 
66 0 AP890510-0078  332 5.79863 BM25_short 
66 0 AP890605-0175  333 5.79863 BM25_short 
66 0 AP890615-0078  334 5.79863 BM25_short 
66 0 AP890621-0201  335 5.79863 BM25_short 
66 0 AP890705-0038  336 5.79863 BM25_short 
66 0 AP890915-0146  337 5.79863 BM25_short 
66 0 AP890925-0130  338 5.79863 BM25_short 
66 0 AP891009-0038  339 5.79863 BM25_short 
66 0 AP891010-0122  340 5.79863 BM25_short 
66 0 AP891011-0120  341 5.79863 BM25_short 
66 0 AP891016-0077  342 5.79863 BM25_short 
66 0 AP891109-0032  343 5.79863 BM25_short 
66 0 AP890411-0212  344 5.79213 BM25_short 
66 0 AP890128-0086  345 5.78881 BM25_short 
66 0 AP890317-0053  346 5.78881 BM25_short 
66 0 AP890404-0208  347 5.78881 BM25_short 
66 0 AP890507-0089  348 5.78881 BM25_short 
66 0 AP890710-0022  349 5.78881 BM25_short 
66 0 AP890801-0089  350 5.78881 BM25_short 
66 0 AP890809-0018  351 5.78881 BM25_short 
66 0 AP890915-0074  352 5.78881 BM25_short 
66 0 AP891229-0046  353 5.78881 BM25_short 
66 0 AP890320-0229  354 5.73254 BM25_short 
66 0 AP890322-0274  355 5.73254 BM25_short 
66 0 AP890411-0038  356 5.73254 BM25_short 
66 0 AP890501-0264  357 5.73254 BM25_short 
66 0 AP890506-0028  358 5.73254 BM25_short 
66 0 AP890613-0156  359 5.73254 BM25_short 
66 0 AP890627-0204  360 5.73254 BM25_short 
66 0 AP890727-0004  361 5.73254 BM25_short 
66 0 AP890803-0256  362 5.73254 BM25_short 
66 0 AP890804-0109  363 5.73254 BM25_short 
66 0 AP890908-0098  364 5.73254 BM25_short 
66 0 AP891115-0023  365 5.73254 BM25_short 
66 0 AP891220-0048  366 5.73254 BM25_short 
66 0 AP890201-0184  367 5.69989 BM25_short 
66 0 AP890201-0215  368 5.69989 BM25_short 
66 0 AP890215-0237  369 5.69989 BM25_short 
66 0 AP890411-0109  370 5.69989 BM25_short 
66 0 AP890424-0024  371 5.69989 BM25_short 
66 0 AP890501-0262  372 5.69989 BM25_short 
66 0 AP890502-0248  373 5.69989 BM25_short 
66 0 AP890614-0130  374 5.69989 BM25_short 
66 0 AP890627-0031  375 5.69989 BM25_short 
66 0 AP890627-0140  376 5.69989 BM25_short 
66 0 AP890710-0029  377 5.69989 BM25_short 
66 0 AP890920-0251  378 5.69989 BM25_short 
66 0 AP891017-0085  379 5.69989 BM25_short 
66 0 AP891019-0321  380 5.69989 BM25_short 
66 0 AP891225-0045  381 5.69989 BM25_short 
66 0 AP891124-0232  382 5.68806 BM25_short 
66 0 AP890102-0144  383 5.67718 BM25_short 
66 0 AP890130-0198  384 5.67718 BM25_short 
66 0 AP890206-0003  385 5.67718 BM25_short 
66 0 AP890412-0221  386 5.67718 BM25_short 
66 0 AP890831-0181  387 5.67718 BM25_short 
66 0 AP890901-0085  388 5.67718 BM25_short 
66 0 AP891015-0049  389 5.67718 BM25_short 
66 0 AP891206-0052  390 5.67718 BM25_short 
66 0 AP890205-0039  391 5.65828 BM25_short 
66 0 AP890719-0023  392 5.65828 BM25_short 
66 0 AP890825-0134  393 5.65828 BM25_short 
66 0 AP890201-0278  394 5.64448 BM25_short 
66 0 AP890208-0318  395 5.64448 BM25_short 
66 0 AP890221-0087  396 5.64448 BM25_short 
66 0 AP890222-0082  397 5.64448 BM25_short 
66 0 AP890302-0243  398 5.64448 BM25_short 
66 0 AP890302-0285  399 5.64448 BM25_short 
66 0 AP890307-0262  400 5.64448 BM25_short 
66 0 AP890322-0024  401 5.64448 BM25_short 
66 0 AP890323-0105  402 5.64448 BM25_short 
66 0 AP890328-0016  403 5.64448 BM25_short 
66 0 AP890330-0256  404 5.64448 BM25_short 
66 0 AP890414-0073  405 5.64448 BM25_short 
66 0 AP890426-0113  406 5.64448 BM25_short 
66 0 AP890502-0059  407 5.64448 BM25_short 
66 0 AP890507-0019  408 5.64448 BM25_short 
66 0 AP890514-0062  409 5.64448 BM25_short 
66 0 AP890515-0295  410 5.64448 BM25_short 
66 0 AP890523-0209  411 5.64448 BM25_short 
66 0 AP890527-0100  412 5.64448 BM25_short 
66 0 AP890615-0061  413 5.64448 BM25_short 
66 0 AP890621-0049  414 5.64448 BM25_short 
66 0 AP890630-0254  415 5.64448 BM25_short 
66 0 AP890719-0246  416 5.64448 BM25_short 
66 0 AP890729-0009  417 5.64448 BM25_short 
66 0 AP890802-0182  418 5.64448 BM25_short 
66 0 AP890817-0224  419 5.64448 BM25_short 
66 0 AP890822-0022  420 5.64448 BM25_short 
66 0 AP890824-0129  421 5.64448 BM25_short 
66 0 AP890903-0060  422 5.64448 BM25_short 
66 0 AP890921-0106  423 5.64448 BM25_short 
66 0 AP890924-0053  424 5.64448 BM25_short 
66 0 AP891010-0137  425 5.64448 BM25_short 
66 0 AP891013-0184  426 5.64448 BM25_short 
66 0 AP891019-0175  427 5.64448 BM25_short 
66 0 AP891021-0140  428 5.64448 BM25_short 
66 0 AP891029-0067  429 5.64448 BM25_short 
66 0 AP891029-0069  430 5.64448 BM25_short 
66 0 AP891103-0114  431 5.64448 BM25_short 
66 0 AP891109-0122  432 5.64448 BM25_short 
66 0 AP891118-0059  433 5.64448 BM25_short 
66 0 AP891122-0126  434 5.64448 BM25_short 
66 0 AP891129-0174  435 5.64448 BM25_short 
66 0 AP891201-0039  436 5.64448 BM25_short 
66 0 AP891208-0119  437 5.64448 BM25_short 
66 0 AP891220-0101  438 5.64448 BM25_short 
66 0 AP891229-0035  439 5.64448 BM25_short 
66 0 AP891230-0039  440 5.64448 BM25_short 
66 0 AP890128-0113  441 5.63493 BM25_short 
66 0 AP890306-0266  442 5.63493 BM25_short 
66 0 AP890426-0108  443 5.63493 BM25_short 
66 0 AP890822-0156  444 5.63493 BM25_short 
66 0 AP891003-0263  445 5.63493 BM25_short 
66 0 AP891017-0154  446 5.63493 BM25_short 
66 0 AP890409-0078  447 5.63409 BM25_short 
66 0 AP890512-0261  448 5.63409 BM25_short 
66 0 AP890512-0288  449 5.63409 BM25_short 
66 0 AP890609-0277  450 5.63409 BM25_short 
66 0 AP890706-0277  451 5.63409 BM25_short 
66 0 AP890711-0025  452 5.63409 BM25_short 
66 0 AP890714-0142  453 5.63409 BM25_short 
66 0 AP890714-0247  454 5.63409 BM25_short 
66 0 AP890714-0249  455 5.63409 BM25_short 
66 0 AP890817-0169  456 5.63409 BM25_short 
66 0 AP890906-0023  457 5.63409 BM25_short 
66 0 AP890907-0229  458 5.63409 BM25_short 
66 0 AP891010-0212  459 5.63409 BM25_short 
66 0 AP891011-0260  460 5.63409 BM25_short 
66 0 AP891013-0145  461 5.63409 BM25_short 
66 0 AP891013-0173  462 5.63409 BM25_short 
66 0 AP891019-0236  463 5.63409 BM25_short 
66 0 AP891118-0136  464 5.63409 BM25_short 
66 0 AP891211-0278  465 5.63409 BM25_short 
66 0 AP890123-0223  466 5.59514 BM25_short 
66 0 AP890129-0004  467 5.59514 BM25_short 
66 0 AP890318-0160  468 5.59514 BM25_short 
66 0 AP890322-0006  469 5.59514 BM25_short 
66 0 AP890327-0185  470 5.59514 BM25_short 
66 0 AP890505-0210  471 5.59514 BM25_short 
66 0 AP890519-0214  472 5.59514 BM25_short 
66 0 AP890525-0004  473 5.59514 BM25_short 
66 0 AP890712-0156  474 5.59514 BM25_short 
66 0 AP890828-0136  475 5.59514 BM25_short 
66 0 AP891026-0226  476 5.59514 BM25_short 
66 0 AP891115-0241  477 5.59514 BM25_short 
66 0 AP891208-0213  478 5.59514 BM25_short 
66 0 AP890102-0087  479 5.56194 BM25_short 
66 0 AP890120-0066  480 5.56194 BM25_short 
66 0 AP890206-0239  481 5.56194 BM25_short 
66 0 AP890221-0138  482 5.56194 BM25_short 
66 0 AP890306-0109  483 5.56194 BM25_short 
66 0 AP890409-0059  484 5.56194 BM25_short 
66 0 AP890601-0081  485 5.56194 BM25_short 
66 0 AP890601-0293  486 5.56194 BM25_short 
66 0 AP890726-0277  487 5.56194 BM25_short 
66 0 AP890823-0014  488 5.56194 BM25_short 
66 0 AP890922-0210  489 5.56194 BM25_short 
66 0 AP891002-0151  490 5.56194 BM25_short 
66 0 AP891002-0327  491 5.56194 BM25_short 
66 0 AP891003-0268  492 5.56194 BM25_short 
66 0 AP891213-0129  493 5.56194 BM25_short 
66 0 AP890124-0002  494 5.54439 BM25_short 
66 0 AP890124-0294  495 5.54439 BM25_short 
66 0 AP890126-0255  496 5.54439 BM25_short 
66 0 AP890203-0182  497 5.54439 BM25_short 
66 0 AP890213-0141  498 5.54439 BM25_short 
66 0 AP890214-0085  499 5.54439 BM25_short 
66 0 AP890223-0201  500 5.54439 BM25_short 
66 0 AP890224-0046  501 5.54439 BM25_short 
66 0 AP890301-0096  502 5.54439 BM25_short 
66 0 AP890322-0332  503 5.54439 BM25_short 
66 0 AP890401-0063  504 5.54439 BM25_short 
66 0 AP890518-0174  505 5.54439 BM25_short 
66 0 AP890520-0010  506 5.54439 BM25_short 
66 0 AP890619-0138  507 5.54439 BM25_short 
66 0 AP890717-0233  508 5.54439 BM25_short 
66 0 AP890728-0297  509 5.54439 BM25_short 
66 0 AP890803-0087  510 5.54439 BM25_short 
66 0 AP890816-0245  511 5.54439 BM25_short 
66 0 AP890829-0190  512 5.54439 BM25_short 
66 0 AP890912-0151  513 5.54439 BM25_short 
66 0 AP890912-0189  514 5.54439 BM25_short 
66 0 AP890929-0033  515 5.54439 BM25_short 
66 0 AP891007-0003  516 5.54439 BM25_short 
66 0 AP891014-0015  517 5.54439 BM25_short 
66 0 AP891016-0232  518 5.54439 BM25_short 
66 0 AP891020-0278  519 5.54439 BM25_short 
66 0 AP891023-0233  520 5.54439 BM25_short 
66 0 AP891202-0018  521 5.54439 BM25_short 
66 0 AP891214-0226  522 5.54439 BM25_short 
66 0 AP891221-0057  523 5.54439 BM25_short 
66 0 AP891227-0080  524 5.54439 BM25_short 
66 0 AP891228-0189  525 5.54439 BM25_short 
66 0 AP890613-0237  526 5.49987 BM25_short 
66 0 AP890326-0014  527 5.41209 BM25_short 
66 0 AP890327-0174  528 5.41209 BM25_short 
66 0 AP890501-0116  529 5.41209 BM25_short 
66 0 AP890630-0155  530 5.41209 BM25_short 
66 0 AP890708-0055  531 5.41209 BM25_short 
66 0 AP890814-0039  532 5.31994 BM25_short 
66 0 AP891206-0168  533 5.31994 BM25_short 
66 0 AP890109-0002  534 5.29523 BM25_short 
66 0 AP890215-0124  535 5.29523 BM25_short 
66 0 AP890221-0159  536 5.29523 BM25_short 
66 0 AP890227-0181  537 5.29523 BM25_short 
66 0 AP890310-0233  538 5.29523 BM25_short 
66 0 AP890329-0186  539 5.29523 BM25_short 
66 0 AP890329-0190  540 5.29523 BM25_short 
66 0 AP890411-0134  541 5.29523 BM25_short 
66 0 AP890510-0064  542 5.29523 BM25_short 
66 0 AP890601-0304  543 5.29523 BM25_short 
66 0 AP890624-0115  544 5.29523 BM25_short 
66 0 AP890629-0102  545 5.29523 BM25_short 
66 0 AP890703-0198  546 5.29523 BM25_short 
66 0 AP890712-0137  547 5.29523 BM25_short 
66 0 AP890720-0279  548 5.29523 BM25_short 
66 0 AP890805-0035  549 5.29523 BM25_short 
66 0 AP890809-0124  550 5.29523 BM25_short 
66 0 AP890914-0195  551 5.29523 BM25_short 
66 0 AP890924-0054  552 5.29523 BM25_short 
66 0 AP891008-0013  553 5.29523 BM25_short 
66 0 AP891012-0133  554 5.29523 BM25_short 
66 0 AP891017-0072  555 5.29523 BM25_short 
66 0 AP891104-0037  556 5.29523 BM25_short 
66 0 AP891108-0175  557 5.29523 BM25_short 
66 0 AP891110-0093  558 5.29523 BM25_short 
66 0 AP891111-0114  559 5.29523 BM25_short 
66 0 AP891125-0046  560 5.29523 BM25_short 
66 0 AP891201-0019  561 5.29523 BM25_short 
66 0 AP891222-0024  562 5.29523 BM25_short 
66 0 AP890109-0066  563 5.23419 BM25_short 
66 0 AP890114-0015  564 5.23419 BM25_short 
66 0 AP890410-0121  565 5.23419 BM25_short 
66 0 AP890419-0062  566 5.23419 BM25_short 
66 0 AP890505-0158  567 5.23419 BM25_short 
66 0 AP890505-0298  568 5.23419 BM25_short 
66 0 AP890517-0119  569 5.23419 BM25_short 
66 0 AP890615-0096  570 5.23419 BM25_short 
66 0 AP890626-0071  571 5.23419 BM25_short 
66 0 AP890727-0248  572 5.23419 BM25_short 
66 0 AP890802-0227  573 5.23419 BM25_short 
66 0 AP890803-0146  574 5.23419 BM25_short 
66 0 AP890804-0011  575 5.23419 BM25_short 
66 0 AP890902-0101  576 5.23419 BM25_short 
66 0 AP890911-0166  577 5.23419 BM25_short 
66 0 AP890918-0021  578 5.23419 BM25_short 
66 0 AP890920-0037  579 5.23419 BM25_short 
66 0 AP890930-0047  580 5.23419 BM25_short 
66 0 AP891017-0022  581 5.23419 BM25_short 
66 0 AP891017-0054  582 5.23419 BM25_short 
66 0 AP891018-0051  583 5.23419 BM25_short 
66 0 AP891022-0099  584 5.23419 BM25_short 
66 0 AP890123-0120  585 5.21534 BM25_short 
66 0 AP890206-0056  586 5.21534 BM25_short 
66 0 AP890302-0249  587 5.21534 BM25_short 
66 0 AP890414-0202  588 5.21534 BM25_short 
66 0 AP890609-0030  589 5.21534 BM25_short 
66 0 AP890923-0038  590 5.21534 BM25_short 
66 0 AP890113-0131  591 5.20507 BM25_short 
66 0 AP890122-0094  592 5.20507 BM25_short 
66 0 AP890123-0259  593 5.20507 BM25_short 
66 0 AP890131-0118  594 5.20507 BM25_short 
66 0 AP890211-0118  595 5.20507 BM25_short 
66 0 AP890214-0246  596 5.20507 BM25_short 
66 0 AP890224-0276  597 5.20507 BM25_short 
66 0 AP890227-0318  598 5.20507 BM25_short 
66 0 AP890301-0187  599 5.20507 BM25_short 
66 0 AP890310-0114  600 5.20507 BM25_short 
66 0 AP890326-0051  601 5.20507 BM25_short 
66 0 AP890328-0228  602 5.20507 BM25_short 
66 0 AP890405-0262  603 5.20507 BM25_short 
66 0 AP890410-0066  604 5.20507 BM25_short 
66 0 AP890419-0118  605 5.20507 BM25_short 
66 0 AP890425-0089  606 5.20507 BM25_short 
66 0 AP890622-0323  607 5.20507 BM25_short 
66 0 AP890803-0307  608 5.20507 BM25_short 
66 0 AP890807-0129  609 5.20507 BM25_short 
66 0 AP890824-0252  610 5.20507 BM25_short 
66 0 AP890912-0123  611 5.20507 BM25_short 
66 0 AP890916-0122  612 5.20507 BM25_short 
66 0 AP890922-0049  613 5.20507 BM25_short 
66 0 AP891006-0131  614 5.20507 BM25_short 
66 0 AP891019-0308  615 5.20507 BM25_short 
66 0 AP891024-0253  616 5.20507 BM25_short 
66 0 AP891030-0270  617 5.20507 BM25_short 
66 0 AP891106-0069  618 5.20507 BM25_short 
66 0 AP891117-0128  619 5.20507 BM25_short 
66 0 AP891127-0130  620 5.20507 BM25_short 
66 0 AP891203-0085  621 5.20507 BM25_short 
66 0 AP891206-0214  622 5.20507 BM25_short 
66 0 AP891218-0157  623 5.20507 BM25_short 
66 0 AP891229-0116  624 5.20507 BM25_short 
66 0 AP890404-0196  625 5.20145 BM25_short 
66 0 AP890530-0143  626 5.20145 BM25_short 
66 0 AP890809-0236  627 5.20145 BM25_short 
66 0 AP890817-0129  628 5.20145 BM25_short 
66 0 AP890829-0067  629 5.20145 BM25_short 
66 0 AP890921-0187  630 5.20145 BM25_short 
66 0 AP890925-0196  631 5.20145 BM25_short 
66 0 AP891012-0010  632 5.20145 BM25_short 
66 0 AP891024-0195  633 5.20145 BM25_short 
66 0 AP891026-0024  634 5.20145 BM25_short 
66 0 AP890126-0175  635 5.14506 BM25_short 
66 0 AP890131-0173  636 5.14506 BM25_short 
66 0 AP890206-0025  637 5.14506 BM25_short 
66 0 AP890227-0267  638 5.14506 BM25_short 
66 0 AP890306-0284  639 5.14506 BM25_short 
66 0 AP890316-0237  640 5.14506 BM25_short 
66 0 AP890319-0058  641 5.14506 BM25_short 
66 0 AP890322-0240  642 5.14506 BM25_short 
66 0 AP890501-0060  643 5.14506 BM25_short 
66 0 AP890518-0035  644 5.14506 BM25_short 
66 0 AP890524-0031  645 5.14506 BM25_short 
66 0 AP890816-0195  646 5.14506 BM25_short 
66 0 AP890819-0148  647 5.14506 BM25_short 
66 0 AP890926-0284  648 5.14506 BM25_short 
66 0 AP891003-0227  649 5.14506 BM25_short 
66 0 AP891031-0042  650 5.14506 BM25_short 
66 0 AP891101-0028  651 5.14506 BM25_short 
66 0 AP891109-0253  652 5.14506 BM25_short 
66 0 AP890111-0270  653 5.12654 BM25_short 
66 0 AP890216-0155  654 5.12654 BM25_short 
66 0 AP890423-0009  655 5.12654 BM25_short 
66 0 AP890426-0279  656 5.12654 BM25_short 
66 0 AP890428-0215  657 5.12654 BM25_short 
66 0 AP890607-0171  658 5.12654 BM25_short 
66 0 AP890617-0060  659 5.12654 BM25_short 
66 0 AP890617-0105  660 5.12654 BM25_short 
66 0 AP890725-0096  661 5.12654 BM25_short 
66 0 AP890727-0178  662 5.12654 BM25_short 
66 0 AP890901-0249  663 5.12654 BM25_short 
66 0 AP891108-0120  664 5.12654 BM25_short 
66 0 AP891128-0085  665 5.12654 BM25_short 
66 0 AP891221-0132  666 5.12654 BM25_short 
66 0 AP890113-0145  667 5.11288 BM25_short 
66 0 AP890116-0226  668 5.11288 BM25_short 
66 0 AP890508-0214  669 5.11288 BM25_short 
66 0 AP890609-0203  670 5.11288 BM25_short 
66 0 AP890618-0085  671 5.11288 BM25_short 
66 0 AP891004-0227  672 5.11288 BM25_short 
66 0 AP890221-0126  673 5.01806 BM25_short 
66 0 AP890228-0193  674 5.01806 BM25_short 
66 0 AP890309-0010  675 5.01806 BM25_short 
66 0 AP890403-0124  676 5.01806 BM25_short 
66 0 AP890407-0025  677 5.01806 BM25_short 
66 0 AP890424-0230  678 5.01806 BM25_short 
66 0 AP890518-0145  679 5.01806 BM25_short 
66 0 AP890605-0137  680 5.01806 BM25_short 
66 0 AP890612-0153  681 5.01806 BM25_short 
66 0 AP890612-0218  682 5.01806 BM25_short 
66 0 AP890726-0311  683 5.01806 BM25_short 
66 0 AP890730-0036  684 5.01806 BM25_short 
66 0 AP890801-0124  685 5.01806 BM25_short 
66 0 AP890801-0215  686 5.01806 BM25_short 
66 0 AP890911-0030  687 5.01806 BM25_short 
66 0 AP890912-0009  688 5.01806 BM25_short 
66 0 AP890920-0112  689 5.01806 BM25_short 
66 0 AP891006-0213  690 5.01806 BM25_short 
66 0 AP891008-0028  691 5.01806 BM25_short 
66 0 AP891011-0177  692 5.01806 BM25_short 
66 0 AP891106-0235  693 5.01806 BM25_short 
66 0 AP891123-0125  694 5.01806 BM25_short 
66 0 AP891129-0191  695 5.01806 BM25_short 
66 0 AP891206-0091  696 5.01806 BM25_short 
66 0 AP891208-0197  697 5.01806 BM25_short 
66 0 AP890615-0215  698 4.94010 BM25_short 
66 0 AP890110-0128  699 4.93872 BM25_short 
66 0 AP890117-0197  700 4.93872 BM25_short 
66 0 AP890120-0108  701 4.93872 BM25_short 
66 0 AP890306-0002  702 4.93872 BM25_short 
66 0 AP890308-0097  703 4.93872 BM25_short 
66 0 AP890502-0211  704 4.93872 BM25_short 
66 0 AP890519-0182  705 4.93872 BM25_short 
66 0 AP890601-0147  706 4.93872 BM25_short 
66 0 AP890602-0059  707 4.93872 BM25_short 
66 0 AP890615-0104  708 4.93872 BM25_short 
66 0 AP890617-0040  709 4.93872 BM25_short 
66 0 AP890626-0167  710 4.93872 BM25_short 
66 0 AP890629-0222  711 4.93872 BM25_short 
66 0 AP890719-0140  712 4.93872 BM25_short 
66 0 AP890729-0102  713 4.93872 BM25_short 
66 0 AP890730-0008  714 4.93872 BM25_short 
66 0 AP890815-0064  715 4.93872 BM25_short 
66 0 AP890831-0152  716 4.93872 BM25_short 
66 0 AP890901-0051  717 4.93872 BM25_short 
66 0 AP890907-0143  718 4.93872 BM25_short 
66 0 AP890911-0082  719 4.93872 BM25_short 
66 0 AP890928-0090  720 4.93872 BM25_short 
66 0 AP891008-0015  721 4.93872 BM25_short 
66 0 AP891018-0132  722 4.93872 BM25_short 
