51 0 AP890518-0275    1 0.54291 VSM_long 
60 0 AP890427-0266  110 0.06870 VSM_long 
60 0 AP890214-0192  111 0.06862 VSM_long 
60 0 AP890113-0290  112 0.06847 VSM_long 
60 0 AP891019-0025  113 0.06827 VSM_long 
60 0 AP891003-0225  114 0.06824 VSM_long 
60 0 AP890616-0232  115 0.06810 VSM_long 
60 0 AP890727-0033  116 0.06754 VSM_long 
60 0 AP891008-0079  117 0.06737 VSM_long 
60 0 AP891101-0199  118 0.06734 VSM_long 
60 0 AP890112-0150  119 0.06729 VSM_long 
60 0 AP890301-0027  120 0.06712 VSM_long 
60 0 AP890224-0229  121 0.06711 VSM_long 
60 0 AP890920-0271  122 0.06694 VSM_long 
60 0 AP891012-0162  123 0.06677 VSM_long 
60 0 AP891201-0067  124 0.06664 VSM_long 
60 0 AP891115-0191  125 0.06634 VSM_long 
60 0 AP890206-0144  126 0.06605 VSM_long 
60 0 AP890612-0278  127 0.06603 VSM_long 
60 0 AP890918-0023  128 0.06574 VSM_long 
60 0 AP890811-0188  129 0.06566 VSM_long 
60 0 AP890324-0237  130 0.06565 VSM_long 
60 0 AP890309-0136  131 0.06554 VSM_long 
60 0 AP890310-0327  132 0.06554 VSM_long 
60 0 AP890208-0022  133 0.06553 VSM_long 
60 0 AP890622-0034  134 0.06548 VSM_long 
60 0 AP890404-0214  135 0.06533 VSM_long 
60 0 AP891128-0089  136 0.06530 VSM_long 
60 0 AP890515-0122  137 0.06473 VSM_long 
60 0 AP890712-0181  138 0.06436 VSM_long 
60 0 AP890903-0025  139 0.06420 VSM_long 
60 0 AP890330-0194  140 0.06411 VSM_long 
60 0 AP890326-0066  141 0.06382 VSM_long 
60 0 AP890919-0259  142 0.06370 VSM_long 
60 0 AP890608-0213  143 0.06322 VSM_long 
60 0 AP891019-0133  144 0.06317 VSM_long 
60 0 AP890204-0080  145 0.06303 VSM_long 
60 0 AP891115-0192  146 0.06300 VSM_long 
60 0 AP890228-0059  147 0.06299 VSM_long 
60 0 AP890715-0012  148 0.06298 VSM_long 
60 0 AP890314-0305  149 0.06295 VSM_long 
60 0 AP890130-0111  150 0.06273 VSM_long 
60 0 AP890314-0212  151 0.06265 VSM_long 
60 0 AP891008-0060  152 0.06249 VSM_long 
60 0 AP890330-0118  153 0.06226 VSM_long 
60 0 AP890516-0039  154 0.06219 VSM_long 
60 0 AP890629-0032  155 0.06184 VSM_long 
60 0 AP890605-0010  156 0.06181 VSM_long 
60 0 AP890223-0029  157 0.06170 VSM_long 
60 0 AP890503-0240  158 0.06161 VSM_long 
60 0 AP890428-0148  159 0.06157 VSM_long 
60 0 AP890109-0331  160 0.06142 VSM_long 
60 0 AP890420-0009  161 0.06120 VSM_long 
60 0 AP890522-0101  162 0.06120 VSM_long 
60 0 AP890117-0089  163 0.06107 VSM_long 
60 0 AP891017-0228  164 0.06094 VSM_long 
60 0 AP890105-0244  165 0.06090 VSM_long 
60 0 AP890604-0027  166 0.06089 VSM_long 
60 0 AP891026-0152  167 0.06086 VSM_long 
60 0 AP890830-0011  168 0.06073 VSM_long 
60 0 AP891114-0179  169 0.06052 VSM_long 
60 0 AP891113-0134  170 0.06036 VSM_long 
60 0 AP890406-0204  171 0.06032 VSM_long 
60 0 AP890612-0153  172 0.06021 VSM_long 
60 0 AP890526-0228  173 0.06017 VSM_long 
60 0 AP891129-0294  174 0.06010 VSM_long 
60 0 AP890626-0028  175 0.05991 VSM_long 
60 0 AP890201-0127  176 0.05977 VSM_long 
60 0 AP890222-0197  177 0.05975 VSM_long 
60 0 AP890607-0102  178 0.05974 VSM_long 
60 0 AP890412-0153  179 0.05969 VSM_long 
60 0 AP891103-0101  180 0.05969 VSM_long 
60 0 AP890618-0086  181 0.05954 VSM_long 
60 0 AP890504-0244  182 0.05951 VSM_long 
60 0 AP890510-0129  183 0.05942 VSM_long 
60 0 AP890913-0020  184 0.05941 VSM_long 
60 0 AP890823-0146  185 0.05935 VSM_long 
60 0 AP890608-0182  186 0.05932 VSM_long 
60 0 AP890831-0025  187 0.05925 VSM_long 
60 0 AP890316-0054  188 0.05907 VSM_long 
60 0 AP890915-0229  189 0.05897 VSM_long 
60 0 AP890118-0115  190 0.05893 VSM_long 
60 0 AP890714-0232  191 0.05887 VSM_long 
60 0 AP890717-0028  192 0.05887 VSM_long 
60 0 AP890206-0014  193 0.05880 VSM_long 
60 0 AP891017-0121  194 0.05875 VSM_long 
60 0 AP890427-0019  195 0.05861 VSM_long 
60 0 AP891116-0210  196 0.05842 VSM_long 
60 0 AP891218-0208  197 0.05834 VSM_long 
60 0 AP890714-0138  198 0.05819 VSM_long 
60 0 AP890503-0030  199 0.05819 VSM_long 
60 0 AP891207-0038  200 0.05812 VSM_long 
60 0 AP890508-0006  201 0.05801 VSM_long 
60 0 AP890223-0106  202 0.05790 VSM_long 
60 0 AP890412-0050  203 0.05786 VSM_long 
60 0 AP891121-0029  204 0.05779 VSM_long 
60 0 AP890914-0069  205 0.05779 VSM_long 
60 0 AP890726-0109  206 0.05776 VSM_long 
60 0 AP890204-0020  207 0.05774 VSM_long 
60 0 AP890412-0217  208 0.05766 VSM_long 
60 0 AP890808-0009  209 0.05766 VSM_long 
60 0 AP890420-0248  210 0.05761 VSM_long 
60 0 AP891005-0240  211 0.05754 VSM_long 
60 0 AP890130-0012  212 0.05748 VSM_long 
60 0 AP890601-0319  213 0.05735 VSM_long 
60 0 AP890522-0256  214 0.05727 VSM_long 
60 0 AP890616-0117  215 0.05721 VSM_long 
60 0 AP890612-0132  216 0.05721 VSM_long 
60 0 AP891003-0208  217 0.05718 VSM_long 
60 0 AP890927-0220  218 0.05716 VSM_long 
60 0 AP890428-0013  219 0.05714 VSM_long 
60 0 AP890103-0004  220 0.05713 VSM_long 
60 0 AP890208-0043  221 0.05713 VSM_long 
60 0 AP890417-0074  222 0.05709 VSM_long 
60 0 AP890912-0015  223 0.05708 VSM_long 
60 0 AP890301-0146  224 0.05703 VSM_long 
60 0 AP890508-0243  225 0.05694 VSM_long 
60 0 AP890628-0200  226 0.05678 VSM_long 
60 0 AP890317-0163  227 0.05672 VSM_long 
60 0 AP890421-0030  228 0.05672 VSM_long 
60 0 AP890228-0179  229 0.05658 VSM_long 
60 0 AP890201-0112  230 0.05650 VSM_long 
60 0 AP890626-0244  231 0.05646 VSM_long 
60 0 AP891110-0117  232 0.05644 VSM_long 
60 0 AP890627-0124  233 0.05643 VSM_long 
60 0 AP891229-0206  234 0.05639 VSM_long 
60 0 AP891031-0044  235 0.05637 VSM_long 
60 0 AP890118-0247  236 0.05635 VSM_long 
60 0 AP890726-0228  237 0.05630 VSM_long 
60 0 AP891109-0199  238 0.05628 VSM_long 
60 0 AP890227-0195  239 0.05622 VSM_long 
60 0 AP890608-0016  240 0.05622 VSM_long 
60 0 AP890522-0253  241 0.05598 VSM_long 
60 0 AP890227-0335  242 0.05597 VSM_long 
60 0 AP890323-0013  243 0.05595 VSM_long 
60 0 AP890928-0007  244 0.05594 VSM_long 
60 0 AP890308-0268  245 0.05591 VSM_long 
60 0 AP890425-0290  246 0.05588 VSM_long 
60 0 AP890124-0144  247 0.05586 VSM_long 
60 0 AP890525-0010  248 0.05586 VSM_long 
60 0 AP891116-0186  249 0.05585 VSM_long 
60 0 AP891016-0273  250 0.05576 VSM_long 
60 0 AP890214-0013  251 0.05567 VSM_long 
60 0 AP890216-0201  252 0.05566 VSM_long 
60 0 AP890129-0059  253 0.05563 VSM_long 
60 0 AP890623-0275  254 0.05551 VSM_long 
60 0 AP891118-0096  255 0.05549 VSM_long 
60 0 AP890124-0265  256 0.05533 VSM_long 
60 0 AP890605-0073  257 0.05528 VSM_long 
60 0 AP890423-0048  258 0.05528 VSM_long 
60 0 AP890417-0151  259 0.05524 VSM_long 
60 0 AP890424-0168  260 0.05522 VSM_long 
60 0 AP890220-0125  261 0.05514 VSM_long 
60 0 AP890715-0047  262 0.05503 VSM_long 
60 0 AP890202-0252  263 0.05502 VSM_long 
60 0 AP891024-0018  264 0.05499 VSM_long 
60 0 AP890612-0108  265 0.05498 VSM_long 
60 0 AP890925-0083  266 0.05497 VSM_long 
60 0 AP891102-0012  267 0.05495 VSM_long 
60 0 AP890204-0095  268 0.05466 VSM_long 
60 0 AP890227-0316  269 0.05458 VSM_long 
60 0 AP890421-0214  270 0.05456 VSM_long 
60 0 AP890513-0099  271 0.05448 VSM_long 
60 0 AP890421-0074  272 0.05447 VSM_long 
60 0 AP891213-0293  273 0.05441 VSM_long 
60 0 AP891109-0031  274 0.05433 VSM_long 
60 0 AP890310-0248  275 0.05433 VSM_long 
60 0 AP890803-0143  276 0.05424 VSM_long 
60 0 AP890203-0001  277 0.05421 VSM_long 
60 0 AP890131-0300  278 0.05417 VSM_long 
60 0 AP890202-0212  279 0.05412 VSM_long 
60 0 AP890524-0202  280 0.05409 VSM_long 
60 0 AP890206-0007  281 0.05407 VSM_long 
60 0 AP890803-0092  282 0.05406 VSM_long 
60 0 AP890708-0008  283 0.05401 VSM_long 
60 0 AP890516-0176  284 0.05397 VSM_long 
60 0 AP890725-0120  285 0.05390 VSM_long 
60 0 AP891005-0171  286 0.05388 VSM_long 
60 0 AP890720-0210  287 0.05384 VSM_long 
60 0 AP890322-0049  288 0.05380 VSM_long 
60 0 AP890202-0226  289 0.05372 VSM_long 
60 0 AP890629-0299  290 0.05368 VSM_long 
60 0 AP890422-0003  291 0.05367 VSM_long 
60 0 AP890301-0145  292 0.05367 VSM_long 
60 0 AP890307-0125  293 0.05365 VSM_long 
60 0 AP890215-0092  294 0.05364 VSM_long 
60 0 AP890812-0044  295 0.05361 VSM_long 
60 0 AP890817-0220  296 0.05357 VSM_long 
60 0 AP890222-0286  297 0.05349 VSM_long 
60 0 AP890929-0266  298 0.05342 VSM_long 
60 0 AP890622-0281  299 0.05341 VSM_long 
60 0 AP890612-0245  300 0.05333 VSM_long 
60 0 AP890422-0107  301 0.05324 VSM_long 
60 0 AP890424-0023  302 0.05324 VSM_long 
60 0 AP890508-0122  303 0.05323 VSM_long 
60 0 AP890211-0092  304 0.05313 VSM_long 
60 0 AP891030-0076  305 0.05312 VSM_long 
60 0 AP890601-0321  306 0.05309 VSM_long 
60 0 AP891208-0212  307 0.05309 VSM_long 
60 0 AP891212-0197  308 0.05309 VSM_long 
60 0 AP890216-0293  309 0.05294 VSM_long 
60 0 AP890926-0089  310 0.05286 VSM_long 
60 0 AP890813-0024  311 0.05273 VSM_long 
60 0 AP890721-0090  312 0.05273 VSM_long 
60 0 AP891110-0177  313 0.05273 VSM_long 
60 0 AP890411-0016  314 0.05261 VSM_long 
60 0 AP890619-0058  315 0.05256 VSM_long 
60 0 AP890130-0051  316 0.05250 VSM_long 
60 0 AP890417-0094  317 0.05248 VSM_long 
60 0 AP890125-0201  318 0.05243 VSM_long 
60 0 AP891023-0186  319 0.05242 VSM_long 
60 0 AP890828-0125  320 0.05241 VSM_long 
60 0 AP890605-0061  321 0.05240 VSM_long 
60 0 AP890529-0007  322 0.05235 VSM_long 
60 0 AP890115-0011  323 0.05231 VSM_long 
60 0 AP890708-0011  324 0.05228 VSM_long 
60 0 AP890206-0096  325 0.05218 VSM_long 
60 0 AP890612-0103  326 0.05218 VSM_long 
60 0 AP890109-0304  327 0.05216 VSM_long 
60 0 AP890130-0121  328 0.05214 VSM_long 
60 0 AP890223-0252  329 0.05212 VSM_long 
60 0 AP890117-0133  330 0.05209 VSM_long 
60 0 AP890714-0146  331 0.05207 VSM_long 
60 0 AP890602-0236  332 0.05204 VSM_long 
60 0 AP890120-0010  333 0.05198 VSM_long 
60 0 AP891031-0158  334 0.05197 VSM_long 
60 0 AP890411-0148  335 0.05197 VSM_long 
60 0 AP890223-0232  336 0.05196 VSM_long 
60 0 AP891108-0222  337 0.05191 VSM_long 
60 0 AP890206-0009  338 0.05182 VSM_long 
60 0 AP890206-0137  339 0.05182 VSM_long 
60 0 AP890206-0158  340 0.05180 VSM_long 
60 0 AP890330-0253  341 0.05175 VSM_long 
60 0 AP890119-0193  342 0.05171 VSM_long 
60 0 AP890302-0158  343 0.05163 VSM_long 
60 0 AP890630-0058  344 0.05162 VSM_long 
60 0 AP891109-0265  345 0.05158 VSM_long 
60 0 AP890203-0215  346 0.05157 VSM_long 
60 0 AP890228-0093  347 0.05153 VSM_long 
60 0 AP890711-0007  348 0.05152 VSM_long 
60 0 AP890703-0116  349 0.05151 VSM_long 
60 0 AP890201-0252  350 0.05149 VSM_long 
60 0 AP890703-0083  351 0.05147 VSM_long 
60 0 AP890524-0102  352 0.05143 VSM_long 
60 0 AP890710-0254  353 0.05142 VSM_long 
60 0 AP890102-0009  354 0.05138 VSM_long 
60 0 AP890419-0100  355 0.05133 VSM_long 
60 0 AP890329-0105  356 0.05123 VSM_long 
60 0 AP890828-0116  357 0.05117 VSM_long 
60 0 AP890920-0030  358 0.05103 VSM_long 
60 0 AP891218-0211  359 0.05102 VSM_long 
60 0 AP890806-0018  360 0.05102 VSM_long 
60 0 AP891117-0034  361 0.05095 VSM_long 
60 0 AP890920-0083  362 0.05094 VSM_long 
60 0 AP890327-0243  363 0.05089 VSM_long 
60 0 AP890207-0267  364 0.05086 VSM_long 
60 0 AP891121-0105  365 0.05086 VSM_long 
60 0 AP891005-0178  366 0.05078 VSM_long 
60 0 AP890209-0196  367 0.05075 VSM_long 
60 0 AP890824-0136  368 0.05068 VSM_long 
60 0 AP891216-0077  369 0.05047 VSM_long 
60 0 AP890405-0210  370 0.05035 VSM_long 
60 0 AP890113-0139  371 0.05028 VSM_long 
60 0 AP890119-0285  372 0.05028 VSM_long 
60 0 AP890503-0207  373 0.05012 VSM_long 
60 0 AP890427-0239  374 0.05011 VSM_long 
60 0 AP891116-0121  375 0.05010 VSM_long 
60 0 AP890517-0045  376 0.05005 VSM_long 
60 0 AP890322-0203  377 0.05005 VSM_long 
60 0 AP890306-0312  378 0.05002 VSM_long 
60 0 AP890228-0240  379 0.05001 VSM_long 
60 0 AP891122-0082  380 0.04998 VSM_long 
60 0 AP890228-0024  381 0.04993 VSM_long 
60 0 AP891002-0093  382 0.04988 VSM_long 
60 0 AP890516-0233  383 0.04986 VSM_long 
60 0 AP891222-0234  384 0.04984 VSM_long 
60 0 AP890729-0068  385 0.04983 VSM_long 
60 0 AP890712-0219  386 0.04967 VSM_long 
60 0 AP890313-0193  387 0.04961 VSM_long 
60 0 AP890316-0212  388 0.04961 VSM_long 
60 0 AP890828-0131  389 0.04957 VSM_long 
60 0 AP890203-0201  390 0.04948 VSM_long 
60 0 AP890106-0096  391 0.04948 VSM_long 
60 0 AP890227-0142  392 0.04947 VSM_long 
60 0 AP891230-0087  393 0.04946 VSM_long 
60 0 AP890320-0296  394 0.04945 VSM_long 
60 0 AP891122-0184  395 0.04942 VSM_long 
60 0 AP890127-0113  396 0.04925 VSM_long 
60 0 AP890204-0174  397 0.04925 VSM_long 
60 0 AP891214-0120  398 0.04924 VSM_long 
60 0 AP890312-0035  399 0.04917 VSM_long 
60 0 AP890707-0064  400 0.04917 VSM_long 
60 0 AP890118-0088  401 0.04912 VSM_long 
60 0 AP890905-0190  402 0.04912 VSM_long 
60 0 AP890315-0165  403 0.04911 VSM_long 
60 0 AP890131-0110  404 0.04908 VSM_long 
60 0 AP890921-0237  405 0.04904 VSM_long 
60 0 AP890703-0029  406 0.04896 VSM_long 
60 0 AP890202-0040  407 0.04894 VSM_long 
60 0 AP890607-0016  408 0.04892 VSM_long 
60 0 AP890706-0059  409 0.04891 VSM_long 
60 0 AP891115-0222  410 0.04887 VSM_long 
60 0 AP890201-0174  411 0.04886 VSM_long 
60 0 AP890526-0089  412 0.04883 VSM_long 
60 0 AP890109-0172  413 0.04880 VSM_long 
60 0 AP890315-0064  414 0.04878 VSM_long 
60 0 AP890222-0158  415 0.04877 VSM_long 
60 0 AP891114-0018  416 0.04865 VSM_long 
60 0 AP891004-0210  417 0.04860 VSM_long 
60 0 AP890417-0158  418 0.04860 VSM_long 
60 0 AP890314-0156  419 0.04859 VSM_long 
60 0 AP891020-0217  420 0.04855 VSM_long 
60 0 AP890906-0029  421 0.04854 VSM_long 
60 0 AP890514-0073  422 0.04852 VSM_long 
60 0 AP890426-0043  423 0.04847 VSM_long 
60 0 AP890928-0293  424 0.04844 VSM_long 
60 0 AP891125-0030  425 0.04841 VSM_long 
60 0 AP890208-0042  426 0.04840 VSM_long 
60 0 AP890719-0202  427 0.04835 VSM_long 
60 0 AP890818-0210  428 0.04830 VSM_long 
60 0 AP890310-0036  429 0.04829 VSM_long 
60 0 AP890609-0001  430 0.04829 VSM_long 
60 0 AP890306-0266  431 0.04829 VSM_long 
60 0 AP890928-0111  432 0.04825 VSM_long 
60 0 AP890420-0149  433 0.04825 VSM_long 
60 0 AP890920-0135  434 0.04819 VSM_long 
60 0 AP890713-0039  435 0.04819 VSM_long 
60 0 AP890209-0099  436 0.04811 VSM_long 
60 0 AP890216-0008  437 0.04810 VSM_long 
60 0 AP890307-0107  438 0.04809 VSM_long 
60 0 AP890209-0180  439 0.04809 VSM_long 
60 0 AP890210-0018  440 0.04809 VSM_long 
60 0 AP890414-0219  441 0.04806 VSM_long 
60 0 AP890426-0153  442 0.04802 VSM_long 
60 0 AP890727-0090  443 0.04795 VSM_long 
60 0 AP891226-0203  444 0.04791 VSM_long 
60 0 AP890512-0040  445 0.04783 VSM_long 
60 0 AP890407-0235  446 0.04781 VSM_long 
60 0 AP890125-0045  447 0.04780 VSM_long 
60 0 AP890803-0289  448 0.04779 VSM_long 
60 0 AP890504-0015  449 0.04777 VSM_long 
60 0 AP890426-0095  450 0.04777 VSM_long 
60 0 AP890808-0206  451 0.04774 VSM_long 
60 0 AP890422-0139  452 0.04772 VSM_long 
60 0 AP890425-0012  453 0.04767 VSM_long 
60 0 AP890109-0162  454 0.04766 VSM_long 
60 0 AP890728-0225  455 0.04764 VSM_long 
60 0 AP890516-0091  456 0.04760 VSM_long 
60 0 AP890405-0256  457 0.04754 VSM_long 
60 0 AP890313-0144  458 0.04739 VSM_long 
60 0 AP891024-0059  459 0.04739 VSM_long 
60 0 AP890425-0031  460 0.04734 VSM_long 
60 0 AP890123-0028  461 0.04727 VSM_long 
60 0 AP891031-0042  462 0.04727 VSM_long 
60 0 AP890418-0212  463 0.04723 VSM_long 
60 0 AP890106-0149  464 0.04722 VSM_long 
60 0 AP890214-0207  465 0.04721 VSM_long 
60 0 AP891220-0110  466 0.04717 VSM_long 
60 0 AP890912-0146  467 0.04714 VSM_long 
60 0 AP890829-0164  468 0.04712 VSM_long 
60 0 AP890419-0027  469 0.04711 VSM_long 
60 0 AP890106-0049  470 0.04711 VSM_long 
60 0 AP890301-0179  471 0.04707 VSM_long 
60 0 AP890525-0217  472 0.04706 VSM_long 
60 0 AP890515-0065  473 0.04702 VSM_long 
60 0 AP891124-0195  474 0.04700 VSM_long 
60 0 AP890712-0141  475 0.04699 VSM_long 
60 0 AP890525-0046  476 0.04697 VSM_long 
60 0 AP891031-0256  477 0.04686 VSM_long 
60 0 AP890809-0092  478 0.04685 VSM_long 
60 0 AP890720-0222  479 0.04682 VSM_long 
60 0 AP890224-0203  480 0.04681 VSM_long 
60 0 AP890202-0101  481 0.04673 VSM_long 
60 0 AP890405-0254  482 0.04672 VSM_long 
60 0 AP890712-0225  483 0.04668 VSM_long 
60 0 AP890215-0021  484 0.04667 VSM_long 
60 0 AP890126-0082  485 0.04667 VSM_long 
60 0 AP891030-0163  486 0.04665 VSM_long 
60 0 AP890623-0162  487 0.04642 VSM_long 
60 0 AP890118-0135  488 0.04635 VSM_long 
60 0 AP891023-0177  489 0.04634 VSM_long 
60 0 AP890828-0174  490 0.04629 VSM_long 
60 0 AP890712-0111  491 0.04624 VSM_long 
60 0 AP890125-0245  492 0.04621 VSM_long 
60 0 AP890519-0221  493 0.04620 VSM_long 
60 0 AP890517-0204  494 0.04612 VSM_long 
60 0 AP890525-0165  495 0.04610 VSM_long 
60 0 AP890924-0026  496 0.04608 VSM_long 
60 0 AP890906-0206  497 0.04608 VSM_long 
60 0 AP890802-0092  498 0.04607 VSM_long 
60 0 AP891118-0037  499 0.04606 VSM_long 
60 0 AP890911-0068  500 0.04599 VSM_long 
60 0 AP890309-0020  501 0.04598 VSM_long 
60 0 AP890221-0173  502 0.04598 VSM_long 
60 0 AP890725-0159  503 0.04595 VSM_long 
60 0 AP890110-0071  504 0.04589 VSM_long 
60 0 AP890720-0048  505 0.04589 VSM_long 
60 0 AP890407-0211  506 0.04589 VSM_long 
60 0 AP890202-0209  507 0.04587 VSM_long 
60 0 AP890423-0032  508 0.04586 VSM_long 
60 0 AP890518-0223  509 0.04586 VSM_long 
60 0 AP890731-0181  510 0.04581 VSM_long 
60 0 AP890906-0093  511 0.04581 VSM_long 
60 0 AP890202-0217  512 0.04577 VSM_long 
60 0 AP890718-0251  513 0.04569 VSM_long 
60 0 AP890529-0046  514 0.04569 VSM_long 
60 0 AP891121-0020  515 0.04566 VSM_long 
60 0 AP890209-0027  516 0.04564 VSM_long 
60 0 AP890727-0028  517 0.04563 VSM_long 
60 0 AP890714-0192  518 0.04559 VSM_long 
60 0 AP890110-0092  519 0.04559 VSM_long 
60 0 AP890505-0126  520 0.04557 VSM_long 
60 0 AP890912-0171  521 0.04556 VSM_long 
60 0 AP890906-0233  522 0.04548 VSM_long 
60 0 AP890905-0234  523 0.04540 VSM_long 
60 0 AP890313-0243  524 0.04538 VSM_long 
60 0 AP890710-0143  525 0.04537 VSM_long 
60 0 AP891204-0191  526 0.04535 VSM_long 
60 0 AP890906-0232  527 0.04532 VSM_long 
60 0 AP891004-0133  528 0.04522 VSM_long 
60 0 AP890813-0002  529 0.04520 VSM_long 
60 0 AP890917-0036  530 0.04516 VSM_long 
60 0 AP890327-0214  531 0.04505 VSM_long 
60 0 AP890317-0132  532 0.04504 VSM_long 
60 0 AP890208-0029  533 0.04499 VSM_long 
60 0 AP891006-0215  534 0.04498 VSM_long 
60 0 AP891009-0083  535 0.04498 VSM_long 
60 0 AP890801-0058  536 0.04497 VSM_long 
60 0 AP890327-0158  537 0.04485 VSM_long 
60 0 AP890329-0026  538 0.04482 VSM_long 
60 0 AP891117-0097  539 0.04477 VSM_long 
60 0 AP890630-0038  540 0.04476 VSM_long 
60 0 AP890525-0270  541 0.04476 VSM_long 
60 0 AP891113-0202  542 0.04473 VSM_long 
60 0 AP891003-0271  543 0.04473 VSM_long 
60 0 AP890223-0132  544 0.04469 VSM_long 
60 0 AP890124-0003  545 0.04466 VSM_long 
60 0 AP890313-0013  546 0.04464 VSM_long 
60 0 AP890313-0009  547 0.04463 VSM_long 
60 0 AP890203-0018  548 0.04462 VSM_long 
60 0 AP890502-0001  549 0.04462 VSM_long 
60 0 AP890825-0007  550 0.04462 VSM_long 
60 0 AP891101-0288  551 0.04460 VSM_long 
60 0 AP890206-0031  552 0.04452 VSM_long 
60 0 AP890116-0020  553 0.04445 VSM_long 
60 0 AP890528-0011  554 0.04444 VSM_long 
60 0 AP890222-0260  555 0.04442 VSM_long 
60 0 AP891103-0177  556 0.04442 VSM_long 
60 0 AP890816-0241  557 0.04439 VSM_long 
60 0 AP890726-0291  558 0.04434 VSM_long 
60 0 AP890111-0185  559 0.04431 VSM_long 
60 0 AP890110-0282  560 0.04430 VSM_long 
60 0 AP891101-0280  561 0.04430 VSM_long 
60 0 AP891002-0085  562 0.04426 VSM_long 
60 0 AP890715-0024  563 0.04426 VSM_long 
60 0 AP891214-0214  564 0.04423 VSM_long 
60 0 AP890316-0058  565 0.04422 VSM_long 
60 0 AP890328-0083  566 0.04421 VSM_long 
60 0 AP890815-0183  567 0.04419 VSM_long 
60 0 AP890330-0126  568 0.04415 VSM_long 
60 0 AP890130-0046  569 0.04412 VSM_long 
60 0 AP891012-0161  570 0.04411 VSM_long 
60 0 AP890926-0180  571 0.04403 VSM_long 
60 0 AP890322-0268  572 0.04401 VSM_long 
60 0 AP890405-0248  573 0.04401 VSM_long 
60 0 AP891010-0207  574 0.04392 VSM_long 
60 0 AP891016-0165  575 0.04387 VSM_long 
60 0 AP891228-0219  576 0.04387 VSM_long 
60 0 AP890323-0241  577 0.04386 VSM_long 
60 0 AP891108-0293  578 0.04386 VSM_long 
60 0 AP890612-0078  579 0.04382 VSM_long 
60 0 AP890704-0063  580 0.04380 VSM_long 
60 0 AP890425-0181  581 0.04378 VSM_long 
60 0 AP890522-0230  582 0.04374 VSM_long 
60 0 AP890221-0094  583 0.04373 VSM_long 
60 0 AP890131-0147  584 0.04372 VSM_long 
60 0 AP890530-0210  585 0.04372 VSM_long 
60 0 AP891017-0088  586 0.04371 VSM_long 
60 0 AP890111-0089  587 0.04368 VSM_long 
60 0 AP890405-0174  588 0.04366 VSM_long 
60 0 AP890718-0225  589 0.04365 VSM_long 
60 0 AP890318-0002  590 0.04365 VSM_long 
60 0 AP890210-0106  591 0.04363 VSM_long 
60 0 AP891102-0150  592 0.04357 VSM_long 
60 0 AP890707-0192  593 0.04355 VSM_long 
60 0 AP890714-0064  594 0.04353 VSM_long 
60 0 AP891124-0179  595 0.04351 VSM_long 
60 0 AP891129-0002  596 0.04351 VSM_long 
60 0 AP891020-0247  597 0.04350 VSM_long 
60 0 AP891025-0184  598 0.04350 VSM_long 
60 0 AP891013-0176  599 0.04347 VSM_long 
60 0 AP890728-0214  600 0.04345 VSM_long 
60 0 AP891130-0141  601 0.04344 VSM_long 
60 0 AP890730-0014  602 0.04341 VSM_long 
60 0 AP890716-0031  603 0.04340 VSM_long 
60 0 AP890410-0028  604 0.04340 VSM_long 
60 0 AP890411-0123  605 0.04337 VSM_long 
60 0 AP890904-0102  606 0.04335 VSM_long 
60 0 AP890830-0051  607 0.04329 VSM_long 
60 0 AP890201-0250  608 0.04329 VSM_long 
60 0 AP890905-0111  609 0.04327 VSM_long 
60 0 AP890228-0134  610 0.04326 VSM_long 
60 0 AP890316-0210  611 0.04325 VSM_long 
60 0 AP890519-0142  612 0.04324 VSM_long 
60 0 AP890308-0141  613 0.04320 VSM_long 
60 0 AP890315-0142  614 0.04317 VSM_long 
60 0 AP890204-0175  615 0.04311 VSM_long 
60 0 AP890626-0207  616 0.04311 VSM_long 
60 0 AP890419-0137  617 0.04306 VSM_long 
60 0 AP891113-0116  618 0.04305 VSM_long 
60 0 AP890221-0232  619 0.04304 VSM_long 
60 0 AP890328-0227  620 0.04304 VSM_long 
60 0 AP890908-0144  621 0.04302 VSM_long 
60 0 AP891012-0282  622 0.04299 VSM_long 
60 0 AP890622-0329  623 0.04294 VSM_long 
60 0 AP890804-0161  624 0.04294 VSM_long 
60 0 AP890224-0015  625 0.04293 VSM_long 
60 0 AP890322-0074  626 0.04291 VSM_long 
60 0 AP891026-0195  627 0.04289 VSM_long 
60 0 AP890129-0003  628 0.04285 VSM_long 
60 0 AP890905-0137  629 0.04282 VSM_long 
60 0 AP890906-0031  630 0.04282 VSM_long 
60 0 AP891011-0214  631 0.04282 VSM_long 
60 0 AP890529-0091  632 0.04277 VSM_long 
60 0 AP890705-0006  633 0.04274 VSM_long 
60 0 AP890324-0085  634 0.04274 VSM_long 
60 0 AP890508-0077  635 0.04273 VSM_long 
60 0 AP891109-0307  636 0.04272 VSM_long 
60 0 AP890508-0232  637 0.04271 VSM_long 
60 0 AP890821-0164  638 0.04268 VSM_long 
60 0 AP890902-0165  639 0.04268 VSM_long 
60 0 AP891117-0259  640 0.04267 VSM_long 
60 0 AP890715-0129  641 0.04264 VSM_long 
60 0 AP890102-0017  642 0.04260 VSM_long 
60 0 AP890220-0097  643 0.04259 VSM_long 
60 0 AP890329-0016  644 0.04257 VSM_long 
60 0 AP890917-0082  645 0.04256 VSM_long 
60 0 AP890210-0062  646 0.04256 VSM_long 
