51 0 AP891126-0082    1 0.44663 TREC_long 
7301 0 AP890405-0280  251 0.07245 TREC_long 
7302 0 AP890217-0101  252 0.07245 TREC_long 
7303 0 AP890731-0068  253 0.07245 TREC_long 
7304 0 AP890731-0236  254 0.07245 TREC_long 
7305 0 AP890418-0080  255 0.07245 TREC_long 
7306 0 AP890809-0212  256 0.07245 TREC_long 
7307 0 AP890420-0250  257 0.07245 TREC_long 
7308 0 AP890822-0167  258 0.07245 TREC_long 
7309 0 AP890907-0100  259 0.07245 TREC_long 
7310 0 AP890914-0007  260 0.07245 TREC_long 
7311 0 AP890118-0186  261 0.07245 TREC_long 
7312 0 AP890726-0071  262 0.07184 TREC_long 
7313 0 AP890307-0040  263 0.07184 TREC_long 
7314 0 AP890129-0077  264 0.07166 TREC_long 
7315 0 AP890310-0214  265 0.07093 TREC_long 
7316 0 AP891026-0184  266 0.07093 TREC_long 
7317 0 AP891106-0157  267 0.07093 TREC_long 
7318 0 AP890322-0327  268 0.07084 TREC_long 
7319 0 AP890318-0092  269 0.07075 TREC_long 
7320 0 AP890623-0258  270 0.07051 TREC_long 
7321 0 AP890705-0096  271 0.07035 TREC_long 
7322 0 AP891107-0165  272 0.07002 TREC_long 
7323 0 AP890906-0179  273 0.06983 TREC_long 
7324 0 AP890302-0274  274 0.06972 TREC_long 
7325 0 AP890226-0079  275 0.06963 TREC_long 
7326 0 AP890713-0283  276 0.06943 TREC_long 
7327 0 AP890704-0161  277 0.06939 TREC_long 
7328 0 AP890830-0155  278 0.06939 TREC_long 
7329 0 AP890809-0056  279 0.06929 TREC_long 
7330 0 AP890112-0062  280 0.06893 TREC_long 
7331 0 AP890121-0115  281 0.06868 TREC_long 
7332 0 AP890310-0273  282 0.06865 TREC_long 
7333 0 AP890626-0001  283 0.06854 TREC_long 
7334 0 AP891106-0062  284 0.06849 TREC_long 
7335 0 AP890920-0181  285 0.06841 TREC_long 
7336 0 AP891207-0256  286 0.06818 TREC_long 
7337 0 AP890711-0027  287 0.06818 TREC_long 
7338 0 AP891024-0285  288 0.06792 TREC_long 
7339 0 AP890529-0110  289 0.06792 TREC_long 
7340 0 AP890315-0196  290 0.06792 TREC_long 
7341 0 AP890209-0061  291 0.06792 TREC_long 
7342 0 AP890620-0024  292 0.06792 TREC_long 
7343 0 AP890723-0026  293 0.06792 TREC_long 
7344 0 AP890724-0023  294 0.06792 TREC_long 
7345 0 AP890303-0027  295 0.06792 TREC_long 
7346 0 AP890304-0009  296 0.06792 TREC_long 
7347 0 AP890202-0215  297 0.06792 TREC_long 
7348 0 AP890731-0104  298 0.06747 TREC_long 
7349 0 AP890305-0054  299 0.06706 TREC_long 
7350 0 AP890315-0107  300 0.06705 TREC_long 
7351 0 AP891215-0080  301 0.06705 TREC_long 
7352 0 AP890704-0085  302 0.06705 TREC_long 
7353 0 AP890215-0199  303 0.06638 TREC_long 
7354 0 AP890708-0136  304 0.06638 TREC_long 
7355 0 AP890501-0245  305 0.06638 TREC_long 
7356 0 AP891005-0187  306 0.06636 TREC_long 
7357 0 AP890808-0236  307 0.06603 TREC_long 
7358 0 AP890304-0134  308 0.06597 TREC_long 
7359 0 AP890915-0168  309 0.06594 TREC_long 
7360 0 AP891012-0074  310 0.06585 TREC_long 
7361 0 AP891212-0112  311 0.06571 TREC_long 
7362 0 AP890515-0076  312 0.06571 TREC_long 
7363 0 AP890802-0135  313 0.06570 TREC_long 
7364 0 AP891010-0168  314 0.06563 TREC_long 
7365 0 AP891011-0069  315 0.06563 TREC_long 
7366 0 AP890616-0168  316 0.06555 TREC_long 
7367 0 AP890617-0089  317 0.06535 TREC_long 
7368 0 AP890725-0124  318 0.06535 TREC_long 
7369 0 AP890815-0112  319 0.06500 TREC_long 
7370 0 AP891017-0110  320 0.06498 TREC_long 
7371 0 AP890529-0148  321 0.06498 TREC_long 
7372 0 AP890609-0011  322 0.06498 TREC_long 
7373 0 AP890320-0174  323 0.06498 TREC_long 
7374 0 AP890210-0196  324 0.06498 TREC_long 
7375 0 AP890718-0152  325 0.06498 TREC_long 
7376 0 AP890718-0268  326 0.06498 TREC_long 
7377 0 AP890425-0038  327 0.06498 TREC_long 
7378 0 AP890129-0037  328 0.06498 TREC_long 
7379 0 AP890910-0064  329 0.06498 TREC_long 
7380 0 AP890911-0143  330 0.06498 TREC_long 
7381 0 AP891025-0119  331 0.06471 TREC_long 
7382 0 AP891026-0172  332 0.06471 TREC_long 
7383 0 AP891126-0039  333 0.06471 TREC_long 
7384 0 AP890208-0166  334 0.06471 TREC_long 
7385 0 AP891229-0216  335 0.06471 TREC_long 
7386 0 AP890406-0191  336 0.06471 TREC_long 
7387 0 AP890811-0052  337 0.06471 TREC_long 
7388 0 AP890814-0143  338 0.06471 TREC_long 
7389 0 AP890825-0230  339 0.06471 TREC_long 
7390 0 AP890301-0274  340 0.06471 TREC_long 
7391 0 AP890216-0293  341 0.06457 TREC_long 
7392 0 AP890905-0234  342 0.06455 TREC_long 
7393 0 AP890930-0003  343 0.06455 TREC_long 
7394 0 AP890620-0191  344 0.06454 TREC_long 
7395 0 AP890207-0087  345 0.06397 TREC_long 
7396 0 AP890424-0003  346 0.06353 TREC_long 
7397 0 AP890425-0124  347 0.06353 TREC_long 
7398 0 AP890506-0014  348 0.06353 TREC_long 
7399 0 AP890204-0132  349 0.06346 TREC_long 
7400 0 AP890522-0159  350 0.06346 TREC_long 
7401 0 AP891017-0036  351 0.06346 TREC_long 
7402 0 AP890320-0085  352 0.06346 TREC_long 
7403 0 AP890319-0098  353 0.06346 TREC_long 
7404 0 AP891219-0083  354 0.06346 TREC_long 
7405 0 AP890107-0147  355 0.06346 TREC_long 
7406 0 AP890413-0145  356 0.06346 TREC_long 
7407 0 AP890819-0136  357 0.06346 TREC_long 
7408 0 AP890410-0113  358 0.06326 TREC_long 
7409 0 AP891223-0013  359 0.06293 TREC_long 
7410 0 AP890713-0014  360 0.06285 TREC_long 
7411 0 AP891127-0154  361 0.06246 TREC_long 
7412 0 AP890425-0181  362 0.06246 TREC_long 
7413 0 AP890228-0122  363 0.06246 TREC_long 
7414 0 AP890203-0160  364 0.06219 TREC_long 
7415 0 AP890206-0049  365 0.06219 TREC_long 
7416 0 AP890607-0044  366 0.06219 TREC_long 
7417 0 AP891129-0001  367 0.06219 TREC_long 
7418 0 AP890718-0281  368 0.06219 TREC_long 
7419 0 AP890114-0009  369 0.06219 TREC_long 
7420 0 AP891002-0159  370 0.06219 TREC_long 
7421 0 AP890525-0076  371 0.06190 TREC_long 
7422 0 AP890413-0244  372 0.06183 TREC_long 
7423 0 AP890304-0049  373 0.06183 TREC_long 
7424 0 AP890306-0237  374 0.06183 TREC_long 
7425 0 AP891027-0015  375 0.06169 TREC_long 
7426 0 AP891103-0065  376 0.06169 TREC_long 
7427 0 AP891109-0037  377 0.06169 TREC_long 
7428 0 AP891115-0187  378 0.06169 TREC_long 
7429 0 AP890721-0105  379 0.06132 TREC_long 
7430 0 AP891004-0257  380 0.06132 TREC_long 
7431 0 AP890418-0245  381 0.06125 TREC_long 
7432 0 AP890707-0259  382 0.06113 TREC_long 
7433 0 AP890219-0110  383 0.06113 TREC_long 
7434 0 AP890814-0059  384 0.06113 TREC_long 
7435 0 AP890828-0201  385 0.06113 TREC_long 
7436 0 AP890907-0009  386 0.06113 TREC_long 
7437 0 AP890306-0129  387 0.06113 TREC_long 
7438 0 AP891004-0047  388 0.06113 TREC_long 
7439 0 AP891006-0246  389 0.06113 TREC_long 
7440 0 AP890308-0169  390 0.06081 TREC_long 
7441 0 AP890307-0246  391 0.06059 TREC_long 
7442 0 AP890726-0256  392 0.06050 TREC_long 
7443 0 AP890118-0202  393 0.06050 TREC_long 
7444 0 AP891119-0014  394 0.06043 TREC_long 
7445 0 AP890403-0128  395 0.06043 TREC_long 
7446 0 AP890114-0063  396 0.06043 TREC_long 
7447 0 AP890310-0274  397 0.06037 TREC_long 
7448 0 AP890526-0166  398 0.06037 TREC_long 
7449 0 AP891028-0060  399 0.06037 TREC_long 
7450 0 AP890615-0301  400 0.06037 TREC_long 
7451 0 AP890615-0191  401 0.06037 TREC_long 
7452 0 AP891202-0143  402 0.06037 TREC_long 
7453 0 AP891211-0098  403 0.06037 TREC_long 
7454 0 AP890327-0158  404 0.06037 TREC_long 
7455 0 AP890107-0128  405 0.06037 TREC_long 
7456 0 AP890212-0003  406 0.06037 TREC_long 
7457 0 AP890626-0076  407 0.06037 TREC_long 
7458 0 AP890330-0257  408 0.06037 TREC_long 
7459 0 AP890704-0036  409 0.06037 TREC_long 
7460 0 AP890723-0095  410 0.06037 TREC_long 
7461 0 AP890829-0060  411 0.06037 TREC_long 
7462 0 AP890901-0237  412 0.06037 TREC_long 
7463 0 AP890903-0031  413 0.06037 TREC_long 
7464 0 AP890302-0197  414 0.06037 TREC_long 
7465 0 AP890912-0077  415 0.06037 TREC_long 
7466 0 AP890303-0150  416 0.06037 TREC_long 
7467 0 AP891004-0302  417 0.06037 TREC_long 
7468 0 AP891006-0137  418 0.06037 TREC_long 
7469 0 AP890309-0281  419 0.06037 TREC_long 
7470 0 AP891019-0034  420 0.06030 TREC_long 
7471 0 AP891207-0066  421 0.05960 TREC_long 
7472 0 AP891028-0102  422 0.05940 TREC_long 
7473 0 AP890316-0160  423 0.05940 TREC_long 
7474 0 AP890707-0157  424 0.05940 TREC_long 
7475 0 AP890113-0168  425 0.05940 TREC_long 
7476 0 AP890817-0021  426 0.05940 TREC_long 
7477 0 AP890307-0285  427 0.05938 TREC_long 
7478 0 AP890430-0029  428 0.05938 TREC_long 
7479 0 AP891025-0296  429 0.05890 TREC_long 
7480 0 AP890325-0132  430 0.05890 TREC_long 
7481 0 AP890705-0137  431 0.05883 TREC_long 
7482 0 AP890718-0132  432 0.05883 TREC_long 
7483 0 AP890601-0345  433 0.05866 TREC_long 
7484 0 AP890530-0009  434 0.05864 TREC_long 
7485 0 AP890209-0024  435 0.05864 TREC_long 
7486 0 AP890324-0245  436 0.05864 TREC_long 
7487 0 AP890426-0012  437 0.05864 TREC_long 
7488 0 AP890510-0124  438 0.05864 TREC_long 
7489 0 AP890921-0128  439 0.05864 TREC_long 
7490 0 AP891130-0160  440 0.05854 TREC_long 
7491 0 AP891110-0152  441 0.05842 TREC_long 
7492 0 AP890304-0113  442 0.05808 TREC_long 
7493 0 AP890219-0047  443 0.05805 TREC_long 
7494 0 AP891025-0215  444 0.05791 TREC_long 
7495 0 AP890621-0158  445 0.05762 TREC_long 
7496 0 AP890603-0045  446 0.05756 TREC_long 
7497 0 AP890319-0019  447 0.05747 TREC_long 
7498 0 AP890403-0126  448 0.05747 TREC_long 
7499 0 AP890907-0088  449 0.05747 TREC_long 
7500 0 AP890921-0113  450 0.05747 TREC_long 
7501 0 AP890512-0089  451 0.05747 TREC_long 
7502 0 AP891002-0301  452 0.05747 TREC_long 
7503 0 AP890517-0101  453 0.05747 TREC_long 
7504 0 AP891031-0123  454 0.05737 TREC_long 
7505 0 AP891017-0002  455 0.05711 TREC_long 
7506 0 AP890407-0056  456 0.05711 TREC_long 
7507 0 AP890508-0174  457 0.05704 TREC_long 
7508 0 AP890226-0006  458 0.05697 TREC_long 
7509 0 AP891030-0043  459 0.05686 TREC_long 
7510 0 AP891104-0121  460 0.05686 TREC_long 
7511 0 AP891120-0094  461 0.05686 TREC_long 
7512 0 AP890615-0171  462 0.05686 TREC_long 
7513 0 AP890620-0161  463 0.05686 TREC_long 
7514 0 AP891213-0110  464 0.05686 TREC_long 
7515 0 AP890112-0106  465 0.05686 TREC_long 
7516 0 AP890412-0129  466 0.05686 TREC_long 
7517 0 AP890720-0096  467 0.05686 TREC_long 
7518 0 AP890412-0235  468 0.05686 TREC_long 
7519 0 AP890224-0189  469 0.05686 TREC_long 
7520 0 AP890920-0167  470 0.05686 TREC_long 
7521 0 AP890307-0135  471 0.05686 TREC_long 
7522 0 AP890202-0168  472 0.05686 TREC_long 
7523 0 AP890110-0009  473 0.05686 TREC_long 
7524 0 AP890518-0060  474 0.05680 TREC_long 
7525 0 AP890515-0192  475 0.05668 TREC_long 
7526 0 AP891218-0262  476 0.05664 TREC_long 
7527 0 AP890310-0295  477 0.05660 TREC_long 
7528 0 AP891013-0086  478 0.05660 TREC_long 
7529 0 AP891023-0054  479 0.05660 TREC_long 
7530 0 AP890314-0077  480 0.05660 TREC_long 
7531 0 AP890314-0100  481 0.05660 TREC_long 
7532 0 AP890530-0185  482 0.05660 TREC_long 
7533 0 AP891111-0137  483 0.05660 TREC_long 
7534 0 AP891127-0063  484 0.05660 TREC_long 
7535 0 AP891129-0137  485 0.05660 TREC_long 
7536 0 AP890619-0162  486 0.05660 TREC_long 
7537 0 AP890620-0039  487 0.05660 TREC_long 
7538 0 AP890621-0161  488 0.05660 TREC_long 
7539 0 AP890211-0139  489 0.05660 TREC_long 
7540 0 AP891218-0253  490 0.05660 TREC_long 
7541 0 AP891227-0103  491 0.05660 TREC_long 
7542 0 AP890703-0226  492 0.05660 TREC_long 
7543 0 AP890717-0132  493 0.05660 TREC_long 
7544 0 AP890104-0077  494 0.05660 TREC_long 
7545 0 AP890221-0214  495 0.05660 TREC_long 
7546 0 AP890812-0111  496 0.05660 TREC_long 
7547 0 AP890424-0142  497 0.05660 TREC_long 
7548 0 AP890817-0090  498 0.05660 TREC_long 
7549 0 AP890427-0275  499 0.05660 TREC_long 
7550 0 AP890504-0008  500 0.05660 TREC_long 
7551 0 AP890509-0210  501 0.05660 TREC_long 
7552 0 AP890305-0074  502 0.05660 TREC_long 
7553 0 AP890306-0238  503 0.05660 TREC_long 
7554 0 AP890307-0139  504 0.05660 TREC_long 
7555 0 AP890517-0207  505 0.05660 TREC_long 
7556 0 AP891005-0244  506 0.05660 TREC_long 
7557 0 AP891007-0111  507 0.05660 TREC_long 
7558 0 AP890124-0034  508 0.05658 TREC_long 
7559 0 AP891116-0064  509 0.05647 TREC_long 
7560 0 AP890206-0057  510 0.05642 TREC_long 
7561 0 AP891102-0159  511 0.05642 TREC_long 
7562 0 AP890401-0043  512 0.05642 TREC_long 
7563 0 AP890225-0075  513 0.05630 TREC_long 
7564 0 AP890913-0161  514 0.05630 TREC_long 
7565 0 AP890713-0039  515 0.05624 TREC_long 
7566 0 AP891015-0049  516 0.05603 TREC_long 
7567 0 AP890103-0109  517 0.05601 TREC_long 
7568 0 AP890130-0034  518 0.05601 TREC_long 
7569 0 AP890505-0076  519 0.05601 TREC_long 
7570 0 AP890309-0274  520 0.05601 TREC_long 
7571 0 AP890119-0180  521 0.05597 TREC_long 
7572 0 AP890204-0109  522 0.05597 TREC_long 
7573 0 AP891030-0134  523 0.05597 TREC_long 
7574 0 AP890316-0048  524 0.05597 TREC_long 
7575 0 AP890606-0061  525 0.05597 TREC_long 
7576 0 AP890609-0031  526 0.05597 TREC_long 
7577 0 AP891116-0109  527 0.05597 TREC_long 
7578 0 AP890104-0169  528 0.05597 TREC_long 
7579 0 AP890731-0130  529 0.05597 TREC_long 
7580 0 AP890109-0005  530 0.05597 TREC_long 
7581 0 AP890801-0077  531 0.05597 TREC_long 
7582 0 AP890825-0031  532 0.05597 TREC_long 
7583 0 AP890803-0326  533 0.05566 TREC_long 
7584 0 AP890808-0064  534 0.05566 TREC_long 
7585 0 AP891107-0196  535 0.05554 TREC_long 
7586 0 AP891010-0061  536 0.05547 TREC_long 
7587 0 AP890310-0140  537 0.05547 TREC_long 
7588 0 AP891012-0125  538 0.05547 TREC_long 
7589 0 AP891015-0069  539 0.05547 TREC_long 
7590 0 AP891105-0032  540 0.05547 TREC_long 
7591 0 AP891116-0177  541 0.05547 TREC_long 
7592 0 AP891118-0001  542 0.05547 TREC_long 
7593 0 AP891129-0205  543 0.05547 TREC_long 
7594 0 AP891130-0221  544 0.05547 TREC_long 
7595 0 AP890218-0005  545 0.05547 TREC_long 
7596 0 AP890414-0197  546 0.05547 TREC_long 
7597 0 AP890809-0089  547 0.05547 TREC_long 
7598 0 AP890819-0035  548 0.05547 TREC_long 
7599 0 AP890821-0026  549 0.05547 TREC_long 
7600 0 AP890901-0070  550 0.05547 TREC_long 
7601 0 AP890904-0053  551 0.05547 TREC_long 
7602 0 AP890303-0134  552 0.05547 TREC_long 
7603 0 AP890304-0039  553 0.05547 TREC_long 
7604 0 AP890918-0082  554 0.05547 TREC_long 
7605 0 AP890307-0215  555 0.05507 TREC_long 
7606 0 AP890407-0012  556 0.05503 TREC_long 
7607 0 AP890515-0188  557 0.05499 TREC_long 
7608 0 AP891109-0021  558 0.05492 TREC_long 
7609 0 AP890519-0229  559 0.05483 TREC_long 
7610 0 AP890119-0012  560 0.05483 TREC_long 
7611 0 AP890203-0227  561 0.05483 TREC_long 
7612 0 AP891024-0142  562 0.05483 TREC_long 
7613 0 AP890602-0004  563 0.05483 TREC_long 
7614 0 AP891108-0028  564 0.05483 TREC_long 
7615 0 AP890607-0089  565 0.05483 TREC_long 
7616 0 AP891116-0138  566 0.05483 TREC_long 
7617 0 AP891127-0240  567 0.05483 TREC_long 
7618 0 AP891201-0032  568 0.05483 TREC_long 
7619 0 AP891208-0015  569 0.05483 TREC_long 
7620 0 AP891211-0024  570 0.05483 TREC_long 
7621 0 AP890326-0078  571 0.05483 TREC_long 
7622 0 AP891213-0001  572 0.05483 TREC_long 
7623 0 AP890328-0080  573 0.05483 TREC_long 
7624 0 AP891219-0013  574 0.05483 TREC_long 
7625 0 AP890103-0111  575 0.05483 TREC_long 
7626 0 AP891227-0107  576 0.05483 TREC_long 
7627 0 AP890215-0005  577 0.05483 TREC_long 
7628 0 AP890405-0197  578 0.05483 TREC_long 
7629 0 AP890708-0016  579 0.05483 TREC_long 
7630 0 AP890220-0149  580 0.05483 TREC_long 
7631 0 AP890222-0008  581 0.05483 TREC_long 
7632 0 AP890222-0178  582 0.05483 TREC_long 
7633 0 AP890804-0142  583 0.05483 TREC_long 
7634 0 AP890504-0282  584 0.05483 TREC_long 
7635 0 AP890505-0054  585 0.05483 TREC_long 
7636 0 AP890303-0076  586 0.05483 TREC_long 
7637 0 AP890920-0094  587 0.05483 TREC_long 
7638 0 AP891007-0003  588 0.05483 TREC_long 
7639 0 AP890118-0226  589 0.05471 TREC_long 
7640 0 AP890118-0041  590 0.05465 TREC_long 
7641 0 AP890306-0124  591 0.05449 TREC_long 
7642 0 AP890522-0101  592 0.05433 TREC_long 
7643 0 AP890522-0213  593 0.05433 TREC_long 
7644 0 AP891023-0271  594 0.05433 TREC_long 
7645 0 AP891127-0267  595 0.05433 TREC_long 
7646 0 AP890618-0086  596 0.05433 TREC_long 
7647 0 AP891209-0011  597 0.05433 TREC_long 
7648 0 AP890620-0175  598 0.05433 TREC_long 
7649 0 AP890325-0104  599 0.05433 TREC_long 
7650 0 AP890211-0061  600 0.05433 TREC_long 
7651 0 AP891218-0081  601 0.05433 TREC_long 
7652 0 AP890216-0041  602 0.05433 TREC_long 
7653 0 AP890407-0154  603 0.05433 TREC_long 
7654 0 AP890217-0103  604 0.05433 TREC_long 
7655 0 AP890730-0056  605 0.05433 TREC_long 
7656 0 AP890805-0068  606 0.05433 TREC_long 
7657 0 AP890127-0130  607 0.05433 TREC_long 
7658 0 AP890809-0101  608 0.05433 TREC_long 
7659 0 AP890810-0118  609 0.05433 TREC_long 
7660 0 AP890223-0294  610 0.05433 TREC_long 
7661 0 AP890224-0118  611 0.05433 TREC_long 
7662 0 AP890815-0232  612 0.05433 TREC_long 
7663 0 AP890818-0045  613 0.05433 TREC_long 
7664 0 AP890830-0081  614 0.05433 TREC_long 
7665 0 AP890504-0156  615 0.05433 TREC_long 
7666 0 AP890908-0232  616 0.05433 TREC_long 
7667 0 AP890908-0262  617 0.05433 TREC_long 
7668 0 AP890909-0064  618 0.05433 TREC_long 
7669 0 AP890918-0098  619 0.05433 TREC_long 
7670 0 AP890515-0154  620 0.05433 TREC_long 
7671 0 AP891011-0039  621 0.05432 TREC_long 
7672 0 AP891124-0108  622 0.05432 TREC_long 
7673 0 AP891206-0144  623 0.05394 TREC_long 
7674 0 AP890304-0136  624 0.05278 TREC_long 
7675 0 AP891013-0065  625 0.05278 TREC_long 
7676 0 AP890306-0131  626 0.05269 TREC_long 
7677 0 AP890408-0099  627 0.05253 TREC_long 
7678 0 AP891121-0044  628 0.05220 TREC_long 
7679 0 AP890612-0256  629 0.05211 TREC_long 
7680 0 AP890719-0132  630 0.05211 TREC_long 
7681 0 AP890812-0019  631 0.05211 TREC_long 
7682 0 AP890705-0051  632 0.05204 TREC_long 
7683 0 AP890306-0253  633 0.05204 TREC_long 
7684 0 AP890309-0253  634 0.05204 TREC_long 
7685 0 AP890226-0032  635 0.05193 TREC_long 
7686 0 AP890426-0287  636 0.05193 TREC_long 
7687 0 AP890128-0067  637 0.05193 TREC_long 
7688 0 AP890509-0261  638 0.05193 TREC_long 
7689 0 AP890510-0040  639 0.05193 TREC_long 
7690 0 AP890525-0270  640 0.05188 TREC_long 
7691 0 AP890314-0106  641 0.05188 TREC_long 
7692 0 AP890314-0181  642 0.05188 TREC_long 
7693 0 AP890208-0211  643 0.05188 TREC_long 
7694 0 AP891121-0238  644 0.05188 TREC_long 
7695 0 AP891123-0048  645 0.05188 TREC_long 
7696 0 AP890717-0062  646 0.05188 TREC_long 
7697 0 AP890721-0091  647 0.05188 TREC_long 
7698 0 AP890505-0289  648 0.05186 TREC_long 
7699 0 AP890509-0108  649 0.05168 TREC_long 
7700 0 AP890308-0236  650 0.05131 TREC_long 
7701 0 AP890307-0076  651 0.05104 TREC_long 
7702 0 AP891011-0276  652 0.05082 TREC_long 
7703 0 AP890207-0216  653 0.05082 TREC_long 
7704 0 AP890616-0111  654 0.05082 TREC_long 
7705 0 AP890111-0142  655 0.05082 TREC_long 
7706 0 AP890731-0111  656 0.05082 TREC_long 
7707 0 AP890801-0223  657 0.05082 TREC_long 
7708 0 AP890427-0150  658 0.05082 TREC_long 
7709 0 AP890513-0112  659 0.05082 TREC_long 
7710 0 AP890526-0005  660 0.05077 TREC_long 
7711 0 AP891114-0132  661 0.05077 TREC_long 
7712 0 AP890111-0156  662 0.05077 TREC_long 
7713 0 AP891122-0153  663 0.05077 TREC_long 
7714 0 AP890324-0119  664 0.05077 TREC_long 
7715 0 AP891211-0020  665 0.05077 TREC_long 
7716 0 AP891212-0130  666 0.05077 TREC_long 
7717 0 AP890630-0036  667 0.05077 TREC_long 
7718 0 AP890703-0033  668 0.05077 TREC_long 
7719 0 AP890124-0128  669 0.05077 TREC_long 
7720 0 AP890720-0253  670 0.05077 TREC_long 
7721 0 AP890731-0059  671 0.05077 TREC_long 
7722 0 AP890814-0131  672 0.05077 TREC_long 
7723 0 AP890823-0096  673 0.05077 TREC_long 
7724 0 AP890505-0227  674 0.05077 TREC_long 
7725 0 AP890914-0133  675 0.05077 TREC_long 
7726 0 AP890914-0180  676 0.05077 TREC_long 
7727 0 AP890914-0227  677 0.05077 TREC_long 
7728 0 AP890917-0087  678 0.05077 TREC_long 
7729 0 AP890509-0191  679 0.05077 TREC_long 
7730 0 AP890512-0182  680 0.05077 TREC_long 
7731 0 AP890516-0145  681 0.05077 TREC_long 
7732 0 AP890118-0130  682 0.05077 TREC_long 
7733 0 AP891108-0222  683 0.05056 TREC_long 
7734 0 AP890125-0173  684 0.05056 TREC_long 
7735 0 AP890119-0080  685 0.05046 TREC_long 
7736 0 AP890628-0246  686 0.05042 TREC_long 
7737 0 AP891122-0262  687 0.05034 TREC_long 
7738 0 AP890210-0282  688 0.05034 TREC_long 
7739 0 AP890718-0137  689 0.05034 TREC_long 
7740 0 AP891118-0164  690 0.05029 TREC_long 
7741 0 AP890908-0242  691 0.05029 TREC_long 
7742 0 AP890119-0110  692 0.05026 TREC_long 
7743 0 AP890215-0153  693 0.05026 TREC_long 
7744 0 AP890425-0056  694 0.05026 TREC_long 
7745 0 AP890903-0056  695 0.05026 TREC_long 
7746 0 AP890117-0054  696 0.05026 TREC_long 
7747 0 AP890516-0088  697 0.05026 TREC_long 
7748 0 AP890524-0220  698 0.05002 TREC_long 
7749 0 AP890524-0225  699 0.05002 TREC_long 
7750 0 AP891130-0013  700 0.05002 TREC_long 
7751 0 AP890830-0091  701 0.05002 TREC_long 
7752 0 AP891206-0073  702 0.04979 TREC_long 
7753 0 AP891210-0009  703 0.04979 TREC_long 
7754 0 AP891222-0078  704 0.04979 TREC_long 
7755 0 AP890102-0115  705 0.04979 TREC_long 
7756 0 AP890124-0150  706 0.04979 TREC_long 
7757 0 AP890412-0123  707 0.04979 TREC_long 
7758 0 AP890413-0186  708 0.04979 TREC_long 
7759 0 AP890221-0314  709 0.04979 TREC_long 
7760 0 AP890803-0220  710 0.04979 TREC_long 
7761 0 AP890307-0176  711 0.04979 TREC_long 
7762 0 AP891004-0018  712 0.04979 TREC_long 
7763 0 AP890520-0050  713 0.04975 TREC_long 
7764 0 AP890110-0275  714 0.04975 TREC_long 
7765 0 AP891018-0185  715 0.04975 TREC_long 
7766 0 AP891019-0229  716 0.04975 TREC_long 
7767 0 AP891024-0140  717 0.04975 TREC_long 
7768 0 AP891028-0123  718 0.04975 TREC_long 
7769 0 AP891103-0284  719 0.04975 TREC_long 
7770 0 AP890120-0103  720 0.04975 TREC_long 
7771 0 AP890208-0177  721 0.04975 TREC_long 
7772 0 AP891127-0282  722 0.04975 TREC_long 
7773 0 AP891210-0002  723 0.04975 TREC_long 
7774 0 AP890621-0001  724 0.04975 TREC_long 
7775 0 AP890326-0017  725 0.04975 TREC_long 
7776 0 AP890327-0079  726 0.04975 TREC_long 
7777 0 AP890211-0013  727 0.04975 TREC_long 
7778 0 AP890329-0132  728 0.04975 TREC_long 
7779 0 AP890214-0097  729 0.04975 TREC_long 
7780 0 AP890703-0194  730 0.04975 TREC_long 
7781 0 AP890112-0183  731 0.04975 TREC_long 
7782 0 AP890215-0036  732 0.04975 TREC_long 
7783 0 AP890215-0262  733 0.04975 TREC_long 
7784 0 AP890216-0273  734 0.04975 TREC_long 
7785 0 AP890414-0029  735 0.04975 TREC_long 
7786 0 AP890222-0135  736 0.04975 TREC_long 
7787 0 AP890802-0168  737 0.04975 TREC_long 
7788 0 AP890420-0079  738 0.04975 TREC_long 
7789 0 AP890809-0149  739 0.04975 TREC_long 
7790 0 AP890127-0170  740 0.04975 TREC_long 
7791 0 AP890223-0279  741 0.04975 TREC_long 
7792 0 AP890224-0043  742 0.04975 TREC_long 
7793 0 AP890224-0096  743 0.04975 TREC_long 
7794 0 AP890426-0013  744 0.04975 TREC_long 
7795 0 AP890819-0026  745 0.04975 TREC_long 
7796 0 AP890819-0130  746 0.04975 TREC_long 
7797 0 AP890821-0105  747 0.04975 TREC_long 
7798 0 AP890825-0140  748 0.04975 TREC_long 
7799 0 AP890301-0230  749 0.04975 TREC_long 
7800 0 AP890304-0069  750 0.04975 TREC_long 
7801 0 AP890118-0032  751 0.04975 TREC_long 
7802 0 AP891006-0244  752 0.04975 TREC_long 
7803 0 AP890112-0205  753 0.04961 TREC_long 
7804 0 AP890302-0072  754 0.04944 TREC_long 
7805 0 AP890518-0211  755 0.04942 TREC_long 
7806 0 AP890222-0262  756 0.04911 TREC_long 
7807 0 AP890818-0098  757 0.04911 TREC_long 
7808 0 AP890228-0058  758 0.04911 TREC_long 
7809 0 AP891026-0193  759 0.04909 TREC_long 
7810 0 AP890302-0138  760 0.04909 TREC_long 
7811 0 AP890924-0054  761 0.04909 TREC_long 
7812 0 AP890103-0011  762 0.04903 TREC_long 
7813 0 AP890725-0150  763 0.04893 TREC_long 
7814 0 AP890310-0181  764 0.04874 TREC_long 
7815 0 AP891024-0090  765 0.04874 TREC_long 
7816 0 AP891102-0169  766 0.04874 TREC_long 
7817 0 AP890208-0178  767 0.04874 TREC_long 
