51 0 AP890518-0275    1 29.14379 LMwJMS_long 
63 0 AP890930-0081  421 4.52345 LMwJMS_long 
63 0 AP891101-0182  422 4.52345 LMwJMS_long 
63 0 AP891106-0041  423 4.52345 LMwJMS_long 
63 0 AP891201-0006  424 4.52345 LMwJMS_long 
63 0 AP891209-0064  425 4.52345 LMwJMS_long 
63 0 AP891218-0023  426 4.52345 LMwJMS_long 
63 0 AP891228-0150  427 4.52345 LMwJMS_long 
63 0 AP890311-0118  428 4.51838 LMwJMS_long 
63 0 AP890424-0003  429 4.50918 LMwJMS_long 
63 0 AP890425-0124  430 4.50918 LMwJMS_long 
63 0 AP890506-0014  431 4.50918 LMwJMS_long 
63 0 AP891207-0066  432 4.50783 LMwJMS_long 
63 0 AP890513-0043  433 4.50137 LMwJMS_long 
63 0 AP890322-0184  434 4.48580 LMwJMS_long 
63 0 AP890327-0171  435 4.48580 LMwJMS_long 
63 0 AP891015-0072  436 4.48580 LMwJMS_long 
63 0 AP890914-0210  437 4.47293 LMwJMS_long 
63 0 AP890412-0288  438 4.46931 LMwJMS_long 
63 0 AP890405-0292  439 4.46611 LMwJMS_long 
63 0 AP890705-0185  440 4.45974 LMwJMS_long 
63 0 AP890728-0035  441 4.45795 LMwJMS_long 
63 0 AP891101-0220  442 4.43891 LMwJMS_long 
63 0 AP891209-0082  443 4.43864 LMwJMS_long 
63 0 AP890101-0002  444 4.41077 LMwJMS_long 
63 0 AP890225-0063  445 4.38679 LMwJMS_long 
63 0 AP890303-0154  446 4.38679 LMwJMS_long 
63 0 AP891229-0001  447 4.38679 LMwJMS_long 
63 0 AP890103-0109  448 4.38468 LMwJMS_long 
63 0 AP890130-0034  449 4.38468 LMwJMS_long 
63 0 AP890309-0274  450 4.38468 LMwJMS_long 
63 0 AP890505-0076  451 4.38468 LMwJMS_long 
63 0 AP890109-0126  452 4.35772 LMwJMS_long 
63 0 AP890325-0118  453 4.35772 LMwJMS_long 
63 0 AP890627-0061  454 4.35772 LMwJMS_long 
63 0 AP890907-0053  455 4.35772 LMwJMS_long 
63 0 AP890125-0029  456 4.34324 LMwJMS_long 
63 0 AP890208-0105  457 4.34324 LMwJMS_long 
63 0 AP890905-0192  458 4.34324 LMwJMS_long 
63 0 AP891118-0110  459 4.34324 LMwJMS_long 
63 0 AP890429-0088  460 4.33890 LMwJMS_long 
63 0 AP890821-0092  461 4.33890 LMwJMS_long 
63 0 AP891108-0295  462 4.33890 LMwJMS_long 
63 0 AP891110-0117  463 4.33890 LMwJMS_long 
63 0 AP890111-0155  464 4.33778 LMwJMS_long 
63 0 AP890319-0014  465 4.33778 LMwJMS_long 
63 0 AP890329-0038  466 4.33778 LMwJMS_long 
63 0 AP890508-0126  467 4.33778 LMwJMS_long 
63 0 AP890514-0017  468 4.33778 LMwJMS_long 
63 0 AP890525-0072  469 4.33778 LMwJMS_long 
63 0 AP890623-0257  470 4.33778 LMwJMS_long 
63 0 AP890703-0081  471 4.33778 LMwJMS_long 
63 0 AP890715-0085  472 4.33778 LMwJMS_long 
63 0 AP891019-0207  473 4.33778 LMwJMS_long 
63 0 AP891203-0072  474 4.33352 LMwJMS_long 
63 0 AP891216-0093  475 4.31744 LMwJMS_long 
63 0 AP890124-0034  476 4.30872 LMwJMS_long 
63 0 AP890307-0123  477 4.30872 LMwJMS_long 
63 0 AP890407-0012  478 4.30872 LMwJMS_long 
63 0 AP890505-0289  479 4.30872 LMwJMS_long 
63 0 AP890905-0234  480 4.30872 LMwJMS_long 
63 0 AP890930-0003  481 4.30872 LMwJMS_long 
63 0 AP890131-0210  482 4.29836 LMwJMS_long 
63 0 AP890721-0217  483 4.29836 LMwJMS_long 
63 0 AP890228-0103  484 4.28902 LMwJMS_long 
63 0 AP890308-0043  485 4.28902 LMwJMS_long 
63 0 AP890426-0270  486 4.28902 LMwJMS_long 
63 0 AP890713-0250  487 4.28902 LMwJMS_long 
63 0 AP891122-0240  488 4.28902 LMwJMS_long 
63 0 AP890111-0142  489 4.28879 LMwJMS_long 
63 0 AP890207-0216  490 4.28879 LMwJMS_long 
63 0 AP890410-0113  491 4.28879 LMwJMS_long 
63 0 AP890427-0150  492 4.28879 LMwJMS_long 
63 0 AP890511-0104  493 4.28879 LMwJMS_long 
63 0 AP890513-0112  494 4.28879 LMwJMS_long 
63 0 AP890515-0076  495 4.28879 LMwJMS_long 
63 0 AP890616-0111  496 4.28879 LMwJMS_long 
63 0 AP890731-0111  497 4.28879 LMwJMS_long 
63 0 AP890801-0223  498 4.28879 LMwJMS_long 
63 0 AP890102-0115  499 4.26846 LMwJMS_long 
63 0 AP890221-0314  500 4.26846 LMwJMS_long 
63 0 AP890307-0176  501 4.26846 LMwJMS_long 
63 0 AP890412-0123  502 4.26846 LMwJMS_long 
63 0 AP890413-0186  503 4.26846 LMwJMS_long 
63 0 AP890803-0220  504 4.26846 LMwJMS_long 
63 0 AP891004-0018  505 4.26846 LMwJMS_long 
63 0 AP891025-0215  506 4.26846 LMwJMS_long 
63 0 AP891206-0073  507 4.26846 LMwJMS_long 
63 0 AP891210-0009  508 4.26846 LMwJMS_long 
63 0 AP891222-0078  509 4.26846 LMwJMS_long 
63 0 AP891129-0087  510 4.26032 LMwJMS_long 
63 0 AP890116-0063  511 4.25761 LMwJMS_long 
63 0 AP890320-0193  512 4.25761 LMwJMS_long 
63 0 AP890425-0091  513 4.25761 LMwJMS_long 
63 0 AP890525-0002  514 4.25761 LMwJMS_long 
63 0 AP891004-0154  515 4.25761 LMwJMS_long 
63 0 AP891123-0123  516 4.25761 LMwJMS_long 
63 0 AP890213-0254  517 4.23770 LMwJMS_long 
63 0 AP890318-0040  518 4.23770 LMwJMS_long 
63 0 AP890424-0096  519 4.23770 LMwJMS_long 
63 0 AP890715-0119  520 4.23770 LMwJMS_long 
63 0 AP890809-0113  521 4.23770 LMwJMS_long 
63 0 AP890913-0281  522 4.23770 LMwJMS_long 
63 0 AP891006-0257  523 4.23770 LMwJMS_long 
63 0 AP891114-0159  524 4.23770 LMwJMS_long 
63 0 AP891115-0232  525 4.23770 LMwJMS_long 
63 0 AP891128-0107  526 4.23770 LMwJMS_long 
63 0 AP890103-0074  527 4.22674 LMwJMS_long 
63 0 AP890119-0014  528 4.22674 LMwJMS_long 
63 0 AP890203-0194  529 4.22674 LMwJMS_long 
63 0 AP890211-0080  530 4.22674 LMwJMS_long 
63 0 AP890211-0156  531 4.22674 LMwJMS_long 
63 0 AP890222-0237  532 4.22674 LMwJMS_long 
63 0 AP890224-0154  533 4.22674 LMwJMS_long 
63 0 AP890310-0142  534 4.22674 LMwJMS_long 
63 0 AP890501-0146  535 4.22674 LMwJMS_long 
63 0 AP890510-0153  536 4.22674 LMwJMS_long 
63 0 AP890510-0260  537 4.22674 LMwJMS_long 
63 0 AP890526-0214  538 4.22674 LMwJMS_long 
63 0 AP890531-0051  539 4.22674 LMwJMS_long 
63 0 AP890606-0115  540 4.22674 LMwJMS_long 
63 0 AP890607-0019  541 4.22674 LMwJMS_long 
63 0 AP890805-0012  542 4.22674 LMwJMS_long 
63 0 AP890814-0142  543 4.22674 LMwJMS_long 
63 0 AP890825-0031  544 4.22674 LMwJMS_long 
63 0 AP890912-0203  545 4.22674 LMwJMS_long 
63 0 AP891030-0138  546 4.22674 LMwJMS_long 
63 0 AP891219-0168  547 4.22674 LMwJMS_long 
63 0 AP891222-0234  548 4.22674 LMwJMS_long 
63 0 AP890105-0215  549 4.22396 LMwJMS_long 
63 0 AP890209-0185  550 4.22396 LMwJMS_long 
63 0 AP890210-0022  551 4.22396 LMwJMS_long 
63 0 AP890307-0193  552 4.22396 LMwJMS_long 
63 0 AP890411-0240  553 4.22396 LMwJMS_long 
63 0 AP890418-0208  554 4.22396 LMwJMS_long 
63 0 AP890622-0274  555 4.22396 LMwJMS_long 
63 0 AP890626-0164  556 4.22396 LMwJMS_long 
63 0 AP890914-0136  557 4.22396 LMwJMS_long 
63 0 AP890914-0235  558 4.22396 LMwJMS_long 
63 0 AP890928-0172  559 4.22396 LMwJMS_long 
63 0 AP891002-0161  560 4.22396 LMwJMS_long 
63 0 AP891004-0091  561 4.22396 LMwJMS_long 
63 0 AP891112-0039  562 4.22396 LMwJMS_long 
63 0 AP890622-0210  563 4.21738 LMwJMS_long 
63 0 AP891213-0081  564 4.21738 LMwJMS_long 
63 0 AP890113-0083  565 4.20485 LMwJMS_long 
63 0 AP890411-0133  566 4.20485 LMwJMS_long 
63 0 AP890502-0083  567 4.20485 LMwJMS_long 
63 0 AP890503-0099  568 4.20485 LMwJMS_long 
63 0 AP891216-0124  569 4.20485 LMwJMS_long 
63 0 AP890408-0099  570 4.18272 LMwJMS_long 
63 0 AP890113-0125  571 4.17964 LMwJMS_long 
63 0 AP890122-0018  572 4.17964 LMwJMS_long 
63 0 AP890217-0055  573 4.17964 LMwJMS_long 
63 0 AP890324-0147  574 4.17964 LMwJMS_long 
63 0 AP890411-0129  575 4.17964 LMwJMS_long 
63 0 AP890425-0181  576 4.17964 LMwJMS_long 
63 0 AP890617-0130  577 4.17964 LMwJMS_long 
63 0 AP890825-0023  578 4.17964 LMwJMS_long 
63 0 AP890908-0070  579 4.17964 LMwJMS_long 
63 0 AP890926-0185  580 4.17964 LMwJMS_long 
63 0 AP891014-0062  581 4.17964 LMwJMS_long 
63 0 AP891031-0055  582 4.17964 LMwJMS_long 
63 0 AP891215-0247  583 4.17964 LMwJMS_long 
63 0 AP891219-0089  584 4.17964 LMwJMS_long 
63 0 AP890119-0080  585 4.17772 LMwJMS_long 
63 0 AP890201-0251  586 4.17772 LMwJMS_long 
63 0 AP890222-0029  587 4.17772 LMwJMS_long 
63 0 AP890403-0066  588 4.17772 LMwJMS_long 
63 0 AP890628-0216  589 4.17772 LMwJMS_long 
63 0 AP890713-0220  590 4.17772 LMwJMS_long 
63 0 AP890823-0023  591 4.17772 LMwJMS_long 
63 0 AP891006-0122  592 4.17772 LMwJMS_long 
63 0 AP891018-0214  593 4.17772 LMwJMS_long 
63 0 AP891108-0244  594 4.17772 LMwJMS_long 
63 0 AP891127-0101  595 4.17772 LMwJMS_long 
63 0 AP890412-0217  596 4.17711 LMwJMS_long 
63 0 AP890314-0209  597 4.16410 LMwJMS_long 
63 0 AP891025-0139  598 4.16410 LMwJMS_long 
63 0 AP891101-0078  599 4.16410 LMwJMS_long 
63 0 AP890609-0185  600 4.15382 LMwJMS_long 
63 0 AP890831-0261  601 4.15382 LMwJMS_long 
63 0 AP891025-0281  602 4.15382 LMwJMS_long 
63 0 AP890320-0220  603 4.13062 LMwJMS_long 
63 0 AP890425-0051  604 4.13062 LMwJMS_long 
63 0 AP890426-0296  605 4.13062 LMwJMS_long 
63 0 AP890610-0100  606 4.13062 LMwJMS_long 
63 0 AP890617-0015  607 4.13062 LMwJMS_long 
63 0 AP890706-0144  608 4.13062 LMwJMS_long 
63 0 AP890711-0252  609 4.13062 LMwJMS_long 
63 0 AP890921-0018  610 4.13062 LMwJMS_long 
63 0 AP891024-0208  611 4.13062 LMwJMS_long 
63 0 AP891025-0051  612 4.13062 LMwJMS_long 
63 0 AP891107-0263  613 4.13062 LMwJMS_long 
63 0 AP891114-0101  614 4.13062 LMwJMS_long 
63 0 AP891128-0145  615 4.13062 LMwJMS_long 
63 0 AP891221-0177  616 4.13062 LMwJMS_long 
63 0 AP891229-0009  617 4.13062 LMwJMS_long 
63 0 AP890401-0091  618 4.12964 LMwJMS_long 
63 0 AP890526-0138  619 4.12964 LMwJMS_long 
63 0 AP890809-0197  620 4.12964 LMwJMS_long 
63 0 AP890926-0225  621 4.12964 LMwJMS_long 
63 0 AP891213-0275  622 4.12964 LMwJMS_long 
63 0 AP890225-0053  623 4.10981 LMwJMS_long 
63 0 AP890406-0071  624 4.10981 LMwJMS_long 
63 0 AP890411-0200  625 4.10981 LMwJMS_long 
63 0 AP890215-0204  626 4.08325 LMwJMS_long 
63 0 AP890701-0157  627 4.08325 LMwJMS_long 
63 0 AP890718-0217  628 4.08325 LMwJMS_long 
63 0 AP890924-0027  629 4.08325 LMwJMS_long 
63 0 AP891030-0224  630 4.08325 LMwJMS_long 
63 0 AP891225-0057  631 4.08325 LMwJMS_long 
63 0 AP890110-0292  632 4.06258 LMwJMS_long 
63 0 AP890419-0222  633 4.06258 LMwJMS_long 
63 0 AP890727-0242  634 4.06258 LMwJMS_long 
63 0 AP890726-0134  635 4.05445 LMwJMS_long 
63 0 AP890107-0111  636 4.03419 LMwJMS_long 
63 0 AP890109-0093  637 4.03419 LMwJMS_long 
63 0 AP890112-0024  638 4.03419 LMwJMS_long 
63 0 AP890113-0198  639 4.03419 LMwJMS_long 
63 0 AP890118-0216  640 4.03419 LMwJMS_long 
63 0 AP890124-0008  641 4.03419 LMwJMS_long 
63 0 AP890126-0010  642 4.03419 LMwJMS_long 
63 0 AP890127-0122  643 4.03419 LMwJMS_long 
63 0 AP890128-0049  644 4.03419 LMwJMS_long 
63 0 AP890202-0075  645 4.03419 LMwJMS_long 
63 0 AP890221-0036  646 4.03419 LMwJMS_long 
63 0 AP890226-0014  647 4.03419 LMwJMS_long 
63 0 AP890305-0012  648 4.03419 LMwJMS_long 
63 0 AP890308-0136  649 4.03419 LMwJMS_long 
63 0 AP890317-0179  650 4.03419 LMwJMS_long 
63 0 AP890322-0059  651 4.03419 LMwJMS_long 
63 0 AP890327-0075  652 4.03419 LMwJMS_long 
63 0 AP890330-0096  653 4.03419 LMwJMS_long 
63 0 AP890405-0063  654 4.03419 LMwJMS_long 
63 0 AP890407-0006  655 4.03419 LMwJMS_long 
63 0 AP890407-0120  656 4.03419 LMwJMS_long 
63 0 AP890412-0030  657 4.03419 LMwJMS_long 
63 0 AP890505-0200  658 4.03419 LMwJMS_long 
63 0 AP890505-0230  659 4.03419 LMwJMS_long 
63 0 AP890510-0079  660 4.03419 LMwJMS_long 
63 0 AP890513-0148  661 4.03419 LMwJMS_long 
63 0 AP890514-0079  662 4.03419 LMwJMS_long 
63 0 AP890524-0226  663 4.03419 LMwJMS_long 
63 0 AP890617-0040  664 4.03419 LMwJMS_long 
63 0 AP890619-0078  665 4.03419 LMwJMS_long 
63 0 AP890619-0097  666 4.03419 LMwJMS_long 
63 0 AP890620-0169  667 4.03419 LMwJMS_long 
63 0 AP890622-0008  668 4.03419 LMwJMS_long 
63 0 AP890622-0113  669 4.03419 LMwJMS_long 
63 0 AP890624-0097  670 4.03419 LMwJMS_long 
63 0 AP890629-0071  671 4.03419 LMwJMS_long 
63 0 AP890717-0053  672 4.03419 LMwJMS_long 
63 0 AP890818-0162  673 4.03419 LMwJMS_long 
63 0 AP890903-0004  674 4.03419 LMwJMS_long 
63 0 AP890906-0162  675 4.03419 LMwJMS_long 
63 0 AP890908-0183  676 4.03419 LMwJMS_long 
63 0 AP890928-0127  677 4.03419 LMwJMS_long 
63 0 AP891015-0022  678 4.03419 LMwJMS_long 
63 0 AP891018-0025  679 4.03419 LMwJMS_long 
63 0 AP891101-0096  680 4.03419 LMwJMS_long 
63 0 AP891104-0046  681 4.03419 LMwJMS_long 
63 0 AP891105-0014  682 4.03419 LMwJMS_long 
63 0 AP891127-0162  683 4.03419 LMwJMS_long 
63 0 AP891201-0045  684 4.03419 LMwJMS_long 
63 0 AP891208-0178  685 4.03419 LMwJMS_long 
63 0 AP891220-0178  686 4.03419 LMwJMS_long 
63 0 AP891223-0049  687 4.03419 LMwJMS_long 
63 0 AP890123-0201  688 4.02551 LMwJMS_long 
63 0 AP890527-0075  689 4.02551 LMwJMS_long 
63 0 AP890710-0242  690 4.02551 LMwJMS_long 
63 0 AP891007-0101  691 4.02551 LMwJMS_long 
63 0 AP891007-0112  692 4.02551 LMwJMS_long 
63 0 AP891012-0164  693 4.02551 LMwJMS_long 
63 0 AP890125-0173  694 4.00567 LMwJMS_long 
63 0 AP890311-0074  695 4.00567 LMwJMS_long 
63 0 AP890314-0030  696 4.00567 LMwJMS_long 
63 0 AP890412-0134  697 4.00567 LMwJMS_long 
63 0 AP890421-0159  698 4.00567 LMwJMS_long 
63 0 AP890609-0079  699 4.00567 LMwJMS_long 
63 0 AP890724-0062  700 4.00567 LMwJMS_long 
63 0 AP890724-0140  701 4.00567 LMwJMS_long 
63 0 AP890727-0194  702 4.00567 LMwJMS_long 
63 0 AP890811-0119  703 4.00567 LMwJMS_long 
63 0 AP890821-0189  704 4.00567 LMwJMS_long 
63 0 AP891108-0222  705 4.00567 LMwJMS_long 
63 0 AP891117-0178  706 4.00567 LMwJMS_long 
63 0 AP891130-0167  707 4.00567 LMwJMS_long 
63 0 AP891218-0186  708 4.00567 LMwJMS_long 
63 0 AP890103-0246  709 3.98543 LMwJMS_long 
63 0 AP890112-0041  710 3.98543 LMwJMS_long 
63 0 AP890203-0141  711 3.98543 LMwJMS_long 
63 0 AP890306-0295  712 3.98543 LMwJMS_long 
63 0 AP890311-0105  713 3.98543 LMwJMS_long 
63 0 AP890506-0055  714 3.98543 LMwJMS_long 
63 0 AP890509-0179  715 3.98543 LMwJMS_long 
63 0 AP890618-0013  716 3.98543 LMwJMS_long 
63 0 AP890625-0043  717 3.98543 LMwJMS_long 
63 0 AP890707-0106  718 3.98543 LMwJMS_long 
63 0 AP890829-0029  719 3.98543 LMwJMS_long 
63 0 AP891004-0104  720 3.98543 LMwJMS_long 
63 0 AP891213-0106  721 3.98543 LMwJMS_long 
63 0 AP891213-0158  722 3.98543 LMwJMS_long 
63 0 AP891214-0052  723 3.98543 LMwJMS_long 
63 0 AP891220-0027  724 3.98543 LMwJMS_long 
63 0 AP890512-0124  725 3.95482 LMwJMS_long 
63 0 AP890527-0036  726 3.95482 LMwJMS_long 
63 0 AP890609-0061  727 3.95482 LMwJMS_long 
63 0 AP890927-0033  728 3.95482 LMwJMS_long 
63 0 AP891003-0158  729 3.95482 LMwJMS_long 
63 0 AP891018-0125  730 3.95482 LMwJMS_long 
63 0 AP891110-0007  731 3.95482 LMwJMS_long 
63 0 AP891117-0115  732 3.95482 LMwJMS_long 
63 0 AP890114-0114  733 3.93460 LMwJMS_long 
63 0 AP890118-0103  734 3.93460 LMwJMS_long 
63 0 AP890122-0074  735 3.93460 LMwJMS_long 
63 0 AP890129-0052  736 3.93460 LMwJMS_long 
63 0 AP890313-0074  737 3.93460 LMwJMS_long 
63 0 AP890314-0113  738 3.93460 LMwJMS_long 
63 0 AP890601-0310  739 3.93460 LMwJMS_long 
63 0 AP890608-0144  740 3.93460 LMwJMS_long 
63 0 AP890716-0026  741 3.93460 LMwJMS_long 
63 0 AP890903-0040  742 3.93460 LMwJMS_long 
63 0 AP890912-0105  743 3.93460 LMwJMS_long 
63 0 AP890912-0240  744 3.93460 LMwJMS_long 
63 0 AP890920-0196  745 3.93460 LMwJMS_long 
63 0 AP891011-0099  746 3.93460 LMwJMS_long 
63 0 AP891027-0026  747 3.93460 LMwJMS_long 
63 0 AP891103-0159  748 3.93460 LMwJMS_long 
63 0 AP891121-0007  749 3.93460 LMwJMS_long 
63 0 AP891201-0092  750 3.93460 LMwJMS_long 
63 0 AP891207-0207  751 3.93460 LMwJMS_long 
63 0 AP890119-0289  752 3.92054 LMwJMS_long 
63 0 AP890808-0011  753 3.92054 LMwJMS_long 
63 0 AP890930-0094  754 3.92054 LMwJMS_long 
63 0 AP890319-0006  755 3.91862 LMwJMS_long 
63 0 AP890518-0096  756 3.91862 LMwJMS_long 
63 0 AP890619-0104  757 3.91862 LMwJMS_long 
63 0 AP890628-0123  758 3.91862 LMwJMS_long 
63 0 AP890909-0036  759 3.91862 LMwJMS_long 
63 0 AP890913-0088  760 3.91862 LMwJMS_long 
63 0 AP891007-0027  761 3.91862 LMwJMS_long 
63 0 AP891012-0019  762 3.91862 LMwJMS_long 
63 0 AP891106-0249  763 3.91862 LMwJMS_long 
63 0 AP891122-0075  764 3.91862 LMwJMS_long 
63 0 AP890213-0144  765 3.89621 LMwJMS_long 
63 0 AP890421-0243  766 3.88228 LMwJMS_long 
63 0 AP890422-0085  767 3.87566 LMwJMS_long 
63 0 AP890615-0088  768 3.87566 LMwJMS_long 
63 0 AP891006-0092  769 3.87566 LMwJMS_long 
63 0 AP891229-0004  770 3.87566 LMwJMS_long 
63 0 AP890102-0039  771 3.86997 LMwJMS_long 
63 0 AP890102-0103  772 3.86997 LMwJMS_long 
63 0 AP890112-0197  773 3.86997 LMwJMS_long 
63 0 AP890302-0072  774 3.86997 LMwJMS_long 
63 0 AP890307-0155  775 3.86997 LMwJMS_long 
63 0 AP890401-0018  776 3.86997 LMwJMS_long 
63 0 AP890406-0076  777 3.86997 LMwJMS_long 
63 0 AP890603-0045  778 3.86997 LMwJMS_long 
63 0 AP890902-0160  779 3.86997 LMwJMS_long 
63 0 AP891030-0166  780 3.86997 LMwJMS_long 
63 0 AP891109-0088  781 3.86997 LMwJMS_long 
63 0 AP891212-0264  782 3.86997 LMwJMS_long 
63 0 AP890721-0096  783 3.85459 LMwJMS_long 
63 0 AP890722-0018  784 3.85459 LMwJMS_long 
63 0 AP890426-0213  785 3.85211 LMwJMS_long 
63 0 AP890613-0199  786 3.85211 LMwJMS_long 
63 0 AP890915-0094  787 3.85211 LMwJMS_long 
63 0 AP891023-0218  788 3.85211 LMwJMS_long 
63 0 AP891030-0242  789 3.85211 LMwJMS_long 
63 0 AP890113-0185  790 3.84675 LMwJMS_long 
63 0 AP890407-0182  791 3.84675 LMwJMS_long 
63 0 AP891106-0079  792 3.84675 LMwJMS_long 
63 0 AP890505-0089  793 3.82906 LMwJMS_long 
63 0 AP890920-0243  794 3.82906 LMwJMS_long 
63 0 AP890107-0150  795 3.81926 LMwJMS_long 
63 0 AP890117-0242  796 3.81926 LMwJMS_long 
63 0 AP890119-0144  797 3.81926 LMwJMS_long 
63 0 AP890124-0009  798 3.81926 LMwJMS_long 
63 0 AP890201-0146  799 3.81926 LMwJMS_long 
63 0 AP890207-0212  800 3.81926 LMwJMS_long 
63 0 AP890222-0023  801 3.81926 LMwJMS_long 
63 0 AP890301-0283  802 3.81926 LMwJMS_long 
63 0 AP890301-0300  803 3.81926 LMwJMS_long 
63 0 AP890316-0240  804 3.81926 LMwJMS_long 
63 0 AP890405-0042  805 3.81926 LMwJMS_long 
63 0 AP890410-0224  806 3.81926 LMwJMS_long 
63 0 AP890413-0164  807 3.81926 LMwJMS_long 
63 0 AP890420-0058  808 3.81926 LMwJMS_long 
63 0 AP890516-0131  809 3.81926 LMwJMS_long 
63 0 AP890524-0083  810 3.81926 LMwJMS_long 
63 0 AP890615-0151  811 3.81926 LMwJMS_long 
63 0 AP890724-0169  812 3.81926 LMwJMS_long 
63 0 AP890811-0085  813 3.81926 LMwJMS_long 
63 0 AP890815-0035  814 3.81926 LMwJMS_long 
63 0 AP890906-0167  815 3.81926 LMwJMS_long 
63 0 AP890913-0155  816 3.81926 LMwJMS_long 
63 0 AP891016-0227  817 3.81926 LMwJMS_long 
63 0 AP891017-0243  818 3.81926 LMwJMS_long 
63 0 AP891114-0062  819 3.81926 LMwJMS_long 
63 0 AP890410-0013  820 3.81884 LMwJMS_long 
63 0 AP890824-0141  821 3.81884 LMwJMS_long 
63 0 AP891129-0183  822 3.81884 LMwJMS_long 
63 0 AP890821-0165  823 3.80953 LMwJMS_long 
63 0 AP891019-0259  824 3.80953 LMwJMS_long 
63 0 AP890906-0133  825 3.78657 LMwJMS_long 
63 0 AP890109-0331  826 3.78427 LMwJMS_long 
63 0 AP890223-0076  827 3.77169 LMwJMS_long 
63 0 AP890404-0023  828 3.77169 LMwJMS_long 
63 0 AP890411-0136  829 3.77169 LMwJMS_long 
63 0 AP890427-0165  830 3.77169 LMwJMS_long 
63 0 AP890131-0266  831 3.75239 LMwJMS_long 
63 0 AP890728-0065  832 3.75239 LMwJMS_long 
63 0 AP890808-0034  833 3.75239 LMwJMS_long 
63 0 AP890116-0047  834 3.72783 LMwJMS_long 
63 0 AP890120-0210  835 3.72783 LMwJMS_long 
63 0 AP890123-0137  836 3.72783 LMwJMS_long 
63 0 AP890123-0282  837 3.72783 LMwJMS_long 
63 0 AP890128-0038  838 3.72783 LMwJMS_long 
63 0 AP890130-0106  839 3.72783 LMwJMS_long 
63 0 AP890131-0051  840 3.72783 LMwJMS_long 
63 0 AP890209-0140  841 3.72783 LMwJMS_long 
63 0 AP890210-0162  842 3.72783 LMwJMS_long 
63 0 AP890327-0067  843 3.72783 LMwJMS_long 
63 0 AP890328-0006  844 3.72783 LMwJMS_long 
63 0 AP890328-0084  845 3.72783 LMwJMS_long 
63 0 AP890401-0003  846 3.72783 LMwJMS_long 
63 0 AP890404-0102  847 3.72783 LMwJMS_long 
63 0 AP890412-0156  848 3.72783 LMwJMS_long 
63 0 AP890418-0210  849 3.72783 LMwJMS_long 
63 0 AP890419-0022  850 3.72783 LMwJMS_long 
63 0 AP890419-0232  851 3.72783 LMwJMS_long 
63 0 AP890522-0297  852 3.72783 LMwJMS_long 
63 0 AP890605-0048  853 3.72783 LMwJMS_long 
63 0 AP890606-0123  854 3.72783 LMwJMS_long 
63 0 AP890619-0164  855 3.72783 LMwJMS_long 
63 0 AP890623-0134  856 3.72783 LMwJMS_long 
63 0 AP890728-0100  857 3.72783 LMwJMS_long 
63 0 AP890731-0017  858 3.72783 LMwJMS_long 
63 0 AP890802-0167  859 3.72783 LMwJMS_long 
63 0 AP890802-0299  860 3.72783 LMwJMS_long 
63 0 AP890908-0236  861 3.72783 LMwJMS_long 
63 0 AP891007-0003  862 3.72783 LMwJMS_long 
63 0 AP891031-0103  863 3.72783 LMwJMS_long 
63 0 AP891104-0074  864 3.72783 LMwJMS_long 
63 0 AP891110-0047  865 3.72783 LMwJMS_long 
63 0 AP891203-0046  866 3.72783 LMwJMS_long 
63 0 AP891208-0085  867 3.72783 LMwJMS_long 
63 0 AP891215-0042  868 3.72783 LMwJMS_long 
63 0 AP891227-0046  869 3.72783 LMwJMS_long 
63 0 AP890207-0220  870 3.72543 LMwJMS_long 
63 0 AP890307-0118  871 3.72261 LMwJMS_long 
63 0 AP890319-0034  872 3.72261 LMwJMS_long 
63 0 AP890506-0066  873 3.72261 LMwJMS_long 
63 0 AP890919-0211  874 3.72261 LMwJMS_long 
63 0 AP890315-0290  875 3.71142 LMwJMS_long 
63 0 AP890110-0191  876 3.70392 LMwJMS_long 
63 0 AP890123-0142  877 3.70392 LMwJMS_long 
63 0 AP890126-0088  878 3.70392 LMwJMS_long 
63 0 AP890127-0053  879 3.70392 LMwJMS_long 
63 0 AP890414-0026  880 3.70392 LMwJMS_long 
63 0 AP890425-0127  881 3.70392 LMwJMS_long 
63 0 AP890502-0170  882 3.70392 LMwJMS_long 
63 0 AP890525-0005  883 3.70392 LMwJMS_long 
63 0 AP890728-0038  884 3.70392 LMwJMS_long 
63 0 AP890816-0076  885 3.70392 LMwJMS_long 
63 0 AP890822-0172  886 3.70392 LMwJMS_long 
63 0 AP890908-0051  887 3.70392 LMwJMS_long 
63 0 AP891026-0152  888 3.70392 LMwJMS_long 
63 0 AP890103-0011  889 3.68159 LMwJMS_long 
63 0 AP890104-0211  890 3.68159 LMwJMS_long 
63 0 AP890106-0104  891 3.68159 LMwJMS_long 
63 0 AP890110-0188  892 3.68159 LMwJMS_long 
63 0 AP890119-0125  893 3.68159 LMwJMS_long 
63 0 AP890119-0222  894 3.68159 LMwJMS_long 
63 0 AP890122-0038  895 3.68159 LMwJMS_long 
63 0 AP890125-0007  896 3.68159 LMwJMS_long 
63 0 AP890309-0125  897 3.68159 LMwJMS_long 
63 0 AP890404-0132  898 3.68159 LMwJMS_long 
63 0 AP890407-0127  899 3.68159 LMwJMS_long 
63 0 AP890427-0087  900 3.68159 LMwJMS_long 
63 0 AP890610-0018  901 3.68159 LMwJMS_long 
