51 0 AP890908-0222    1 0.95151 VSM_short 
62 0 AP891211-0100  597 0.03063 VSM_short 
62 0 AP891217-0025  598 0.03063 VSM_short 
62 0 AP891221-0023  599 0.03063 VSM_short 
62 0 AP891221-0148  600 0.03063 VSM_short 
62 0 AP890106-0080  601 0.03039 VSM_short 
62 0 AP890128-0098  602 0.03039 VSM_short 
62 0 AP890214-0145  603 0.03039 VSM_short 
62 0 AP890310-0062  604 0.03039 VSM_short 
62 0 AP890314-0173  605 0.03039 VSM_short 
62 0 AP890318-0118  606 0.03039 VSM_short 
62 0 AP890417-0160  607 0.03039 VSM_short 
62 0 AP890419-0039  608 0.03039 VSM_short 
62 0 AP890420-0172  609 0.03039 VSM_short 
62 0 AP890428-0014  610 0.03039 VSM_short 
62 0 AP890506-0079  611 0.03039 VSM_short 
62 0 AP890609-0154  612 0.03039 VSM_short 
62 0 AP890611-0050  613 0.03039 VSM_short 
62 0 AP890707-0173  614 0.03039 VSM_short 
62 0 AP890716-0032  615 0.03039 VSM_short 
62 0 AP890727-0030  616 0.03039 VSM_short 
62 0 AP890809-0198  617 0.03039 VSM_short 
62 0 AP890812-0026  618 0.03039 VSM_short 
62 0 AP890902-0055  619 0.03039 VSM_short 
62 0 AP890902-0057  620 0.03039 VSM_short 
62 0 AP890912-0062  621 0.03039 VSM_short 
62 0 AP890922-0039  622 0.03039 VSM_short 
62 0 AP891009-0144  623 0.03039 VSM_short 
62 0 AP891025-0159  624 0.03039 VSM_short 
62 0 AP891028-0016  625 0.03039 VSM_short 
62 0 AP891106-0132  626 0.03039 VSM_short 
62 0 AP891115-0031  627 0.03039 VSM_short 
62 0 AP891122-0039  628 0.03039 VSM_short 
62 0 AP891204-0156  629 0.03039 VSM_short 
62 0 AP891220-0031  630 0.03039 VSM_short 
62 0 AP891220-0054  631 0.03039 VSM_short 
62 0 AP891222-0041  632 0.03039 VSM_short 
62 0 AP890414-0226  633 0.03027 VSM_short 
62 0 AP890511-0206  634 0.03027 VSM_short 
62 0 AP890613-0078  635 0.03027 VSM_short 
62 0 AP890616-0175  636 0.03027 VSM_short 
62 0 AP890624-0003  637 0.03027 VSM_short 
62 0 AP890624-0128  638 0.03027 VSM_short 
62 0 AP890819-0081  639 0.03027 VSM_short 
62 0 AP891007-0117  640 0.03027 VSM_short 
62 0 AP891114-0151  641 0.03027 VSM_short 
62 0 AP891207-0112  642 0.03027 VSM_short 
62 0 AP891218-0187  643 0.03027 VSM_short 
62 0 AP890104-0174  644 0.02997 VSM_short 
62 0 AP890114-0137  645 0.02997 VSM_short 
62 0 AP890116-0108  646 0.02997 VSM_short 
62 0 AP890127-0091  647 0.02997 VSM_short 
62 0 AP890203-0190  648 0.02997 VSM_short 
62 0 AP890211-0080  649 0.02997 VSM_short 
62 0 AP890223-0172  650 0.02997 VSM_short 
62 0 AP890227-0111  651 0.02997 VSM_short 
62 0 AP890318-0108  652 0.02997 VSM_short 
62 0 AP890319-0094  653 0.02997 VSM_short 
62 0 AP890328-0126  654 0.02997 VSM_short 
62 0 AP890406-0040  655 0.02997 VSM_short 
62 0 AP890414-0085  656 0.02997 VSM_short 
62 0 AP890414-0157  657 0.02997 VSM_short 
62 0 AP890425-0069  658 0.02997 VSM_short 
62 0 AP890428-0170  659 0.02997 VSM_short 
62 0 AP890502-0146  660 0.02997 VSM_short 
62 0 AP890509-0089  661 0.02997 VSM_short 
62 0 AP890513-0047  662 0.02997 VSM_short 
62 0 AP890528-0015  663 0.02997 VSM_short 
62 0 AP890530-0070  664 0.02997 VSM_short 
62 0 AP890606-0153  665 0.02997 VSM_short 
62 0 AP890607-0025  666 0.02997 VSM_short 
62 0 AP890608-0027  667 0.02997 VSM_short 
62 0 AP890610-0088  668 0.02997 VSM_short 
62 0 AP890619-0061  669 0.02997 VSM_short 
62 0 AP890619-0109  670 0.02997 VSM_short 
62 0 AP890621-0204  671 0.02997 VSM_short 
62 0 AP890624-0108  672 0.02997 VSM_short 
62 0 AP890710-0106  673 0.02997 VSM_short 
62 0 AP890719-0161  674 0.02997 VSM_short 
62 0 AP890721-0058  675 0.02997 VSM_short 
62 0 AP890721-0119  676 0.02997 VSM_short 
62 0 AP890726-0085  677 0.02997 VSM_short 
62 0 AP890727-0022  678 0.02997 VSM_short 
62 0 AP890727-0206  679 0.02997 VSM_short 
62 0 AP890801-0077  680 0.02997 VSM_short 
62 0 AP890831-0191  681 0.02997 VSM_short 
62 0 AP890902-0054  682 0.02997 VSM_short 
62 0 AP890908-0103  683 0.02997 VSM_short 
62 0 AP890916-0091  684 0.02997 VSM_short 
62 0 AP891005-0036  685 0.02997 VSM_short 
62 0 AP891006-0059  686 0.02997 VSM_short 
62 0 AP891012-0046  687 0.02997 VSM_short 
62 0 AP891018-0159  688 0.02997 VSM_short 
62 0 AP891019-0083  689 0.02997 VSM_short 
62 0 AP891019-0142  690 0.02997 VSM_short 
62 0 AP891022-0015  691 0.02997 VSM_short 
62 0 AP891031-0167  692 0.02997 VSM_short 
62 0 AP891031-0176  693 0.02997 VSM_short 
62 0 AP891118-0051  694 0.02997 VSM_short 
62 0 AP891118-0058  695 0.02997 VSM_short 
62 0 AP891119-0026  696 0.02997 VSM_short 
62 0 AP891121-0195  697 0.02997 VSM_short 
62 0 AP891128-0072  698 0.02997 VSM_short 
62 0 AP891203-0024  699 0.02997 VSM_short 
62 0 AP891213-0017  700 0.02997 VSM_short 
62 0 AP890104-0007  701 0.02872 VSM_short 
62 0 AP890106-0157  702 0.02872 VSM_short 
62 0 AP890123-0010  703 0.02872 VSM_short 
62 0 AP890124-0012  704 0.02872 VSM_short 
62 0 AP890126-0043  705 0.02872 VSM_short 
62 0 AP890213-0013  706 0.02872 VSM_short 
62 0 AP890221-0042  707 0.02872 VSM_short 
62 0 AP890223-0186  708 0.02872 VSM_short 
62 0 AP890313-0084  709 0.02872 VSM_short 
62 0 AP890407-0097  710 0.02872 VSM_short 
62 0 AP890414-0137  711 0.02872 VSM_short 
62 0 AP890517-0024  712 0.02872 VSM_short 
62 0 AP890531-0023  713 0.02872 VSM_short 
62 0 AP890606-0073  714 0.02872 VSM_short 
62 0 AP890713-0123  715 0.02872 VSM_short 
62 0 AP890806-0018  716 0.02872 VSM_short 
62 0 AP890811-0173  717 0.02872 VSM_short 
62 0 AP890812-0089  718 0.02872 VSM_short 
62 0 AP891009-0055  719 0.02872 VSM_short 
62 0 AP891109-0170  720 0.02872 VSM_short 
62 0 AP891121-0105  721 0.02872 VSM_short 
62 0 AP891201-0038  722 0.02872 VSM_short 
62 0 AP891222-0136  723 0.02872 VSM_short 
62 0 AP891222-0195  724 0.02872 VSM_short 
62 0 AP890104-0076  725 0.02814 VSM_short 
62 0 AP890106-0194  726 0.02814 VSM_short 
62 0 AP890111-0206  727 0.02814 VSM_short 
62 0 AP890112-0147  728 0.02814 VSM_short 
62 0 AP890116-0032  729 0.02814 VSM_short 
62 0 AP890127-0204  730 0.02814 VSM_short 
62 0 AP890129-0063  731 0.02814 VSM_short 
62 0 AP890131-0230  732 0.02814 VSM_short 
62 0 AP890205-0021  733 0.02814 VSM_short 
62 0 AP890208-0231  734 0.02814 VSM_short 
62 0 AP890301-0191  735 0.02814 VSM_short 
62 0 AP890302-0160  736 0.02814 VSM_short 
62 0 AP890306-0128  737 0.02814 VSM_short 
62 0 AP890315-0042  738 0.02814 VSM_short 
62 0 AP890325-0070  739 0.02814 VSM_short 
62 0 AP890405-0019  740 0.02814 VSM_short 
62 0 AP890413-0080  741 0.02814 VSM_short 
62 0 AP890421-0015  742 0.02814 VSM_short 
62 0 AP890422-0061  743 0.02814 VSM_short 
62 0 AP890501-0114  744 0.02814 VSM_short 
62 0 AP890502-0026  745 0.02814 VSM_short 
62 0 AP890504-0042  746 0.02814 VSM_short 
62 0 AP890508-0194  747 0.02814 VSM_short 
62 0 AP890519-0194  748 0.02814 VSM_short 
62 0 AP890526-0122  749 0.02814 VSM_short 
62 0 AP890530-0016  750 0.02814 VSM_short 
62 0 AP890530-0058  751 0.02814 VSM_short 
62 0 AP890601-0015  752 0.02814 VSM_short 
62 0 AP890608-0123  753 0.02814 VSM_short 
62 0 AP890609-0046  754 0.02814 VSM_short 
62 0 AP890619-0164  755 0.02814 VSM_short 
62 0 AP890702-0018  756 0.02814 VSM_short 
62 0 AP890705-0159  757 0.02814 VSM_short 
62 0 AP890710-0083  758 0.02814 VSM_short 
62 0 AP890711-0160  759 0.02814 VSM_short 
62 0 AP890712-0196  760 0.02814 VSM_short 
62 0 AP890718-0008  761 0.02814 VSM_short 
62 0 AP890718-0070  762 0.02814 VSM_short 
62 0 AP890720-0002  763 0.02814 VSM_short 
62 0 AP890727-0165  764 0.02814 VSM_short 
62 0 AP890802-0042  765 0.02814 VSM_short 
62 0 AP890809-0073  766 0.02814 VSM_short 
62 0 AP890818-0117  767 0.02814 VSM_short 
62 0 AP890820-0034  768 0.02814 VSM_short 
62 0 AP890831-0150  769 0.02814 VSM_short 
62 0 AP890904-0021  770 0.02814 VSM_short 
62 0 AP890909-0140  771 0.02814 VSM_short 
62 0 AP890915-0134  772 0.02814 VSM_short 
62 0 AP890918-0095  773 0.02814 VSM_short 
62 0 AP890920-0126  774 0.02814 VSM_short 
62 0 AP891002-0289  775 0.02814 VSM_short 
62 0 AP891007-0033  776 0.02814 VSM_short 
62 0 AP891108-0016  777 0.02814 VSM_short 
62 0 AP891207-0075  778 0.02814 VSM_short 
62 0 AP891216-0036  779 0.02814 VSM_short 
62 0 AP891218-0188  780 0.02814 VSM_short 
62 0 AP891220-0146  781 0.02814 VSM_short 
62 0 AP890118-0249  782 0.02761 VSM_short 
62 0 AP891203-0010  783 0.02761 VSM_short 
62 0 AP890104-0053  784 0.02708 VSM_short 
62 0 AP890106-0089  785 0.02708 VSM_short 
62 0 AP890109-0041  786 0.02708 VSM_short 
62 0 AP890110-0096  787 0.02708 VSM_short 
62 0 AP890110-0216  788 0.02708 VSM_short 
62 0 AP890111-0167  789 0.02708 VSM_short 
62 0 AP890111-0216  790 0.02708 VSM_short 
62 0 AP890115-0023  791 0.02708 VSM_short 
62 0 AP890115-0071  792 0.02708 VSM_short 
62 0 AP890116-0110  793 0.02708 VSM_short 
62 0 AP890116-0155  794 0.02708 VSM_short 
62 0 AP890117-0122  795 0.02708 VSM_short 
62 0 AP890119-0105  796 0.02708 VSM_short 
62 0 AP890124-0218  797 0.02708 VSM_short 
62 0 AP890125-0172  798 0.02708 VSM_short 
62 0 AP890125-0213  799 0.02708 VSM_short 
62 0 AP890126-0164  800 0.02708 VSM_short 
62 0 AP890130-0176  801 0.02708 VSM_short 
62 0 AP890202-0191  802 0.02708 VSM_short 
62 0 AP890214-0123  803 0.02708 VSM_short 
62 0 AP890216-0148  804 0.02708 VSM_short 
62 0 AP890220-0120  805 0.02708 VSM_short 
62 0 AP890222-0003  806 0.02708 VSM_short 
62 0 AP890222-0229  807 0.02708 VSM_short 
62 0 AP890223-0116  808 0.02708 VSM_short 
62 0 AP890223-0200  809 0.02708 VSM_short 
62 0 AP890308-0001  810 0.02708 VSM_short 
62 0 AP890309-0053  811 0.02708 VSM_short 
62 0 AP890310-0164  812 0.02708 VSM_short 
62 0 AP890315-0108  813 0.02708 VSM_short 
62 0 AP890315-0148  814 0.02708 VSM_short 
62 0 AP890316-0193  815 0.02708 VSM_short 
62 0 AP890317-0028  816 0.02708 VSM_short 
62 0 AP890317-0136  817 0.02708 VSM_short 
62 0 AP890324-0026  818 0.02708 VSM_short 
62 0 AP890325-0024  819 0.02708 VSM_short 
62 0 AP890329-0079  820 0.02708 VSM_short 
62 0 AP890329-0188  821 0.02708 VSM_short 
62 0 AP890405-0078  822 0.02708 VSM_short 
62 0 AP890405-0115  823 0.02708 VSM_short 
62 0 AP890410-0031  824 0.02708 VSM_short 
62 0 AP890413-0185  825 0.02708 VSM_short 
62 0 AP890414-0030  826 0.02708 VSM_short 
62 0 AP890416-0010  827 0.02708 VSM_short 
62 0 AP890416-0013  828 0.02708 VSM_short 
62 0 AP890417-0085  829 0.02708 VSM_short 
62 0 AP890421-0177  830 0.02708 VSM_short 
62 0 AP890422-0018  831 0.02708 VSM_short 
62 0 AP890422-0050  832 0.02708 VSM_short 
62 0 AP890422-0053  833 0.02708 VSM_short 
62 0 AP890422-0059  834 0.02708 VSM_short 
62 0 AP890427-0078  835 0.02708 VSM_short 
62 0 AP890427-0170  836 0.02708 VSM_short 
62 0 AP890428-0094  837 0.02708 VSM_short 
62 0 AP890428-0231  838 0.02708 VSM_short 
62 0 AP890430-0058  839 0.02708 VSM_short 
62 0 AP890504-0079  840 0.02708 VSM_short 
62 0 AP890504-0146  841 0.02708 VSM_short 
62 0 AP890508-0104  842 0.02708 VSM_short 
62 0 AP890508-0116  843 0.02708 VSM_short 
62 0 AP890508-0209  844 0.02708 VSM_short 
62 0 AP890510-0080  845 0.02708 VSM_short 
62 0 AP890514-0011  846 0.02708 VSM_short 
62 0 AP890515-0193  847 0.02708 VSM_short 
62 0 AP890515-0202  848 0.02708 VSM_short 
62 0 AP890516-0115  849 0.02708 VSM_short 
62 0 AP890516-0172  850 0.02708 VSM_short 
62 0 AP890517-0151  851 0.02708 VSM_short 
62 0 AP890529-0120  852 0.02708 VSM_short 
62 0 AP890530-0180  853 0.02708 VSM_short 
62 0 AP890606-0125  854 0.02708 VSM_short 
62 0 AP890608-0204  855 0.02708 VSM_short 
62 0 AP890614-0134  856 0.02708 VSM_short 
62 0 AP890616-0067  857 0.02708 VSM_short 
62 0 AP890617-0080  858 0.02708 VSM_short 
62 0 AP890617-0103  859 0.02708 VSM_short 
62 0 AP890623-0069  860 0.02708 VSM_short 
62 0 AP890627-0104  861 0.02708 VSM_short 
62 0 AP890630-0089  862 0.02708 VSM_short 
62 0 AP890701-0068  863 0.02708 VSM_short 
62 0 AP890710-0081  864 0.02708 VSM_short 
62 0 AP890711-0152  865 0.02708 VSM_short 
62 0 AP890712-0064  866 0.02708 VSM_short 
62 0 AP890714-0014  867 0.02708 VSM_short 
62 0 AP890716-0066  868 0.02708 VSM_short 
62 0 AP890718-0166  869 0.02708 VSM_short 
62 0 AP890725-0232  870 0.02708 VSM_short 
62 0 AP890729-0120  871 0.02708 VSM_short 
62 0 AP890730-0002  872 0.02708 VSM_short 
62 0 AP890808-0115  873 0.02708 VSM_short 
62 0 AP890810-0042  874 0.02708 VSM_short 
62 0 AP890811-0094  875 0.02708 VSM_short 
62 0 AP890813-0008  876 0.02708 VSM_short 
62 0 AP890813-0009  877 0.02708 VSM_short 
62 0 AP890815-0069  878 0.02708 VSM_short 
62 0 AP890816-0114  879 0.02708 VSM_short 
62 0 AP890816-0178  880 0.02708 VSM_short 
62 0 AP890818-0140  881 0.02708 VSM_short 
62 0 AP890819-0132  882 0.02708 VSM_short 
62 0 AP890819-0134  883 0.02708 VSM_short 
62 0 AP890822-0024  884 0.02708 VSM_short 
62 0 AP890822-0104  885 0.02708 VSM_short 
62 0 AP890823-0164  886 0.02708 VSM_short 
62 0 AP890825-0090  887 0.02708 VSM_short 
62 0 AP890827-0052  888 0.02708 VSM_short 
62 0 AP890828-0088  889 0.02708 VSM_short 
62 0 AP890831-0120  890 0.02708 VSM_short 
62 0 AP890903-0002  891 0.02708 VSM_short 
62 0 AP890905-0046  892 0.02708 VSM_short 
62 0 AP890906-0163  893 0.02708 VSM_short 
62 0 AP890906-0208  894 0.02708 VSM_short 
62 0 AP890907-0103  895 0.02708 VSM_short 
62 0 AP890909-0138  896 0.02708 VSM_short 
62 0 AP890911-0103  897 0.02708 VSM_short 
62 0 AP890912-0167  898 0.02708 VSM_short 
62 0 AP890912-0199  899 0.02708 VSM_short 
62 0 AP890920-0052  900 0.02708 VSM_short 
62 0 AP890921-0164  901 0.02708 VSM_short 
62 0 AP890927-0136  902 0.02708 VSM_short 
62 0 AP891002-0052  903 0.02708 VSM_short 
62 0 AP891004-0188  904 0.02708 VSM_short 
62 0 AP891004-0215  905 0.02708 VSM_short 
62 0 AP891007-0064  906 0.02708 VSM_short 
62 0 AP891007-0124  907 0.02708 VSM_short 
62 0 AP891012-0152  908 0.02708 VSM_short 
62 0 AP891014-0121  909 0.02708 VSM_short 
62 0 AP891019-0051  910 0.02708 VSM_short 
62 0 AP891019-0174  911 0.02708 VSM_short 
62 0 AP891020-0198  912 0.02708 VSM_short 
62 0 AP891021-0039  913 0.02708 VSM_short 
62 0 AP891021-0076  914 0.02708 VSM_short 
62 0 AP891021-0138  915 0.02708 VSM_short 
62 0 AP891030-0104  916 0.02708 VSM_short 
62 0 AP891030-0120  917 0.02708 VSM_short 
62 0 AP891031-0143  918 0.02708 VSM_short 
62 0 AP891102-0155  919 0.02708 VSM_short 
62 0 AP891103-0153  920 0.02708 VSM_short 
62 0 AP891104-0117  921 0.02708 VSM_short 
62 0 AP891105-0018  922 0.02708 VSM_short 
62 0 AP891105-0058  923 0.02708 VSM_short 
62 0 AP891106-0111  924 0.02708 VSM_short 
62 0 AP891106-0120  925 0.02708 VSM_short 
62 0 AP891109-0135  926 0.02708 VSM_short 
62 0 AP891120-0152  927 0.02708 VSM_short 
62 0 AP891121-0182  928 0.02708 VSM_short 
62 0 AP891122-0201  929 0.02708 VSM_short 
62 0 AP891123-0106  930 0.02708 VSM_short 
62 0 AP891128-0094  931 0.02708 VSM_short 
62 0 AP891206-0028  932 0.02708 VSM_short 
62 0 AP891211-0137  933 0.02708 VSM_short 
62 0 AP891213-0136  934 0.02708 VSM_short 
62 0 AP891213-0144  935 0.02708 VSM_short 
62 0 AP891215-0196  936 0.02708 VSM_short 
62 0 AP891221-0008  937 0.02708 VSM_short 
62 0 AP891221-0075  938 0.02708 VSM_short 
62 0 AP891221-0145  939 0.02708 VSM_short 
62 0 AP891221-0153  940 0.02708 VSM_short 
62 0 AP891222-0174  941 0.02708 VSM_short 
62 0 AP891227-0020  942 0.02708 VSM_short 
62 0 AP891229-0022  943 0.02708 VSM_short 
62 0 AP891229-0147  944 0.02708 VSM_short 
62 0 AP891230-0078  945 0.02708 VSM_short 
62 0 AP890110-0012  946 0.02680 VSM_short 
62 0 AP890113-0123  947 0.02680 VSM_short 
62 0 AP890117-0026  948 0.02680 VSM_short 
62 0 AP890118-0192  949 0.02680 VSM_short 
62 0 AP890119-0042  950 0.02680 VSM_short 
62 0 AP890123-0114  951 0.02680 VSM_short 
62 0 AP890125-0065  952 0.02680 VSM_short 
62 0 AP890129-0043  953 0.02680 VSM_short 
62 0 AP890202-0184  954 0.02680 VSM_short 
62 0 AP890203-0169  955 0.02680 VSM_short 
62 0 AP890204-0122  956 0.02680 VSM_short 
62 0 AP890206-0089  957 0.02680 VSM_short 
62 0 AP890207-0192  958 0.02680 VSM_short 
62 0 AP890208-0005  959 0.02680 VSM_short 
62 0 AP890208-0131  960 0.02680 VSM_short 
62 0 AP890209-0096  961 0.02680 VSM_short 
62 0 AP890209-0192  962 0.02680 VSM_short 
62 0 AP890210-0187  963 0.02680 VSM_short 
62 0 AP890211-0156  964 0.02680 VSM_short 
62 0 AP890219-0068  965 0.02680 VSM_short 
62 0 AP890220-0096  966 0.02680 VSM_short 
62 0 AP890221-0161  967 0.02680 VSM_short 
62 0 AP890224-0020  968 0.02680 VSM_short 
62 0 AP890301-0241  969 0.02680 VSM_short 
62 0 AP890302-0170  970 0.02680 VSM_short 
62 0 AP890305-0027  971 0.02680 VSM_short 
62 0 AP890311-0140  972 0.02680 VSM_short 
62 0 AP890312-0036  973 0.02680 VSM_short 
62 0 AP890312-0075  974 0.02680 VSM_short 
62 0 AP890314-0045  975 0.02680 VSM_short 
62 0 AP890314-0105  976 0.02680 VSM_short 
62 0 AP890315-0178  977 0.02680 VSM_short 
62 0 AP890315-0217  978 0.02680 VSM_short 
62 0 AP890320-0120  979 0.02680 VSM_short 
62 0 AP890323-0166  980 0.02680 VSM_short 
62 0 AP890324-0120  981 0.02680 VSM_short 
62 0 AP890325-0128  982 0.02680 VSM_short 
62 0 AP890326-0015  983 0.02680 VSM_short 
62 0 AP890403-0087  984 0.02680 VSM_short 
62 0 AP890406-0097  985 0.02680 VSM_short 
62 0 AP890406-0166  986 0.02680 VSM_short 
62 0 AP890407-0194  987 0.02680 VSM_short 
62 0 AP890409-0006  988 0.02680 VSM_short 
62 0 AP890411-0045  989 0.02680 VSM_short 
62 0 AP890412-0201  990 0.02680 VSM_short 
62 0 AP890413-0142  991 0.02680 VSM_short 
62 0 AP890414-0133  992 0.02680 VSM_short 
62 0 AP890414-0150  993 0.02680 VSM_short 
62 0 AP890414-0184  994 0.02680 VSM_short 
62 0 AP890414-0202  995 0.02680 VSM_short 
62 0 AP890416-0040  996 0.02680 VSM_short 
62 0 AP890420-0266  997 0.02680 VSM_short 
62 0 AP890422-0067  998 0.02680 VSM_short 
62 0 AP890423-0068  999 0.02680 VSM_short 
62 0 AP890428-0238 1000 0.02680 VSM_short 
63 0 AP891005-0254    1 0.63608 VSM_short 
63 0 AP891109-0261    2 0.58772 VSM_short 
63 0 AP891103-0230    3 0.44342 VSM_short 
63 0 AP890227-0254    4 0.35473 VSM_short 
63 0 AP890508-0044    5 0.35029 VSM_short 
63 0 AP890519-0134    6 0.34632 VSM_short 
63 0 AP890705-0209    7 0.33152 VSM_short 
63 0 AP890622-0041    8 0.32819 VSM_short 
63 0 AP890903-0086    9 0.31649 VSM_short 
63 0 AP890515-0040   10 0.31451 VSM_short 
63 0 AP890315-0234   11 0.31413 VSM_short 
63 0 AP890316-0232   12 0.31413 VSM_short 
63 0 AP891227-0164   13 0.31413 VSM_short 
63 0 AP890317-0141   14 0.28130 VSM_short 
63 0 AP890515-0054   15 0.28130 VSM_short 
63 0 AP890104-0274   16 0.26855 VSM_short 
63 0 AP890928-0089   17 0.26522 VSM_short 
63 0 AP891127-0145   18 0.26522 VSM_short 
63 0 AP890219-0033   19 0.23442 VSM_short 
63 0 AP890220-0059   20 0.23442 VSM_short 
63 0 AP890603-0131   21 0.23442 VSM_short 
63 0 AP890921-0089   22 0.23442 VSM_short 
63 0 AP891106-0177   23 0.23442 VSM_short 
63 0 AP891108-0250   24 0.23442 VSM_short 
63 0 AP891203-0025   25 0.23442 VSM_short 
63 0 AP890314-0090   26 0.23257 VSM_short 
63 0 AP891130-0093   27 0.23257 VSM_short 
63 0 AP890223-0101   28 0.23206 VSM_short 
63 0 AP890424-0189   29 0.23206 VSM_short 
63 0 AP891204-0019   30 0.23206 VSM_short 
63 0 AP891219-0071   31 0.23206 VSM_short 
63 0 AP890122-0081   32 0.22379 VSM_short 
63 0 AP890905-0089   33 0.22379 VSM_short 
63 0 AP891101-0223   34 0.22379 VSM_short 
63 0 AP890620-0111   35 0.22267 VSM_short 
63 0 AP890911-0285   36 0.22267 VSM_short 
63 0 AP890801-0222   37 0.22154 VSM_short 
63 0 AP890920-0051   38 0.21927 VSM_short 
63 0 AP890920-0224   39 0.20301 VSM_short 
63 0 AP890222-0222   40 0.19891 VSM_short 
63 0 AP890312-0020   41 0.19891 VSM_short 
63 0 AP890701-0079   42 0.19891 VSM_short 
63 0 AP891225-0039   43 0.19891 VSM_short 
63 0 AP890127-0015   44 0.19381 VSM_short 
63 0 AP890825-0130   45 0.19381 VSM_short 
63 0 AP890522-0064   46 0.19186 VSM_short 
63 0 AP890701-0104   47 0.19186 VSM_short 
63 0 AP890328-0087   48 0.18990 VSM_short 
63 0 AP890421-0155   49 0.18990 VSM_short 
63 0 AP890503-0016   50 0.18990 VSM_short 
63 0 AP891129-0101   51 0.18990 VSM_short 
63 0 AP891211-0014   52 0.18990 VSM_short 
63 0 AP890105-0188   53 0.18754 VSM_short 
63 0 AP890221-0159   54 0.18754 VSM_short 
63 0 AP890302-0176   55 0.18754 VSM_short 
63 0 AP890303-0121   56 0.18754 VSM_short 
63 0 AP890310-0216   57 0.18754 VSM_short 
63 0 AP890316-0018   58 0.18754 VSM_short 
63 0 AP890411-0134   59 0.18754 VSM_short 
63 0 AP890426-0072   60 0.18754 VSM_short 
63 0 AP890616-0105   61 0.18754 VSM_short 
63 0 AP890708-0003   62 0.18754 VSM_short 
63 0 AP890710-0071   63 0.18754 VSM_short 
63 0 AP890712-0144   64 0.18754 VSM_short 
63 0 AP890718-0100   65 0.18754 VSM_short 
63 0 AP890814-0110   66 0.18754 VSM_short 
63 0 AP890916-0065   67 0.18754 VSM_short 
63 0 AP891011-0200   68 0.18754 VSM_short 
63 0 AP891028-0067   69 0.18754 VSM_short 
63 0 AP891122-0079   70 0.18754 VSM_short 
63 0 AP890513-0043   71 0.17904 VSM_short 
63 0 AP890322-0184   72 0.17763 VSM_short 
63 0 AP890327-0171   73 0.17763 VSM_short 
63 0 AP891015-0072   74 0.17763 VSM_short 
63 0 AP890728-0035   75 0.17515 VSM_short 
63 0 AP891121-0035   76 0.17515 VSM_short 
63 0 AP890831-0127   77 0.16785 VSM_short 
63 0 AP890417-0222   78 0.16576 VSM_short 
63 0 AP890901-0155   79 0.16576 VSM_short 
63 0 AP890902-0030   80 0.16576 VSM_short 
63 0 AP891016-0226   81 0.16576 VSM_short 
63 0 AP891104-0039   82 0.16445 VSM_short 
63 0 AP891203-0072   83 0.16445 VSM_short 
63 0 AP890115-0016   84 0.16409 VSM_short 
63 0 AP890126-0085   85 0.16409 VSM_short 
63 0 AP890127-0211   86 0.16409 VSM_short 
63 0 AP890221-0051   87 0.16409 VSM_short 
63 0 AP890420-0060   88 0.16409 VSM_short 
63 0 AP890421-0081   89 0.16409 VSM_short 
63 0 AP890425-0302   90 0.16409 VSM_short 
63 0 AP890505-0162   91 0.16409 VSM_short 
63 0 AP890614-0045   92 0.16409 VSM_short 
63 0 AP890617-0075   93 0.16409 VSM_short 
63 0 AP890703-0107   94 0.16409 VSM_short 
63 0 AP890718-0056   95 0.16409 VSM_short 
63 0 AP890718-0134   96 0.16409 VSM_short 
63 0 AP890805-0103   97 0.16409 VSM_short 
63 0 AP890917-0084   98 0.16409 VSM_short 
63 0 AP891018-0013   99 0.16409 VSM_short 
63 0 AP891021-0036  100 0.16409 VSM_short 
63 0 AP891116-0153  101 0.16409 VSM_short 
63 0 AP891216-0126  102 0.16409 VSM_short 
63 0 AP890116-0063  103 0.15825 VSM_short 
63 0 AP890320-0193  104 0.15825 VSM_short 
63 0 AP890425-0091  105 0.15825 VSM_short 
63 0 AP890517-0137  106 0.15825 VSM_short 
63 0 AP890525-0002  107 0.15825 VSM_short 
63 0 AP890614-0130  108 0.15825 VSM_short 
63 0 AP891004-0154  109 0.15825 VSM_short 
63 0 AP891016-0231  110 0.15825 VSM_short 
63 0 AP891123-0123  111 0.15825 VSM_short 
63 0 AP890213-0254  112 0.15666 VSM_short 
63 0 AP890318-0040  113 0.15666 VSM_short 
63 0 AP890424-0096  114 0.15666 VSM_short 
63 0 AP890715-0119  115 0.15666 VSM_short 
63 0 AP890809-0113  116 0.15666 VSM_short 
63 0 AP890913-0281  117 0.15666 VSM_short 
63 0 AP891006-0257  118 0.15666 VSM_short 
63 0 AP891114-0159  119 0.15666 VSM_short 
63 0 AP891115-0232  120 0.15666 VSM_short 
63 0 AP891128-0107  121 0.15666 VSM_short 
63 0 AP890620-0215  122 0.15505 VSM_short 
63 0 AP890622-0210  123 0.15505 VSM_short 
63 0 AP891213-0081  124 0.15505 VSM_short 
63 0 AP890609-0185  125 0.15013 VSM_short 
63 0 AP890831-0261  126 0.15013 VSM_short 
63 0 AP891025-0281  127 0.15013 VSM_short 
63 0 AP890121-0027  128 0.14065 VSM_short 
63 0 AP890214-0118  129 0.14065 VSM_short 
63 0 AP890222-0038  130 0.14065 VSM_short 
63 0 AP890222-0191  131 0.14065 VSM_short 
63 0 AP890226-0017  132 0.14065 VSM_short 
63 0 AP890313-0018  133 0.14065 VSM_short 
