51 0 AP890503-0279    1 0.26778 TREC_short 
15697 0 AP890420-0191  647 0.02236 TREC_short 
15698 0 AP890809-0057  648 0.02236 TREC_short 
15699 0 AP890809-0236  649 0.02236 TREC_short 
15700 0 AP890109-0123  650 0.02236 TREC_short 
15701 0 AP890817-0063  651 0.02236 TREC_short 
15702 0 AP890817-0129  652 0.02236 TREC_short 
15703 0 AP890819-0136  653 0.02236 TREC_short 
15704 0 AP890824-0056  654 0.02236 TREC_short 
15705 0 AP890228-0080  655 0.02236 TREC_short 
15706 0 AP890829-0067  656 0.02236 TREC_short 
15707 0 AP890502-0106  657 0.02236 TREC_short 
15708 0 AP890504-0008  658 0.02236 TREC_short 
15709 0 AP890909-0042  659 0.02236 TREC_short 
15710 0 AP890506-0044  660 0.02236 TREC_short 
15711 0 AP890912-0155  661 0.02236 TREC_short 
15712 0 AP890508-0158  662 0.02236 TREC_short 
15713 0 AP890915-0097  663 0.02236 TREC_short 
15714 0 AP890915-0224  664 0.02236 TREC_short 
15715 0 AP890920-0205  665 0.02236 TREC_short 
15716 0 AP890511-0073  666 0.02236 TREC_short 
15717 0 AP890921-0187  667 0.02236 TREC_short 
15718 0 AP890923-0051  668 0.02236 TREC_short 
15719 0 AP890118-0057  669 0.02236 TREC_short 
15720 0 AP890307-0055  670 0.02236 TREC_short 
15721 0 AP890925-0196  671 0.02236 TREC_short 
15722 0 AP890515-0117  672 0.02236 TREC_short 
15723 0 AP890515-0292  673 0.02236 TREC_short 
15724 0 AP890308-0114  674 0.02236 TREC_short 
15725 0 AP890309-0008  675 0.02236 TREC_short 
15726 0 AP891005-0128  676 0.02236 TREC_short 
15727 0 AP890628-0008  677 0.02228 TREC_short 
15728 0 AP891005-0255  678 0.02218 TREC_short 
15729 0 AP891009-0196  679 0.02204 TREC_short 
15730 0 AP891010-0089  680 0.02204 TREC_short 
15731 0 AP890522-0165  681 0.02204 TREC_short 
15732 0 AP891015-0058  682 0.02204 TREC_short 
15733 0 AP891016-0076  683 0.02204 TREC_short 
15734 0 AP890523-0220  684 0.02204 TREC_short 
15735 0 AP890524-0304  685 0.02204 TREC_short 
15736 0 AP890314-0046  686 0.02204 TREC_short 
15737 0 AP890529-0004  687 0.02204 TREC_short 
15738 0 AP891027-0295  688 0.02204 TREC_short 
15739 0 AP891030-0294  689 0.02204 TREC_short 
15740 0 AP890316-0256  690 0.02204 TREC_short 
15741 0 AP890317-0071  691 0.02204 TREC_short 
15742 0 AP891107-0187  692 0.02204 TREC_short 
15743 0 AP890317-0047  693 0.02204 TREC_short 
15744 0 AP891110-0001  694 0.02204 TREC_short 
15745 0 AP890207-0266  695 0.02204 TREC_short 
15746 0 AP890318-0077  696 0.02204 TREC_short 
15747 0 AP890111-0136  697 0.02204 TREC_short 
15748 0 AP890609-0085  698 0.02204 TREC_short 
15749 0 AP890609-0203  699 0.02204 TREC_short 
15750 0 AP891120-0228  700 0.02204 TREC_short 
15751 0 AP890614-0058  701 0.02204 TREC_short 
15752 0 AP890614-0094  702 0.02204 TREC_short 
15753 0 AP890209-0068  703 0.02204 TREC_short 
15754 0 AP891127-0046  704 0.02204 TREC_short 
15755 0 AP891127-0073  705 0.02204 TREC_short 
15756 0 AP890615-0076  706 0.02204 TREC_short 
15757 0 AP891202-0026  707 0.02204 TREC_short 
15758 0 AP890618-0085  708 0.02204 TREC_short 
15759 0 AP890105-0264  709 0.02204 TREC_short 
15760 0 AP891209-0059  710 0.02204 TREC_short 
15761 0 AP891211-0129  711 0.02204 TREC_short 
15762 0 AP890210-0295  712 0.02204 TREC_short 
15763 0 AP890623-0068  713 0.02204 TREC_short 
15764 0 AP891217-0069  714 0.02204 TREC_short 
15765 0 AP891218-0096  715 0.02204 TREC_short 
15766 0 AP890625-0080  716 0.02204 TREC_short 
15767 0 AP890101-0043  717 0.02204 TREC_short 
15768 0 AP890627-0128  718 0.02204 TREC_short 
15769 0 AP890123-0173  719 0.02204 TREC_short 
15770 0 AP890701-0110  720 0.02204 TREC_short 
15771 0 AP890704-0114  721 0.02204 TREC_short 
15772 0 AP890705-0124  722 0.02204 TREC_short 
15773 0 AP890705-0187  723 0.02204 TREC_short 
15774 0 AP890124-0086  724 0.02204 TREC_short 
15775 0 AP890710-0227  725 0.02204 TREC_short 
15776 0 AP890710-0229  726 0.02204 TREC_short 
15777 0 AP890714-0179  727 0.02204 TREC_short 
15778 0 AP890410-0021  728 0.02204 TREC_short 
15779 0 AP890103-0144  729 0.02204 TREC_short 
15780 0 AP890113-0145  730 0.02204 TREC_short 
15781 0 AP890218-0012  731 0.02204 TREC_short 
15782 0 AP890721-0203  732 0.02204 TREC_short 
15783 0 AP890724-0042  733 0.02204 TREC_short 
15784 0 AP890724-0261  734 0.02204 TREC_short 
15785 0 AP890725-0180  735 0.02204 TREC_short 
15786 0 AP890108-0038  736 0.02204 TREC_short 
15787 0 AP890727-0290  737 0.02204 TREC_short 
15788 0 AP890417-0243  738 0.02204 TREC_short 
15789 0 AP890420-0101  739 0.02204 TREC_short 
15790 0 AP890808-0154  740 0.02204 TREC_short 
15791 0 AP890421-0028  741 0.02204 TREC_short 
15792 0 AP890421-0039  742 0.02204 TREC_short 
15793 0 AP890811-0231  743 0.02204 TREC_short 
15794 0 AP890816-0070  744 0.02204 TREC_short 
15795 0 AP890822-0122  745 0.02204 TREC_short 
15796 0 AP890227-0284  746 0.02204 TREC_short 
15797 0 AP890826-0036  747 0.02204 TREC_short 
15798 0 AP890116-0225  748 0.02204 TREC_short 
15799 0 AP890501-0066  749 0.02204 TREC_short 
15800 0 AP890502-0010  750 0.02204 TREC_short 
15801 0 AP890116-0226  751 0.02204 TREC_short 
15802 0 AP890505-0062  752 0.02204 TREC_short 
15803 0 AP890909-0058  753 0.02204 TREC_short 
15804 0 AP890912-0152  754 0.02204 TREC_short 
15805 0 AP890508-0214  755 0.02204 TREC_short 
15806 0 AP890915-0284  756 0.02204 TREC_short 
15807 0 AP890920-0173  757 0.02204 TREC_short 
15808 0 AP890921-0007  758 0.02204 TREC_short 
15809 0 AP890307-0007  759 0.02204 TREC_short 
15810 0 AP890516-0054  760 0.02204 TREC_short 
15811 0 AP890516-0127  761 0.02204 TREC_short 
15812 0 AP891002-0344  762 0.02204 TREC_short 
15813 0 AP891004-0185  763 0.02204 TREC_short 
15814 0 AP891004-0227  764 0.02204 TREC_short 
15815 0 AP890203-0029  765 0.02204 TREC_short 
15816 0 AP890518-0209  766 0.02204 TREC_short 
15817 0 AP891012-0075  767 0.02191 TREC_short 
15818 0 AP890104-0043  768 0.02191 TREC_short 
15819 0 AP891017-0163  769 0.02191 TREC_short 
15820 0 AP890312-0063  770 0.02191 TREC_short 
15821 0 AP891019-0234  771 0.02191 TREC_short 
15822 0 AP891020-0202  772 0.02191 TREC_short 
15823 0 AP891026-0101  773 0.02191 TREC_short 
15824 0 AP890315-0047  774 0.02191 TREC_short 
15825 0 AP891030-0110  775 0.02191 TREC_short 
15826 0 AP891031-0114  776 0.02191 TREC_short 
15827 0 AP891105-0004  777 0.02191 TREC_short 
15828 0 AP891121-0191  778 0.02191 TREC_short 
15829 0 AP891202-0092  779 0.02191 TREC_short 
15830 0 AP891204-0117  780 0.02191 TREC_short 
15831 0 AP891206-0084  781 0.02191 TREC_short 
15832 0 AP891212-0005  782 0.02191 TREC_short 
15833 0 AP890628-0125  783 0.02191 TREC_short 
15834 0 AP890112-0178  784 0.02191 TREC_short 
15835 0 AP890706-0084  785 0.02191 TREC_short 
15836 0 AP890407-0099  786 0.02191 TREC_short 
15837 0 AP890712-0106  787 0.02191 TREC_short 
15838 0 AP890113-0176  788 0.02191 TREC_short 
15839 0 AP890222-0156  789 0.02191 TREC_short 
15840 0 AP890802-0156  790 0.02191 TREC_short 
15841 0 AP890420-0110  791 0.02191 TREC_short 
15842 0 AP890224-0003  792 0.02191 TREC_short 
15843 0 AP890501-0120  793 0.02191 TREC_short 
15844 0 AP890906-0179  794 0.02191 TREC_short 
15845 0 AP890911-0185  795 0.02191 TREC_short 
15846 0 AP890914-0234  796 0.02191 TREC_short 
15847 0 AP890513-0075  797 0.02191 TREC_short 
15848 0 AP891002-0100  798 0.02191 TREC_short 
15849 0 AP890212-0036  799 0.02176 TREC_short 
15850 0 AP891223-0081  800 0.02176 TREC_short 
15851 0 AP890809-0208  801 0.02176 TREC_short 
15852 0 AP890302-0191  802 0.02176 TREC_short 
15853 0 AP890928-0249  803 0.02176 TREC_short 
15854 0 AP891016-0086  804 0.02160 TREC_short 
15855 0 AP891017-0173  805 0.02160 TREC_short 
15856 0 AP890602-0067  806 0.02160 TREC_short 
15857 0 AP891103-0211  807 0.02160 TREC_short 
15858 0 AP890317-0119  808 0.02160 TREC_short 
15859 0 AP891108-0029  809 0.02160 TREC_short 
15860 0 AP891110-0267  810 0.02160 TREC_short 
15861 0 AP891117-0063  811 0.02160 TREC_short 
15862 0 AP890208-0186  812 0.02160 TREC_short 
15863 0 AP891118-0162  813 0.02160 TREC_short 
15864 0 AP891120-0074  814 0.02160 TREC_short 
15865 0 AP891120-0089  815 0.02160 TREC_short 
15866 0 AP891128-0167  816 0.02160 TREC_short 
15867 0 AP890621-0195  817 0.02160 TREC_short 
15868 0 AP890213-0214  818 0.02160 TREC_short 
15869 0 AP890630-0175  819 0.02160 TREC_short 
15870 0 AP890702-0052  820 0.02160 TREC_short 
15871 0 AP890405-0172  821 0.02160 TREC_short 
15872 0 AP890707-0176  822 0.02160 TREC_short 
15873 0 AP890710-0152  823 0.02160 TREC_short 
15874 0 AP890216-0134  824 0.02160 TREC_short 
15875 0 AP890713-0168  825 0.02160 TREC_short 
15876 0 AP890412-0140  826 0.02160 TREC_short 
15877 0 AP890721-0022  827 0.02160 TREC_short 
15878 0 AP890125-0285  828 0.02160 TREC_short 
15879 0 AP890729-0125  829 0.02160 TREC_short 
15880 0 AP890225-0016  830 0.02160 TREC_short 
15881 0 AP890819-0026  831 0.02160 TREC_short 
15882 0 AP890821-0191  832 0.02160 TREC_short 
15883 0 AP890227-0169  833 0.02160 TREC_short 
15884 0 AP890825-0024  834 0.02160 TREC_short 
15885 0 AP890827-0021  835 0.02160 TREC_short 
15886 0 AP890429-0014  836 0.02160 TREC_short 
15887 0 AP890430-0057  837 0.02160 TREC_short 
15888 0 AP890430-0060  838 0.02160 TREC_short 
15889 0 AP890129-0090  839 0.02160 TREC_short 
15890 0 AP890130-0206  840 0.02160 TREC_short 
15891 0 AP890130-0231  841 0.02160 TREC_short 
15892 0 AP890301-0310  842 0.02160 TREC_short 
15893 0 AP890504-0186  843 0.02160 TREC_short 
15894 0 AP890910-0026  844 0.02160 TREC_short 
15895 0 AP890505-0147  845 0.02160 TREC_short 
15896 0 AP890911-0046  846 0.02160 TREC_short 
15897 0 AP890507-0047  847 0.02160 TREC_short 
15898 0 AP890913-0082  848 0.02160 TREC_short 
15899 0 AP890920-0066  849 0.02160 TREC_short 
15900 0 AP890510-0173  850 0.02160 TREC_short 
15901 0 AP890307-0066  851 0.02160 TREC_short 
15902 0 AP890517-0031  852 0.02160 TREC_short 
15903 0 AP890309-0018  853 0.02160 TREC_short 
15904 0 AP890517-0259  854 0.02160 TREC_short 
15905 0 AP891005-0132  855 0.02160 TREC_short 
15906 0 AP890518-0089  856 0.02160 TREC_short 
15907 0 AP891005-0243  857 0.02160 TREC_short 
15908 0 AP890519-0050  858 0.02160 TREC_short 
15909 0 AP890317-0053  859 0.02080 TREC_short 
15910 0 AP891229-0046  860 0.02080 TREC_short 
15911 0 AP890404-0208  861 0.02080 TREC_short 
15912 0 AP890710-0022  862 0.02080 TREC_short 
15913 0 AP890801-0089  863 0.02080 TREC_short 
15914 0 AP890809-0018  864 0.02080 TREC_short 
15915 0 AP890128-0086  865 0.02080 TREC_short 
15916 0 AP890507-0089  866 0.02080 TREC_short 
15917 0 AP890915-0074  867 0.02080 TREC_short 
15918 0 AP890520-0010  868 0.01997 TREC_short 
15919 0 AP890203-0182  869 0.01997 TREC_short 
15920 0 AP891014-0015  870 0.01997 TREC_short 
15921 0 AP891016-0232  871 0.01997 TREC_short 
15922 0 AP891020-0278  872 0.01997 TREC_short 
15923 0 AP891023-0233  873 0.01997 TREC_short 
15924 0 AP890322-0332  874 0.01997 TREC_short 
15925 0 AP891202-0018  875 0.01997 TREC_short 
15926 0 AP890619-0138  876 0.01997 TREC_short 
15927 0 AP891214-0226  877 0.01997 TREC_short 
15928 0 AP891221-0057  878 0.01997 TREC_short 
15929 0 AP891227-0080  879 0.01997 TREC_short 
15930 0 AP891228-0189  880 0.01997 TREC_short 
15931 0 AP890213-0141  881 0.01997 TREC_short 
15932 0 AP890401-0063  882 0.01997 TREC_short 
15933 0 AP890214-0085  883 0.01997 TREC_short 
15934 0 AP890124-0002  884 0.01997 TREC_short 
15935 0 AP890124-0294  885 0.01997 TREC_short 
15936 0 AP890717-0233  886 0.01997 TREC_short 
15937 0 AP890728-0297  887 0.01997 TREC_short 
15938 0 AP890803-0087  888 0.01997 TREC_short 
15939 0 AP890126-0255  889 0.01997 TREC_short 
15940 0 AP890223-0201  890 0.01997 TREC_short 
15941 0 AP890224-0046  891 0.01997 TREC_short 
15942 0 AP890816-0245  892 0.01997 TREC_short 
15943 0 AP890829-0190  893 0.01997 TREC_short 
15944 0 AP890301-0096  894 0.01997 TREC_short 
15945 0 AP890912-0151  895 0.01997 TREC_short 
15946 0 AP890912-0189  896 0.01997 TREC_short 
15947 0 AP890929-0033  897 0.01997 TREC_short 
15948 0 AP890518-0174  898 0.01997 TREC_short 
15949 0 AP891007-0003  899 0.01997 TREC_short 
15950 0 AP891124-0234  900 0.01937 TREC_short 
15951 0 AP890317-0223  901 0.01811 TREC_short 
15952 0 AP890624-0068  902 0.01803 TREC_short 
15953 0 AP890408-0064  903 0.01803 TREC_short 
15954 0 AP890305-0016  904 0.01803 TREC_short 
15955 0 AP890401-0014  905 0.01803 TREC_short 
15956 0 AP890706-0090  906 0.01803 TREC_short 
15957 0 AP890821-0184  907 0.01803 TREC_short 
15958 0 AP890602-0184  908 0.01795 TREC_short 
15959 0 AP890602-0276  909 0.01795 TREC_short 
15960 0 AP890522-0301  910 0.01792 TREC_short 
15961 0 AP891019-0272  911 0.01792 TREC_short 
15962 0 AP890320-0061  912 0.01792 TREC_short 
15963 0 AP890612-0017  913 0.01792 TREC_short 
15964 0 AP890613-0120  914 0.01792 TREC_short 
15965 0 AP890815-0207  915 0.01792 TREC_short 
15966 0 AP890825-0003  916 0.01792 TREC_short 
15967 0 AP890907-0017  917 0.01792 TREC_short 
15968 0 AP890914-0037  918 0.01792 TREC_short 
15969 0 AP890201-0299  919 0.01792 TREC_short 
15970 0 AP891005-0157  920 0.01792 TREC_short 
15971 0 AP891012-0299  921 0.01775 TREC_short 
15972 0 AP891016-0227  922 0.01775 TREC_short 
15973 0 AP891016-0290  923 0.01775 TREC_short 
15974 0 AP891017-0071  924 0.01775 TREC_short 
15975 0 AP891017-0212  925 0.01775 TREC_short 
15976 0 AP891017-0243  926 0.01775 TREC_short 
15977 0 AP890524-0286  927 0.01775 TREC_short 
15978 0 AP890525-0286  928 0.01775 TREC_short 
15979 0 AP891021-0120  929 0.01775 TREC_short 
15980 0 AP890313-0231  930 0.01775 TREC_short 
15981 0 AP891023-0272  931 0.01775 TREC_short 
15982 0 AP891025-0105  932 0.01775 TREC_short 
15983 0 AP891026-0040  933 0.01775 TREC_short 
15984 0 AP891027-0271  934 0.01775 TREC_short 
15985 0 AP891102-0258  935 0.01775 TREC_short 
15986 0 AP891102-0298  936 0.01775 TREC_short 
15987 0 AP890316-0061  937 0.01775 TREC_short 
15988 0 AP890119-0249  938 0.01775 TREC_short 
15989 0 AP891109-0011  939 0.01775 TREC_short 
15990 0 AP891109-0220  940 0.01775 TREC_short 
15991 0 AP890208-0158  941 0.01775 TREC_short 
15992 0 AP890610-0012  942 0.01775 TREC_short 
15993 0 AP891118-0031  943 0.01775 TREC_short 
15994 0 AP890320-0268  944 0.01775 TREC_short 
15995 0 AP890615-0161  945 0.01775 TREC_short 
15996 0 AP890615-0245  946 0.01775 TREC_short 
15997 0 AP890323-0213  947 0.01775 TREC_short 
15998 0 AP891201-0079  948 0.01775 TREC_short 
15999 0 AP891204-0282  949 0.01775 TREC_short 
16000 0 AP890324-0180  950 0.01775 TREC_short 
16001 0 AP890619-0302  951 0.01775 TREC_short 
16002 0 AP891212-0264  952 0.01775 TREC_short 
16003 0 AP891215-0064  953 0.01775 TREC_short 
16004 0 AP891215-0222  954 0.01775 TREC_short 
16005 0 AP890328-0120  955 0.01775 TREC_short 
16006 0 AP890328-0148  956 0.01775 TREC_short 
16007 0 AP891221-0272  957 0.01775 TREC_short 
16008 0 AP890112-0106  958 0.01775 TREC_short 
16009 0 AP890628-0004  959 0.01775 TREC_short 
16010 0 AP891227-0171  960 0.01775 TREC_short 
16011 0 AP890112-0116  961 0.01775 TREC_short 
16012 0 AP890330-0194  962 0.01775 TREC_short 
16013 0 AP890330-0217  963 0.01775 TREC_short 
16014 0 AP890330-0260  964 0.01775 TREC_short 
16015 0 AP890630-0151  965 0.01775 TREC_short 
16016 0 AP890214-0200  966 0.01775 TREC_short 
16017 0 AP890406-0162  967 0.01775 TREC_short 
16018 0 AP890710-0167  968 0.01775 TREC_short 
16019 0 AP890217-0012  969 0.01775 TREC_short 
16020 0 AP890716-0106  970 0.01775 TREC_short 
16021 0 AP890217-0071  971 0.01775 TREC_short 
16022 0 AP890411-0004  972 0.01775 TREC_short 
16023 0 AP890718-0267  973 0.01775 TREC_short 
16024 0 AP890107-0144  974 0.01775 TREC_short 
16025 0 AP890218-0056  975 0.01775 TREC_short 
16026 0 AP890413-0138  976 0.01775 TREC_short 
16027 0 AP890723-0091  977 0.01775 TREC_short 
16028 0 AP890725-0006  978 0.01775 TREC_short 
16029 0 AP890414-0179  979 0.01775 TREC_short 
16030 0 AP890726-0011  980 0.01775 TREC_short 
16031 0 AP890414-0284  981 0.01775 TREC_short 
16032 0 AP890416-0072  982 0.01775 TREC_short 
16033 0 AP890417-0273  983 0.01775 TREC_short 
16034 0 AP890731-0145  984 0.01775 TREC_short 
16035 0 AP890419-0191  985 0.01775 TREC_short 
16036 0 AP890419-0204  986 0.01775 TREC_short 
16037 0 AP890419-0277  987 0.01775 TREC_short 
16038 0 AP890419-0286  988 0.01775 TREC_short 
16039 0 AP890420-0058  989 0.01775 TREC_short 
16040 0 AP890420-0066  990 0.01775 TREC_short 
16041 0 AP890420-0171  991 0.01775 TREC_short 
16042 0 AP890813-0021  992 0.01775 TREC_short 
16043 0 AP890224-0148  993 0.01775 TREC_short 
16044 0 AP890814-0047  994 0.01775 TREC_short 
16045 0 AP890814-0100  995 0.01775 TREC_short 
16046 0 AP890821-0070  996 0.01775 TREC_short 
16047 0 AP890821-0104  997 0.01775 TREC_short 
16048 0 AP890821-0129  998 0.01775 TREC_short 
16049 0 AP890426-0151  999 0.01775 TREC_short 
16050 0 AP890128-0156 1000 0.01775 TREC_short 
16051 0 AP890409-0025    1 0.13280 TREC_short 
16052 0 AP890310-0118    2 0.11394 TREC_short 
16053 0 AP890415-0126    3 0.10578 TREC_short 
16054 0 AP890717-0129    4 0.09775 TREC_short 
16055 0 AP890213-0058    5 0.09719 TREC_short 
16056 0 AP890917-0016    6 0.09719 TREC_short 
16057 0 AP890106-0088    7 0.09524 TREC_short 
16058 0 AP890701-0014    8 0.09520 TREC_short 
16059 0 AP890206-0013    9 0.09091 TREC_short 
16060 0 AP890714-0130   10 0.08689 TREC_short 
16061 0 AP890604-0022   11 0.08463 TREC_short 
16062 0 AP890509-0211   12 0.08463 TREC_short 
16063 0 AP891220-0111   13 0.08371 TREC_short 
16064 0 AP890812-0094   14 0.08371 TREC_short 
16065 0 AP890511-0032   15 0.08330 TREC_short 
16066 0 AP890123-0163   16 0.08264 TREC_short 
16067 0 AP890225-0005   17 0.08114 TREC_short 
16068 0 AP890216-0172   18 0.07851 TREC_short 
16069 0 AP890202-0099   19 0.07623 TREC_short 
16070 0 AP890724-0135   20 0.07438 TREC_short 
16071 0 AP891107-0147   21 0.07405 TREC_short 
16072 0 AP890730-0031   22 0.07405 TREC_short 
16073 0 AP891201-0098   23 0.07289 TREC_short 
16074 0 AP890515-0093   24 0.07140 TREC_short 
16075 0 AP890627-0116   25 0.07025 TREC_short 
16076 0 AP890808-0090   26 0.07025 TREC_short 
16077 0 AP890526-0172   27 0.06788 TREC_short 
16078 0 AP891226-0085   28 0.06788 TREC_short 
16079 0 AP890709-0020   29 0.06788 TREC_short 
16080 0 AP890128-0054   30 0.06652 TREC_short 
16081 0 AP890103-0110   31 0.06611 TREC_short 
16082 0 AP890916-0128   32 0.06611 TREC_short 
16083 0 AP890510-0291   33 0.06611 TREC_short 
16084 0 AP890713-0102   34 0.06545 TREC_short 
16085 0 AP891109-0090   35 0.06479 TREC_short 
16086 0 AP890416-0016   36 0.06479 TREC_short 
16087 0 AP890127-0031   37 0.06479 TREC_short 
16088 0 AP890809-0164   38 0.06479 TREC_short 
16089 0 AP890907-0076   39 0.06479 TREC_short 
16090 0 AP890726-0168   40 0.06412 TREC_short 
16091 0 AP890613-0137   41 0.06383 TREC_short 
16092 0 AP890112-0143   42 0.06347 TREC_short 
16093 0 AP890715-0011   43 0.06278 TREC_short 
16094 0 AP890911-0017   44 0.06274 TREC_short 
16095 0 AP891226-0011   45 0.06198 TREC_short 
16096 0 AP890216-0014   46 0.06198 TREC_short 
16097 0 AP890721-0156   47 0.06198 TREC_short 
16098 0 AP890914-0192   48 0.06109 TREC_short 
16099 0 AP890822-0033   49 0.06095 TREC_short 
16100 0 AP891129-0029   50 0.05950 TREC_short 
16101 0 AP891004-0173   51 0.05950 TREC_short 
16102 0 AP891101-0160   52 0.05813 TREC_short 
16103 0 AP890602-0159   53 0.05813 TREC_short 
16104 0 AP891214-0143   54 0.05813 TREC_short 
16105 0 AP890726-0028   55 0.05813 TREC_short 
16106 0 AP890501-0061   56 0.05813 TREC_short 
16107 0 AP890730-0013   57 0.05785 TREC_short 
16108 0 AP891130-0205   58 0.05699 TREC_short 
16109 0 AP891227-0134   59 0.05697 TREC_short 
16110 0 AP890126-0087   60 0.05697 TREC_short 
16111 0 AP891227-0125   61 0.05669 TREC_short 
16112 0 AP890803-0042   62 0.05669 TREC_short 
16113 0 AP890319-0037   63 0.05372 TREC_short 
16114 0 AP890618-0020   64 0.05372 TREC_short 
16115 0 AP890720-0191   65 0.05372 TREC_short 
16116 0 AP890721-0101   66 0.05372 TREC_short 
16117 0 AP890425-0101   67 0.05372 TREC_short 
16118 0 AP890811-0090   68 0.05355 TREC_short 
16119 0 AP891005-0072   69 0.05355 TREC_short 
16120 0 AP890123-0164   70 0.05289 TREC_short 
16121 0 AP890703-0124   71 0.05289 TREC_short 
16122 0 AP890409-0076   72 0.05289 TREC_short 
16123 0 AP890221-0130   73 0.05289 TREC_short 
16124 0 AP890418-0308   74 0.05289 TREC_short 
16125 0 AP890115-0001   75 0.05289 TREC_short 
16126 0 AP890826-0088   76 0.05289 TREC_short 
16127 0 AP890627-0089   77 0.05047 TREC_short 
16128 0 AP890210-0099   78 0.04959 TREC_short 
16129 0 AP890615-0003   79 0.04959 TREC_short 
16130 0 AP890623-0132   80 0.04959 TREC_short 
16131 0 AP890715-0037   81 0.04959 TREC_short 
16132 0 AP890126-0004   82 0.04959 TREC_short 
16133 0 AP890803-0203   83 0.04959 TREC_short 
16134 0 AP890915-0169   84 0.04959 TREC_short 
16135 0 AP891025-0091   85 0.04887 TREC_short 
16136 0 AP890209-0139   86 0.04887 TREC_short 
16137 0 AP890705-0046   87 0.04887 TREC_short 
16138 0 AP890413-0131   88 0.04887 TREC_short 
16139 0 AP890308-0112   89 0.04887 TREC_short 
16140 0 AP890930-0013   90 0.04887 TREC_short 
16141 0 AP890624-0019   91 0.04859 TREC_short 
16142 0 AP890625-0051   92 0.04859 TREC_short 
16143 0 AP890702-0057   93 0.04859 TREC_short 
16144 0 AP890703-0041   94 0.04859 TREC_short 
16145 0 AP890118-0029   95 0.04859 TREC_short 
16146 0 AP890309-0085   96 0.04778 TREC_short 
16147 0 AP890807-0115   97 0.04760 TREC_short 
16148 0 AP891012-0197   98 0.04760 TREC_short 
16149 0 AP891102-0005   99 0.04760 TREC_short 
16150 0 AP891106-0025  100 0.04760 TREC_short 
16151 0 AP891106-0185  101 0.04760 TREC_short 
16152 0 AP890318-0107  102 0.04760 TREC_short 
16153 0 AP891116-0004  103 0.04760 TREC_short 
16154 0 AP891119-0015  104 0.04760 TREC_short 
16155 0 AP891119-0061  105 0.04760 TREC_short 
16156 0 AP891121-0122  106 0.04760 TREC_short 
16157 0 AP891122-0078  107 0.04760 TREC_short 
16158 0 AP890618-0040  108 0.04760 TREC_short 
16159 0 AP890624-0103  109 0.04760 TREC_short 
16160 0 AP891222-0194  110 0.04760 TREC_short 
16161 0 AP890701-0041  111 0.04760 TREC_short 
16162 0 AP890726-0216  112 0.04760 TREC_short 
16163 0 AP890113-0068  113 0.04760 TREC_short 
16164 0 AP890104-0010  114 0.04760 TREC_short 
16165 0 AP890808-0074  115 0.04760 TREC_short 
16166 0 AP890421-0120  116 0.04760 TREC_short 
16167 0 AP890224-0123  117 0.04760 TREC_short 
16168 0 AP890908-0019  118 0.04760 TREC_short 
16169 0 AP890911-0179  119 0.04760 TREC_short 
16170 0 AP890305-0043  120 0.04760 TREC_short 
16171 0 AP890509-0123  121 0.04760 TREC_short 
16172 0 AP891001-0027  122 0.04760 TREC_short 
16173 0 AP890519-0097  123 0.04760 TREC_short 
16174 0 AP891030-0157  124 0.04565 TREC_short 
16175 0 AP890722-0079  125 0.04545 TREC_short 
16176 0 AP890726-0117  126 0.04545 TREC_short 
16177 0 AP890811-0121  127 0.04545 TREC_short 
16178 0 AP890816-0136  128 0.04544 TREC_short 
16179 0 AP891013-0096  129 0.04519 TREC_short 
16180 0 AP891109-0054  130 0.04512 TREC_short 
16181 0 AP890805-0105  131 0.04512 TREC_short 
16182 0 AP891103-0208  132 0.04477 TREC_short 
16183 0 AP890725-0103  133 0.04477 TREC_short 
16184 0 AP891012-0051  134 0.04344 TREC_short 
16185 0 AP890524-0073  135 0.04344 TREC_short 
16186 0 AP890809-0150  136 0.04344 TREC_short 
16187 0 AP890428-0158  137 0.04344 TREC_short 
16188 0 AP890825-0133  138 0.04344 TREC_short 
16189 0 AP890911-0232  139 0.04344 TREC_short 
16190 0 AP890510-0191  140 0.04288 TREC_short 
16191 0 AP891012-0177  141 0.04231 TREC_short 
16192 0 AP891013-0106  142 0.04231 TREC_short 
16193 0 AP890601-0153  143 0.04231 TREC_short 
16194 0 AP891110-0110  144 0.04231 TREC_short 
16195 0 AP890320-0321  145 0.04231 TREC_short 
16196 0 AP890612-0254  146 0.04231 TREC_short 
16197 0 AP890615-0097  147 0.04231 TREC_short 
16198 0 AP890616-0165  148 0.04231 TREC_short 
16199 0 AP891205-0002  149 0.04231 TREC_short 
16200 0 AP890619-0076  150 0.04231 TREC_short 
16201 0 AP891223-0001  151 0.04231 TREC_short 
16202 0 AP891224-0038  152 0.04231 TREC_short 
16203 0 AP890703-0106  153 0.04231 TREC_short 
16204 0 AP890404-0180  154 0.04231 TREC_short 
16205 0 AP890405-0039  155 0.04231 TREC_short 
16206 0 AP890405-0177  156 0.04231 TREC_short 
16207 0 AP890718-0284  157 0.04231 TREC_short 
16208 0 AP890726-0137  158 0.04231 TREC_short 
16209 0 AP890801-0154  159 0.04231 TREC_short 
16210 0 AP890126-0191  160 0.04231 TREC_short 
16211 0 AP890425-0221  161 0.04231 TREC_short 
16212 0 AP890426-0144  162 0.04231 TREC_short 
16213 0 AP890823-0035  163 0.04231 TREC_short 
