51 0 AP890908-0222    1 42.33588 BM25_long 
52 0 AP891208-0154  823 8.54073 BM25_long 
52 0 AP890920-0128  824 8.53609 BM25_long 
52 0 AP890708-0101  825 8.51955 BM25_long 
52 0 AP891007-0118  826 8.51955 BM25_long 
52 0 AP891207-0114  827 8.51955 BM25_long 
52 0 AP890506-0119  828 8.49778 BM25_long 
52 0 AP890702-0050  829 8.49692 BM25_long 
52 0 AP890425-0190  830 8.48770 BM25_long 
52 0 AP890511-0244  831 8.48770 BM25_long 
52 0 AP890510-0161  832 8.48009 BM25_long 
52 0 AP890309-0040  833 8.47076 BM25_long 
52 0 AP890426-0017  834 8.47076 BM25_long 
52 0 AP890803-0224  835 8.47076 BM25_long 
52 0 AP890804-0155  836 8.47076 BM25_long 
52 0 AP890818-0095  837 8.47076 BM25_long 
52 0 AP891102-0096  838 8.47076 BM25_long 
52 0 AP891215-0050  839 8.47076 BM25_long 
52 0 AP891221-0071  840 8.47076 BM25_long 
52 0 AP890307-0123  841 8.45994 BM25_long 
52 0 AP890930-0003  842 8.45994 BM25_long 
52 0 AP890227-0108  843 8.45990 BM25_long 
52 0 AP890404-0099  844 8.45990 BM25_long 
52 0 AP890610-0080  845 8.45990 BM25_long 
52 0 AP890701-0121  846 8.45990 BM25_long 
52 0 AP890826-0048  847 8.45990 BM25_long 
52 0 AP891129-0159  848 8.45990 BM25_long 
52 0 AP890626-0232  849 8.45825 BM25_long 
52 0 AP890727-0194  850 8.44631 BM25_long 
52 0 AP890926-0219  851 8.44122 BM25_long 
52 0 AP890120-0225  852 8.43871 BM25_long 
52 0 AP890220-0024  853 8.43871 BM25_long 
52 0 AP891116-0078  854 8.43871 BM25_long 
52 0 AP891210-0038  855 8.43871 BM25_long 
52 0 AP890412-0123  856 8.43751 BM25_long 
52 0 AP890616-0050  857 8.43703 BM25_long 
52 0 AP890501-0269  858 8.43350 BM25_long 
52 0 AP890707-0107  859 8.43350 BM25_long 
52 0 AP891108-0007  860 8.43350 BM25_long 
52 0 AP890401-0080  861 8.42165 BM25_long 
52 0 AP890428-0187  862 8.42165 BM25_long 
52 0 AP890508-0262  863 8.42165 BM25_long 
52 0 AP890629-0171  864 8.42165 BM25_long 
52 0 AP890119-0172  865 8.38985 BM25_long 
52 0 AP890222-0075  866 8.38985 BM25_long 
52 0 AP890519-0040  867 8.38985 BM25_long 
52 0 AP890206-0217  868 8.36180 BM25_long 
52 0 AP890428-0153  869 8.36180 BM25_long 
52 0 AP890623-0047  870 8.36180 BM25_long 
52 0 AP890705-0078  871 8.36180 BM25_long 
52 0 AP890710-0262  872 8.36180 BM25_long 
52 0 AP890716-0068  873 8.36180 BM25_long 
52 0 AP890720-0155  874 8.36180 BM25_long 
52 0 AP890911-0003  875 8.36180 BM25_long 
52 0 AP890920-0139  876 8.36180 BM25_long 
52 0 AP890921-0206  877 8.36180 BM25_long 
52 0 AP891231-0002  878 8.36180 BM25_long 
52 0 AP890603-0138  879 8.35882 BM25_long 
52 0 AP890628-0017  880 8.35882 BM25_long 
52 0 AP891221-0170  881 8.35280 BM25_long 
52 0 AP891220-0027  882 8.35256 BM25_long 
52 0 AP890607-0006  883 8.34399 BM25_long 
52 0 AP890405-0071  884 8.33397 BM25_long 
52 0 AP890901-0136  885 8.31572 BM25_long 
52 0 AP890521-0012  886 8.31571 BM25_long 
52 0 AP890905-0164  887 8.31571 BM25_long 
52 0 AP890725-0122  888 8.31069 BM25_long 
52 0 AP891025-0080  889 8.30554 BM25_long 
52 0 AP890503-0136  890 8.29834 BM25_long 
52 0 AP890623-0194  891 8.29834 BM25_long 
52 0 AP890814-0138  892 8.29818 BM25_long 
52 0 AP890721-0170  893 8.29304 BM25_long 
52 0 AP890124-0034  894 8.29014 BM25_long 
52 0 AP891220-0176  895 8.28330 BM25_long 
52 0 AP890328-0182  896 8.27594 BM25_long 
52 0 AP890411-0168  897 8.27594 BM25_long 
52 0 AP890706-0137  898 8.27594 BM25_long 
52 0 AP890412-0039  899 8.27465 BM25_long 
52 0 AP890525-0216  900 8.26989 BM25_long 
52 0 AP890901-0164  901 8.26989 BM25_long 
52 0 AP891026-0140  902 8.26989 BM25_long 
52 0 AP890113-0024  903 8.26540 BM25_long 
52 0 AP890626-0157  904 8.26540 BM25_long 
52 0 AP890128-0144  905 8.23830 BM25_long 
52 0 AP890107-0027  906 8.23565 BM25_long 
52 0 AP890326-0017  907 8.23565 BM25_long 
52 0 AP890503-0071  908 8.23565 BM25_long 
52 0 AP890508-0126  909 8.23565 BM25_long 
52 0 AP890717-0079  910 8.23565 BM25_long 
52 0 AP890725-0096  911 8.23565 BM25_long 
52 0 AP891002-0335  912 8.23565 BM25_long 
52 0 AP890502-0083  913 8.23306 BM25_long 
52 0 AP890114-0089  914 8.22563 BM25_long 
52 0 AP890131-0071  915 8.22563 BM25_long 
52 0 AP890220-0005  916 8.22563 BM25_long 
52 0 AP891114-0182  917 8.22563 BM25_long 
52 0 AP890426-0222  918 8.21736 BM25_long 
52 0 AP890823-0111  919 8.21736 BM25_long 
52 0 AP891021-0001  920 8.21736 BM25_long 
52 0 AP890925-0219  921 8.21371 BM25_long 
52 0 AP890501-0221  922 8.20778 BM25_long 
52 0 AP890125-0079  923 8.20252 BM25_long 
52 0 AP890218-0025  924 8.20252 BM25_long 
52 0 AP890302-0187  925 8.20252 BM25_long 
52 0 AP890511-0275  926 8.20252 BM25_long 
52 0 AP890618-0063  927 8.20252 BM25_long 
52 0 AP891117-0065  928 8.20252 BM25_long 
52 0 AP891213-0189  929 8.20252 BM25_long 
52 0 AP891223-0122  930 8.20252 BM25_long 
52 0 AP890328-0180  931 8.19899 BM25_long 
52 0 AP890604-0055  932 8.18122 BM25_long 
52 0 AP890919-0119  933 8.18122 BM25_long 
52 0 AP891021-0020  934 8.18122 BM25_long 
52 0 AP891211-0317  935 8.18122 BM25_long 
52 0 AP890422-0010  936 8.18078 BM25_long 
52 0 AP890424-0063  937 8.18078 BM25_long 
52 0 AP890519-0245  938 8.18078 BM25_long 
52 0 AP890621-0164  939 8.18078 BM25_long 
52 0 AP891123-0040  940 8.18078 BM25_long 
52 0 AP890516-0133  941 8.17611 BM25_long 
52 0 AP890618-0066  942 8.17611 BM25_long 
52 0 AP891212-0077  943 8.16415 BM25_long 
52 0 AP891225-0114  944 8.16415 BM25_long 
52 0 AP890110-0077  945 8.14117 BM25_long 
52 0 AP890901-0030  946 8.12591 BM25_long 
52 0 AP891125-0088  947 8.11386 BM25_long 
52 0 AP890518-0099  948 8.09901 BM25_long 
52 0 AP890906-0148  949 8.09628 BM25_long 
52 0 AP890812-0102  950 8.09448 BM25_long 
52 0 AP891025-0132  951 8.09448 BM25_long 
52 0 AP890816-0024  952 8.07432 BM25_long 
52 0 AP890123-0142  953 8.06950 BM25_long 
52 0 AP891214-0015  954 8.06950 BM25_long 
52 0 AP890731-0138  955 8.05895 BM25_long 
52 0 AP890120-0235  956 8.05856 BM25_long 
52 0 AP890821-0158  957 8.05856 BM25_long 
52 0 AP890905-0040  958 8.05856 BM25_long 
52 0 AP891015-0017  959 8.05856 BM25_long 
52 0 AP890916-0097  960 8.05778 BM25_long 
52 0 AP890416-0018  961 8.05631 BM25_long 
52 0 AP890116-0115  962 8.05232 BM25_long 
52 0 AP890923-0071  963 8.05232 BM25_long 
52 0 AP891012-0244  964 8.05232 BM25_long 
52 0 AP891009-0023  965 8.04823 BM25_long 
52 0 AP890729-0024  966 8.04410 BM25_long 
52 0 AP890706-0141  967 8.04409 BM25_long 
52 0 AP890428-0033  968 8.04234 BM25_long 
52 0 AP890708-0103  969 8.03889 BM25_long 
52 0 AP890906-0091  970 8.03889 BM25_long 
52 0 AP890907-0186  971 8.03889 BM25_long 
52 0 AP891215-0191  972 8.03889 BM25_long 
52 0 AP891127-0058  973 8.03368 BM25_long 
52 0 AP890518-0009  974 7.99682 BM25_long 
52 0 AP890504-0040  975 7.98166 BM25_long 
52 0 AP891222-0233  976 7.98166 BM25_long 
52 0 AP890302-0159  977 7.97567 BM25_long 
52 0 AP890614-0279  978 7.97567 BM25_long 
52 0 AP890912-0111  979 7.97567 BM25_long 
52 0 AP891221-0143  980 7.97567 BM25_long 
52 0 AP890120-0079  981 7.96760 BM25_long 
52 0 AP890214-0004  982 7.96760 BM25_long 
52 0 AP890506-0062  983 7.96760 BM25_long 
52 0 AP890506-0090  984 7.96760 BM25_long 
52 0 AP890811-0079  985 7.96760 BM25_long 
52 0 AP890216-0064  986 7.94771 BM25_long 
52 0 AP891109-0131  987 7.92358 BM25_long 
52 0 AP891218-0186  988 7.92358 BM25_long 
52 0 AP891102-0249  989 7.91625 BM25_long 
52 0 AP891207-0116  990 7.91625 BM25_long 
52 0 AP890223-0287  991 7.90421 BM25_long 
52 0 AP890327-0055  992 7.90421 BM25_long 
52 0 AP890425-0043  993 7.90421 BM25_long 
52 0 AP890902-0015  994 7.90421 BM25_long 
52 0 AP890906-0225  995 7.90421 BM25_long 
52 0 AP891121-0191  996 7.90421 BM25_long 
52 0 AP890425-0156  997 7.89849 BM25_long 
52 0 AP890219-0051  998 7.88862 BM25_long 
52 0 AP890503-0055  999 7.88862 BM25_long 
52 0 AP890731-0196 1000 7.88862 BM25_long 
53 0 AP890606-0209    1 21.19156 BM25_long 
53 0 AP890921-0254    2 20.57912 BM25_long 
53 0 AP890809-0255    3 20.32616 BM25_long 
53 0 AP890614-0247    4 20.15377 BM25_long 
53 0 AP890619-0257    5 20.15377 BM25_long 
53 0 AP890104-0269    6 20.12929 BM25_long 
53 0 AP890210-0243    7 19.92882 BM25_long 
53 0 AP890215-0266    8 19.68280 BM25_long 
53 0 AP891012-0292    9 19.10309 BM25_long 
53 0 AP890825-0237   10 19.00246 BM25_long 
53 0 AP891031-0278   11 18.94805 BM25_long 
53 0 AP891229-0233   12 18.92333 BM25_long 
53 0 AP890510-0257   13 18.88239 BM25_long 
53 0 AP890329-0229   14 18.84624 BM25_long 
53 0 AP890707-0225   15 18.63158 BM25_long 
53 0 AP890221-0314   16 18.53381 BM25_long 
53 0 AP890623-0252   17 18.34892 BM25_long 
53 0 AP891023-0240   18 18.33043 BM25_long 
53 0 AP891031-0243   19 18.29612 BM25_long 
53 0 AP890410-0241   20 18.12077 BM25_long 
53 0 AP890210-0234   21 18.11917 BM25_long 
53 0 AP890126-0186   22 18.05451 BM25_long 
53 0 AP890829-0252   23 17.98882 BM25_long 
53 0 AP890220-0166   24 17.51658 BM25_long 
53 0 AP890221-0268   25 17.51658 BM25_long 
53 0 AP891013-0191   26 17.39288 BM25_long 
53 0 AP890531-0260   27 17.28235 BM25_long 
53 0 AP891004-0285   28 17.27950 BM25_long 
53 0 AP890929-0215   29 16.95244 BM25_long 
53 0 AP891003-0210   30 16.80543 BM25_long 
53 0 AP890216-0244   31 16.73913 BM25_long 
53 0 AP890908-0234   32 16.65298 BM25_long 
53 0 AP890202-0297   33 16.64033 BM25_long 
53 0 AP891005-0029   34 16.61376 BM25_long 
53 0 AP890216-0258   35 16.55508 BM25_long 
53 0 AP890914-0243   36 16.52863 BM25_long 
53 0 AP890617-0081   37 16.51967 BM25_long 
53 0 AP891013-0178   38 16.39140 BM25_long 
53 0 AP890329-0243   39 16.30433 BM25_long 
53 0 AP890125-0261   40 16.29993 BM25_long 
53 0 AP890125-0180   41 16.24872 BM25_long 
53 0 AP891124-0230   42 16.24742 BM25_long 
53 0 AP890310-0317   43 16.13280 BM25_long 
53 0 AP890329-0258   44 16.10525 BM25_long 
53 0 AP890830-0252   45 15.97550 BM25_long 
53 0 AP890928-0291   46 15.95247 BM25_long 
53 0 AP890320-0319   47 15.88961 BM25_long 
53 0 AP890713-0243   48 15.87914 BM25_long 
53 0 AP891118-0166   49 15.84634 BM25_long 
53 0 AP890125-0284   50 15.84509 BM25_long 
53 0 AP890111-0261   51 15.78654 BM25_long 
53 0 AP890123-0320   52 15.43199 BM25_long 
53 0 AP890213-0270   53 15.38752 BM25_long 
53 0 AP890818-0031   54 15.26238 BM25_long 
53 0 AP891017-0259   55 15.24161 BM25_long 
53 0 AP890427-0305   56 15.13039 BM25_long 
53 0 AP890606-0167   57 15.12429 BM25_long 
53 0 AP890807-0174   58 15.03738 BM25_long 
53 0 AP890706-0215   59 15.02586 BM25_long 
53 0 AP891114-0266   60 15.01626 BM25_long 
53 0 AP890816-0216   61 15.01132 BM25_long 
53 0 AP890612-0281   62 14.98177 BM25_long 
53 0 AP890124-0115   63 14.96687 BM25_long 
53 0 AP890316-0223   64 14.89927 BM25_long 
53 0 AP890710-0246   65 14.73681 BM25_long 
53 0 AP890811-0215   66 14.71124 BM25_long 
53 0 AP890901-0038   67 14.62151 BM25_long 
53 0 AP890124-0293   68 14.59256 BM25_long 
53 0 AP890329-0219   69 14.59256 BM25_long 
53 0 AP890817-0181   70 14.57565 BM25_long 
53 0 AP891114-0233   71 14.51194 BM25_long 
53 0 AP890622-0294   72 14.50100 BM25_long 
53 0 AP890811-0041   73 14.47417 BM25_long 
53 0 AP890516-0244   74 14.44995 BM25_long 
53 0 AP890811-0200   75 14.41078 BM25_long 
53 0 AP890922-0300   76 14.33952 BM25_long 
53 0 AP890217-0164   77 14.26085 BM25_long 
53 0 AP891014-0035   78 14.21255 BM25_long 
53 0 AP890301-0311   79 14.19555 BM25_long 
53 0 AP891026-0236   80 14.18695 BM25_long 
53 0 AP890912-0238   81 14.16173 BM25_long 
53 0 AP891107-0300   82 14.14334 BM25_long 
53 0 AP890329-0222   83 14.09791 BM25_long 
53 0 AP891023-0269   84 14.07871 BM25_long 
53 0 AP891220-0297   85 14.04671 BM25_long 
53 0 AP890309-0274   86 14.02352 BM25_long 
53 0 AP890502-0244   87 14.00129 BM25_long 
53 0 AP890622-0302   88 13.93840 BM25_long 
53 0 AP890704-0167   89 13.93767 BM25_long 
53 0 AP890806-0078   90 13.91136 BM25_long 
53 0 AP890111-0185   91 13.87962 BM25_long 
53 0 AP890221-0294   92 13.87962 BM25_long 
53 0 AP890602-0274   93 13.87962 BM25_long 
53 0 AP890130-0149   94 13.87549 BM25_long 
53 0 AP891020-0131   95 13.79907 BM25_long 
53 0 AP891115-0239   96 13.79434 BM25_long 
53 0 AP890830-0269   97 13.79082 BM25_long 
53 0 AP891212-0210   98 13.75365 BM25_long 
53 0 AP890921-0280   99 13.74080 BM25_long 
53 0 AP891228-0196  100 13.72524 BM25_long 
53 0 AP890112-0150  101 13.72255 BM25_long 
53 0 AP890131-0164  102 13.71961 BM25_long 
53 0 AP890922-0314  103 13.69801 BM25_long 
53 0 AP890925-0247  104 13.69801 BM25_long 
53 0 AP890901-0240  105 13.63380 BM25_long 
53 0 AP891015-0067  106 13.63380 BM25_long 
53 0 AP890722-0149  107 13.61931 BM25_long 
53 0 AP890420-0263  108 13.60287 BM25_long 
53 0 AP890504-0299  109 13.60100 BM25_long 
53 0 AP890713-0296  110 13.58822 BM25_long 
53 0 AP891030-0262  111 13.57308 BM25_long 
53 0 AP890908-0276  112 13.56914 BM25_long 
53 0 AP890127-0291  113 13.55698 BM25_long 
53 0 AP890623-0267  114 13.55462 BM25_long 
53 0 AP891013-0137  115 13.53621 BM25_long 
53 0 AP891201-0150  116 13.49507 BM25_long 
53 0 AP891204-0245  117 13.49345 BM25_long 
53 0 AP890915-0245  118 13.47291 BM25_long 
53 0 AP890822-0172  119 13.39943 BM25_long 
53 0 AP890606-0204  120 13.38913 BM25_long 
53 0 AP890619-0287  121 13.33562 BM25_long 
53 0 AP890710-0251  122 13.32855 BM25_long 
53 0 AP890405-0290  123 13.30381 BM25_long 
53 0 AP890223-0249  124 13.28457 BM25_long 
53 0 AP890318-0167  125 13.28038 BM25_long 
53 0 AP890315-0288  126 13.18713 BM25_long 
53 0 AP890724-0274  127 13.17409 BM25_long 
53 0 AP890110-0314  128 13.15983 BM25_long 
53 0 AP891016-0296  129 13.12121 BM25_long 
53 0 AP890413-0277  130 13.11510 BM25_long 
53 0 AP890912-0003  131 13.08503 BM25_long 
53 0 AP890830-0233  132 13.08176 BM25_long 
53 0 AP891025-0305  133 12.92847 BM25_long 
53 0 AP890105-0164  134 12.91286 BM25_long 
53 0 AP890516-0217  135 12.89646 BM25_long 
53 0 AP890425-0251  136 12.88505 BM25_long 
53 0 AP890424-0276  137 12.81820 BM25_long 
53 0 AP890125-0310  138 12.81054 BM25_long 
53 0 AP890407-0324  139 12.72683 BM25_long 
53 0 AP891004-0307  140 12.72683 BM25_long 
53 0 AP890725-0240  141 12.71909 BM25_long 
53 0 AP890216-0282  142 12.71632 BM25_long 
53 0 AP890421-0241  143 12.66008 BM25_long 
53 0 AP890620-0255  144 12.63573 BM25_long 
53 0 AP890512-0293  145 12.62515 BM25_long 
53 0 AP891025-0257  146 12.59660 BM25_long 
53 0 AP890320-0308  147 12.52485 BM25_long 
53 0 AP890208-0123  148 12.51428 BM25_long 
53 0 AP891109-0259  149 12.51428 BM25_long 
53 0 AP891129-0300  150 12.51428 BM25_long 
53 0 AP890925-0285  151 12.50082 BM25_long 
53 0 AP891115-0231  152 12.49932 BM25_long 
53 0 AP890516-0260  153 12.48638 BM25_long 
53 0 AP891027-0284  154 12.45282 BM25_long 
53 0 AP890404-0229  155 12.42495 BM25_long 
53 0 AP890404-0232  156 12.42495 BM25_long 
53 0 AP890901-0084  157 12.36983 BM25_long 
53 0 AP890508-0290  158 12.36693 BM25_long 
53 0 AP891018-0276  159 12.36693 BM25_long 
53 0 AP891211-0250  160 12.33457 BM25_long 
53 0 AP890914-0186  161 12.30372 BM25_long 
53 0 AP890421-0248  162 12.30357 BM25_long 
53 0 AP891027-0292  163 12.29529 BM25_long 
53 0 AP890505-0304  164 12.27547 BM25_long 
53 0 AP891014-0159  165 12.25844 BM25_long 
53 0 AP890216-0302  166 12.23841 BM25_long 
53 0 AP890217-0169  167 12.23841 BM25_long 
53 0 AP890223-0253  168 12.23841 BM25_long 
53 0 AP891025-0302  169 12.23841 BM25_long 
53 0 AP891103-0280  170 12.23841 BM25_long 
53 0 AP891228-0185  171 12.23841 BM25_long 
53 0 AP891010-0277  172 12.22018 BM25_long 
53 0 AP890428-0244  173 12.19269 BM25_long 
53 0 AP890629-0288  174 12.19269 BM25_long 
53 0 AP891027-0294  175 12.18552 BM25_long 
53 0 AP891030-0257  176 12.18552 BM25_long 
53 0 AP890728-0246  177 12.17723 BM25_long 
53 0 AP891017-0216  178 12.16724 BM25_long 
53 0 AP890913-0263  179 12.15587 BM25_long 
53 0 AP891024-0241  180 12.07221 BM25_long 
53 0 AP890517-0231  181 12.05993 BM25_long 
53 0 AP891211-0270  182 12.04646 BM25_long 
53 0 AP890704-0176  183 12.02510 BM25_long 
53 0 AP891117-0226  184 12.02510 BM25_long 
53 0 AP891213-0290  185 12.02510 BM25_long 
53 0 AP890303-0181  186 11.99904 BM25_long 
53 0 AP890108-0047  187 11.96054 BM25_long 
53 0 AP891117-0256  188 11.94997 BM25_long 
53 0 AP890123-0276  189 11.94651 BM25_long 
53 0 AP890503-0310  190 11.93284 BM25_long 
53 0 AP890203-0109  191 11.89850 BM25_long 
53 0 AP890601-0348  192 11.89850 BM25_long 
53 0 AP891130-0253  193 11.89850 BM25_long 
53 0 AP891101-0235  194 11.87233 BM25_long 
53 0 AP891213-0135  195 11.86972 BM25_long 
53 0 AP890313-0144  196 11.85418 BM25_long 
53 0 AP891127-0239  197 11.85172 BM25_long 
53 0 AP890714-0233  198 11.82991 BM25_long 
53 0 AP890614-0281  199 11.79055 BM25_long 
53 0 AP891117-0245  200 11.79055 BM25_long 
53 0 AP890420-0283  201 11.77950 BM25_long 
53 0 AP891101-0274  202 11.76894 BM25_long 
53 0 AP890313-0217  203 11.76736 BM25_long 
53 0 AP890330-0266  204 11.75828 BM25_long 
53 0 AP890413-0063  205 11.68753 BM25_long 
53 0 AP890803-0220  206 11.68280 BM25_long 
53 0 AP891110-0186  207 11.67464 BM25_long 
53 0 AP890615-0301  208 11.67382 BM25_long 
53 0 AP890620-0268  209 11.66203 BM25_long 
53 0 AP891006-0280  210 11.62791 BM25_long 
53 0 AP890131-0259  211 11.60172 BM25_long 
53 0 AP890329-0224  212 11.60172 BM25_long 
53 0 AP890329-0238  213 11.60172 BM25_long 
53 0 AP890329-0241  214 11.60172 BM25_long 
53 0 AP890525-0243  215 11.60172 BM25_long 
53 0 AP891024-0282  216 11.60172 BM25_long 
53 0 AP891220-0275  217 11.60172 BM25_long 
53 0 AP890329-0216  218 11.55217 BM25_long 
53 0 AP890213-0230  219 11.54531 BM25_long 
53 0 AP891013-0197  220 11.51631 BM25_long 
53 0 AP891025-0230  221 11.51631 BM25_long 
53 0 AP891106-0015  222 11.50856 BM25_long 
53 0 AP890413-0262  223 11.46660 BM25_long 
53 0 AP890401-0141  224 11.43867 BM25_long 
53 0 AP890208-0279  225 11.41996 BM25_long 
53 0 AP890722-0096  226 11.41782 BM25_long 
53 0 AP890320-0320  227 11.40349 BM25_long 
53 0 AP890510-0246  228 11.40349 BM25_long 
53 0 AP890724-0241  229 11.39923 BM25_long 
53 0 AP890407-0058  230 11.39743 BM25_long 
53 0 AP890617-0155  231 11.38598 BM25_long 
53 0 AP890523-0218  232 11.35006 BM25_long 
53 0 AP891003-0274  233 11.35006 BM25_long 
53 0 AP890728-0232  234 11.34937 BM25_long 
53 0 AP890721-0238  235 11.33200 BM25_long 
53 0 AP891023-0236  236 11.32347 BM25_long 
53 0 AP890516-0080  237 11.32208 BM25_long 
53 0 AP890426-0273  238 11.28628 BM25_long 
53 0 AP890207-0235  239 11.26706 BM25_long 
53 0 AP891214-0052  240 11.23989 BM25_long 
53 0 AP890323-0297  241 11.23974 BM25_long 
53 0 AP891002-0334  242 11.21870 BM25_long 
53 0 AP890608-0253  243 11.21131 BM25_long 
53 0 AP890513-0099  244 11.20202 BM25_long 
53 0 AP891017-0227  245 11.20202 BM25_long 
53 0 AP891106-0183  246 11.20202 BM25_long 
53 0 AP890725-0250  247 11.19387 BM25_long 
53 0 AP890815-0221  248 11.19387 BM25_long 
53 0 AP890406-0251  249 11.17457 BM25_long 
53 0 AP890630-0264  250 11.16460 BM25_long 
53 0 AP890727-0095  251 11.15890 BM25_long 
53 0 AP890915-0249  252 11.15488 BM25_long 
53 0 AP890915-0045  253 11.15179 BM25_long 
53 0 AP891018-0208  254 11.15179 BM25_long 
53 0 AP891024-0242  255 11.10223 BM25_long 
53 0 AP891213-0242  256 11.06531 BM25_long 
53 0 AP890206-0268  257 11.05156 BM25_long 
53 0 AP890502-0271  258 11.04902 BM25_long 
53 0 AP890801-0042  259 11.04692 BM25_long 
53 0 AP890109-0121  260 11.03969 BM25_long 
53 0 AP890713-0285  261 11.02372 BM25_long 
53 0 AP890901-0170  262 11.02372 BM25_long 
53 0 AP890503-0300  263 11.01506 BM25_long 
53 0 AP890206-0233  264 11.00157 BM25_long 
53 0 AP890127-0272  265 10.98568 BM25_long 
53 0 AP890502-0264  266 10.95829 BM25_long 
53 0 AP890803-0322  267 10.91635 BM25_long 
53 0 AP890110-0296  268 10.90862 BM25_long 
53 0 AP890405-0252  269 10.90862 BM25_long 
53 0 AP890204-0027  270 10.88264 BM25_long 
53 0 AP890210-0246  271 10.88264 BM25_long 
53 0 AP891227-0195  272 10.88264 BM25_long 
53 0 AP890619-0267  273 10.84860 BM25_long 
53 0 AP890711-0210  274 10.82682 BM25_long 
53 0 AP890531-0248  275 10.81535 BM25_long 
53 0 AP890208-0206  276 10.81462 BM25_long 
53 0 AP891012-0328  277 10.80284 BM25_long 
53 0 AP890804-0158  278 10.79211 BM25_long 
53 0 AP891027-0039  279 10.78602 BM25_long 
53 0 AP890322-0306  280 10.77836 BM25_long 
53 0 AP890524-0318  281 10.77836 BM25_long 
53 0 AP890915-0227  282 10.77387 BM25_long 
53 0 AP891216-0124  283 10.76862 BM25_long 
53 0 AP890920-0230  284 10.76330 BM25_long 
53 0 AP890119-0355  285 10.74423 BM25_long 
53 0 AP890303-0155  286 10.72574 BM25_long 
53 0 AP891117-0215  287 10.72574 BM25_long 
53 0 AP890210-0148  288 10.71817 BM25_long 
53 0 AP890803-0290  289 10.71678 BM25_long 
53 0 AP890724-0140  290 10.70494 BM25_long 
53 0 AP890615-0261  291 10.69225 BM25_long 
53 0 AP890420-0014  292 10.68963 BM25_long 
53 0 AP890914-0119  293 10.65836 BM25_long 
53 0 AP890414-0266  294 10.62923 BM25_long 
53 0 AP891010-0192  295 10.62923 BM25_long 
53 0 AP891006-0234  296 10.60951 BM25_long 
53 0 AP890110-0274  297 10.60810 BM25_long 
53 0 AP891103-0258  298 10.59131 BM25_long 
53 0 AP890925-0286  299 10.57735 BM25_long 
53 0 AP890808-0215  300 10.57642 BM25_long 
53 0 AP890216-0017  301 10.54376 BM25_long 
53 0 AP890811-0204  302 10.54376 BM25_long 
53 0 AP890729-0012  303 10.51057 BM25_long 
53 0 AP891206-0137  304 10.49912 BM25_long 
53 0 AP890606-0189  305 10.48736 BM25_long 
53 0 AP890627-0235  306 10.46429 BM25_long 
53 0 AP890504-0133  307 10.45041 BM25_long 
53 0 AP891108-0286  308 10.45041 BM25_long 
53 0 AP891025-0025  309 10.44048 BM25_long 
53 0 AP890826-0024  310 10.43203 BM25_long 
53 0 AP890605-0177  311 10.38920 BM25_long 
53 0 AP890124-0250  312 10.38806 BM25_long 
53 0 AP890814-0211  313 10.38377 BM25_long 
53 0 AP890613-0247  314 10.37220 BM25_long 
53 0 AP890424-0273  315 10.35694 BM25_long 
53 0 AP890518-0289  316 10.35694 BM25_long 
53 0 AP890817-0180  317 10.35694 BM25_long 
53 0 AP890908-0226  318 10.35694 BM25_long 
53 0 AP890922-0139  319 10.35694 BM25_long 
53 0 AP890922-0284  320 10.35694 BM25_long 
53 0 AP890406-0121  321 10.32708 BM25_long 
53 0 AP891024-0238  322 10.31367 BM25_long 
53 0 AP890714-0164  323 10.30416 BM25_long 
53 0 AP890831-0223  324 10.28143 BM25_long 
53 0 AP890927-0049  325 10.27421 BM25_long 
53 0 AP890625-0075  326 10.26941 BM25_long 
53 0 AP890710-0148  327 10.25457 BM25_long 
53 0 AP890325-0010  328 10.24826 BM25_long 
53 0 AP890905-0251  329 10.24754 BM25_long 
53 0 AP890606-0023  330 10.24070 BM25_long 
53 0 AP891226-0198  331 10.22641 BM25_long 
53 0 AP890815-0210  332 10.22285 BM25_long 
53 0 AP890504-0256  333 10.21893 BM25_long 
53 0 AP891107-0265  334 10.21423 BM25_long 
53 0 AP891113-0079  335 10.21008 BM25_long 
53 0 AP891222-0113  336 10.20811 BM25_long 
53 0 AP890807-0154  337 10.19332 BM25_long 
53 0 AP890605-0077  338 10.19196 BM25_long 
53 0 AP890705-0187  339 10.18806 BM25_long 
53 0 AP890710-0276  340 10.18733 BM25_long 
53 0 AP891224-0071  341 10.16250 BM25_long 
53 0 AP890420-0282  342 10.14975 BM25_long 
53 0 AP891103-0290  343 10.14975 BM25_long 
53 0 AP890206-0277  344 10.14917 BM25_long 
53 0 AP890605-0053  345 10.14755 BM25_long 
53 0 AP890831-0268  346 10.12211 BM25_long 
53 0 AP890808-0192  347 10.10943 BM25_long 
53 0 AP891212-0192  348 10.09256 BM25_long 
53 0 AP890329-0252  349 10.08788 BM25_long 
53 0 AP891025-0291  350 10.08788 BM25_long 
53 0 AP890415-0134  351 10.08555 BM25_long 
53 0 AP890921-0262  352 10.07901 BM25_long 
53 0 AP890712-0282  353 10.07451 BM25_long 
53 0 AP890525-0005  354 10.07019 BM25_long 
53 0 AP890728-0038  355 10.07019 BM25_long 
53 0 AP890927-0115  356 10.06799 BM25_long 
53 0 AP890614-0264  357 10.04435 BM25_long 
53 0 AP890609-0274  358 10.04405 BM25_long 
53 0 AP890214-0208  359 10.02066 BM25_long 
