51 0 AP890518-0275    1 20.99845 LMwDS_long 
58 0 AP890710-0250    6 12.10564 LMwDS_long 
58 0 AP890314-0184    7 11.92961 LMwDS_long 
58 0 AP890801-0053    8 11.69412 LMwDS_long 
58 0 AP890817-0129    9 11.62867 LMwDS_long 
58 0 AP890308-0160   10 11.60882 LMwDS_long 
58 0 AP890711-0047   11 11.49239 LMwDS_long 
58 0 AP890304-0022   12 11.45301 LMwDS_long 
58 0 AP890704-0085   13 11.42225 LMwDS_long 
58 0 AP890717-0232   14 11.39257 LMwDS_long 
58 0 AP890303-0148   15 11.17553 LMwDS_long 
58 0 AP890307-0123   16 11.15124 LMwDS_long 
58 0 AP890711-0262   17 11.09480 LMwDS_long 
58 0 AP890718-0250   18 11.09480 LMwDS_long 
58 0 AP890713-0014   19 10.99123 LMwDS_long 
58 0 AP890621-0158   20 10.90147 LMwDS_long 
58 0 AP890304-0154   21 10.89308 LMwDS_long 
58 0 AP890302-0274   22 10.84745 LMwDS_long 
58 0 AP890306-0131   23 10.82592 LMwDS_long 
58 0 AP890305-0078   24 10.76184 LMwDS_long 
58 0 AP891005-0067   25 10.70949 LMwDS_long 
58 0 AP890805-0117   26 10.67232 LMwDS_long 
58 0 AP890815-0112   27 10.66914 LMwDS_long 
58 0 AP890717-0208   28 10.61134 LMwDS_long 
58 0 AP891102-0228   29 10.50597 LMwDS_long 
58 0 AP890304-0049   30 10.49348 LMwDS_long 
58 0 AP890306-0237   31 10.49348 LMwDS_long 
58 0 AP890413-0244   32 10.49348 LMwDS_long 
58 0 AP890315-0279   33 10.45788 LMwDS_long 
58 0 AP890414-0023   34 10.45788 LMwDS_long 
58 0 AP890211-0012   35 10.42426 LMwDS_long 
58 0 AP890710-0178   36 10.37169 LMwDS_long 
58 0 AP891010-0168   37 10.33273 LMwDS_long 
58 0 AP891011-0069   38 10.33273 LMwDS_long 
58 0 AP890407-0056   39 10.29771 LMwDS_long 
58 0 AP890310-0239   40 10.28704 LMwDS_long 
58 0 AP890601-0176   41 10.28704 LMwDS_long 
58 0 AP890602-0100   42 10.28704 LMwDS_long 
58 0 AP890806-0058   43 10.28704 LMwDS_long 
58 0 AP890310-0273   44 10.15082 LMwDS_long 
58 0 AP890523-0100   45 10.12805 LMwDS_long 
58 0 AP890322-0258   46 10.07525 LMwDS_long 
58 0 AP890628-0255   47 10.01910 LMwDS_long 
58 0 AP890307-0283   48 9.97348 LMwDS_long 
58 0 AP890705-0137   49 9.94872 LMwDS_long 
58 0 AP890718-0132   50 9.94872 LMwDS_long 
58 0 AP891005-0187   51 9.84523 LMwDS_long 
58 0 AP891003-0143   52 9.83719 LMwDS_long 
58 0 AP891212-0018   53 9.81134 LMwDS_long 
58 0 AP890425-0123   54 9.76628 LMwDS_long 
58 0 AP890628-0049   55 9.75323 LMwDS_long 
58 0 AP890816-0060   56 9.75323 LMwDS_long 
58 0 AP890914-0102   57 9.75323 LMwDS_long 
58 0 AP890322-0327   58 9.67475 LMwDS_long 
58 0 AP890307-0064   59 9.67265 LMwDS_long 
58 0 AP890830-0099   60 9.56568 LMwDS_long 
58 0 AP890307-0215   61 9.55151 LMwDS_long 
58 0 AP890310-0104   62 9.50581 LMwDS_long 
58 0 AP890306-0253   63 9.47303 LMwDS_long 
58 0 AP890309-0253   64 9.47303 LMwDS_long 
58 0 AP890705-0051   65 9.47303 LMwDS_long 
58 0 AP890305-0021   66 9.43555 LMwDS_long 
58 0 AP891212-0112   67 9.36922 LMwDS_long 
58 0 AP890118-0178   68 9.32760 LMwDS_long 
58 0 AP890308-0270   69 9.31719 LMwDS_long 
58 0 AP891015-0049   70 9.27930 LMwDS_long 
58 0 AP890307-0251   71 9.18598 LMwDS_long 
58 0 AP891116-0145   72 9.16750 LMwDS_long 
58 0 AP891116-0192   73 9.16750 LMwDS_long 
58 0 AP890320-0323   74 9.16706 LMwDS_long 
58 0 AP890315-0021   75 9.05281 LMwDS_long 
58 0 AP890226-0006   76 9.02218 LMwDS_long 
58 0 AP890926-0145   77 9.01858 LMwDS_long 
58 0 AP890308-0296   78 9.01160 LMwDS_long 
58 0 AP891105-0092   79 9.00569 LMwDS_long 
58 0 AP891221-0144   80 8.96208 LMwDS_long 
58 0 AP890307-0261   81 8.91211 LMwDS_long 
58 0 AP891031-0051   82 8.89642 LMwDS_long 
58 0 AP891116-0064   83 8.89353 LMwDS_long 
58 0 AP890320-0171   84 8.86573 LMwDS_long 
58 0 AP890322-0331   85 8.85387 LMwDS_long 
58 0 AP891130-0087   86 8.84767 LMwDS_long 
58 0 AP890518-0008   87 8.78442 LMwDS_long 
58 0 AP890906-0179   88 8.77552 LMwDS_long 
58 0 AP890315-0110   89 8.71312 LMwDS_long 
58 0 AP891008-0002   90 8.70970 LMwDS_long 
58 0 AP891122-0261   91 8.70100 LMwDS_long 
58 0 AP890809-0055   92 8.63270 LMwDS_long 
58 0 AP890304-0134   93 8.60805 LMwDS_long 
58 0 AP890704-0103   94 8.59009 LMwDS_long 
58 0 AP890308-0236   95 8.57379 LMwDS_long 
58 0 AP891204-0058   96 8.53745 LMwDS_long 
58 0 AP890307-0259   97 8.47797 LMwDS_long 
58 0 AP890307-0246   98 8.45350 LMwDS_long 
58 0 AP891003-0112   99 8.37817 LMwDS_long 
58 0 AP890324-0245  100 8.37503 LMwDS_long 
58 0 AP890530-0009  101 8.37503 LMwDS_long 
58 0 AP890505-0050  102 8.36891 LMwDS_long 
58 0 AP890216-0293  103 8.35987 LMwDS_long 
58 0 AP891021-0060  104 8.30640 LMwDS_long 
58 0 AP890306-0124  105 8.28689 LMwDS_long 
58 0 AP890305-0054  106 8.20608 LMwDS_long 
58 0 AP891012-0189  107 8.18691 LMwDS_long 
58 0 AP890616-0168  108 8.14250 LMwDS_long 
58 0 AP891012-0074  109 8.14203 LMwDS_long 
58 0 AP890424-0082  110 8.13325 LMwDS_long 
58 0 AP890727-0201  111 8.13325 LMwDS_long 
58 0 AP890724-0104  112 8.12183 LMwDS_long 
58 0 AP890927-0017  113 8.11200 LMwDS_long 
58 0 AP891005-0250  114 8.06495 LMwDS_long 
58 0 AP890826-0089  115 7.93814 LMwDS_long 
58 0 AP890120-0241  116 7.93140 LMwDS_long 
58 0 AP890122-0051  117 7.93140 LMwDS_long 
58 0 AP890105-0104  118 7.90490 LMwDS_long 
58 0 AP890429-0050  119 7.89722 LMwDS_long 
58 0 AP890616-0073  120 7.89722 LMwDS_long 
58 0 AP891025-0295  121 7.86159 LMwDS_long 
58 0 AP890805-0072  122 7.81744 LMwDS_long 
58 0 AP890226-0035  123 7.77467 LMwDS_long 
58 0 AP890502-0228  124 7.77467 LMwDS_long 
58 0 AP890203-0058  125 7.75039 LMwDS_long 
58 0 AP890310-0347  126 7.74016 LMwDS_long 
58 0 AP890515-0188  127 7.73038 LMwDS_long 
58 0 AP890902-0153  128 7.72244 LMwDS_long 
58 0 AP890307-0040  129 7.70637 LMwDS_long 
58 0 AP890726-0071  130 7.70637 LMwDS_long 
58 0 AP890715-0079  131 7.65676 LMwDS_long 
58 0 AP890304-0136  132 7.60551 LMwDS_long 
58 0 AP890305-0020  133 7.59379 LMwDS_long 
58 0 AP890306-0303  134 7.59379 LMwDS_long 
58 0 AP890304-0128  135 7.55413 LMwDS_long 
58 0 AP890307-0119  136 7.55413 LMwDS_long 
58 0 AP890307-0225  137 7.55413 LMwDS_long 
58 0 AP890129-0077  138 7.51453 LMwDS_long 
58 0 AP890810-0052  139 7.50420 LMwDS_long 
58 0 AP890112-0205  140 7.48993 LMwDS_long 
58 0 AP891101-0287  141 7.46871 LMwDS_long 
58 0 AP890308-0201  142 7.46768 LMwDS_long 
58 0 AP890605-0115  143 7.44440 LMwDS_long 
58 0 AP890307-0076  144 7.44367 LMwDS_long 
58 0 AP891011-0281  145 7.42708 LMwDS_long 
58 0 AP890621-0243  146 7.42302 LMwDS_long 
58 0 AP890323-0186  147 7.42087 LMwDS_long 
58 0 AP890329-0006  148 7.42087 LMwDS_long 
58 0 AP891018-0196  149 7.42087 LMwDS_long 
58 0 AP891103-0096  150 7.42087 LMwDS_long 
58 0 AP891223-0013  151 7.40176 LMwDS_long 
58 0 AP891218-0073  152 7.39207 LMwDS_long 
58 0 AP890206-0065  153 7.37678 LMwDS_long 
58 0 AP890621-0272  154 7.36549 LMwDS_long 
58 0 AP890324-0094  155 7.35334 LMwDS_long 
58 0 AP890510-0172  156 7.35334 LMwDS_long 
58 0 AP890301-0315  157 7.33745 LMwDS_long 
58 0 AP891009-0189  158 7.33745 LMwDS_long 
58 0 AP891107-0196  159 7.32677 LMwDS_long 
58 0 AP891227-0164  160 7.29788 LMwDS_long 
58 0 AP890315-0107  161 7.27186 LMwDS_long 
58 0 AP891215-0080  162 7.27186 LMwDS_long 
58 0 AP890726-0096  163 7.25689 LMwDS_long 
58 0 AP890616-0154  164 7.23348 LMwDS_long 
58 0 AP890324-0009  165 7.18714 LMwDS_long 
58 0 AP890210-0130  166 7.18074 LMwDS_long 
58 0 AP890304-0092  167 7.16829 LMwDS_long 
58 0 AP890326-0086  168 7.16829 LMwDS_long 
58 0 AP890424-0028  169 7.16829 LMwDS_long 
58 0 AP890510-0194  170 7.16829 LMwDS_long 
58 0 AP891130-0269  171 7.16829 LMwDS_long 
58 0 AP891130-0007  172 7.15161 LMwDS_long 
58 0 AP890705-0096  173 7.13983 LMwDS_long 
58 0 AP890515-0204  174 7.12035 LMwDS_long 
58 0 AP890303-0195  175 7.10502 LMwDS_long 
58 0 AP890329-0218  176 7.10502 LMwDS_long 
58 0 AP890407-0040  177 7.10502 LMwDS_long 
58 0 AP890914-0184  178 7.10502 LMwDS_long 
58 0 AP891107-0165  179 7.07858 LMwDS_long 
58 0 AP890304-0113  180 7.05400 LMwDS_long 
58 0 AP891228-0219  181 7.03060 LMwDS_long 
58 0 AP890110-0258  182 7.02166 LMwDS_long 
58 0 AP890126-0118  183 7.02166 LMwDS_long 
58 0 AP891115-0224  184 7.02166 LMwDS_long 
58 0 AP891211-0216  185 7.02166 LMwDS_long 
58 0 AP890307-0089  186 7.02078 LMwDS_long 
58 0 AP890607-0133  187 7.02078 LMwDS_long 
58 0 AP890622-0321  188 7.01364 LMwDS_long 
58 0 AP890202-0131  189 7.01148 LMwDS_long 
58 0 AP890831-0067  190 7.01148 LMwDS_long 
58 0 AP890310-0271  191 6.96843 LMwDS_long 
58 0 AP890310-0297  192 6.96843 LMwDS_long 
58 0 AP890224-0288  193 6.92025 LMwDS_long 
58 0 AP890127-0131  194 6.90734 LMwDS_long 
58 0 AP890525-0076  195 6.88628 LMwDS_long 
58 0 AP890902-0081  196 6.86052 LMwDS_long 
58 0 AP891201-0083  197 6.86052 LMwDS_long 
58 0 AP891212-0050  198 6.86052 LMwDS_long 
58 0 AP890301-0153  199 6.84348 LMwDS_long 
58 0 AP890918-0110  200 6.83798 LMwDS_long 
58 0 AP891129-0208  201 6.83798 LMwDS_long 
58 0 AP890607-0167  202 6.82484 LMwDS_long 
58 0 AP890225-0075  203 6.77710 LMwDS_long 
58 0 AP890913-0161  204 6.77710 LMwDS_long 
58 0 AP891213-0120  205 6.76671 LMwDS_long 
58 0 AP890320-0016  206 6.74346 LMwDS_long 
58 0 AP890408-0099  207 6.72364 LMwDS_long 
58 0 AP890120-0197  208 6.70881 LMwDS_long 
58 0 AP890204-0148  209 6.70881 LMwDS_long 
58 0 AP890212-0073  210 6.70881 LMwDS_long 
58 0 AP890217-0181  211 6.70881 LMwDS_long 
58 0 AP890221-0271  212 6.70881 LMwDS_long 
58 0 AP890308-0263  213 6.70881 LMwDS_long 
58 0 AP890502-0308  214 6.70881 LMwDS_long 
58 0 AP890629-0254  215 6.70881 LMwDS_long 
58 0 AP890705-0053  216 6.70881 LMwDS_long 
58 0 AP891028-0070  217 6.70881 LMwDS_long 
58 0 AP891029-0073  218 6.70881 LMwDS_long 
58 0 AP891130-0200  219 6.70881 LMwDS_long 
58 0 AP890103-0011  220 6.69946 LMwDS_long 
58 0 AP890307-0052  221 6.66651 LMwDS_long 
58 0 AP890219-0047  222 6.64450 LMwDS_long 
58 0 AP890617-0047  223 6.63821 LMwDS_long 
58 0 AP890924-0071  224 6.63166 LMwDS_long 
58 0 AP890203-0115  225 6.62679 LMwDS_long 
58 0 AP890306-0265  226 6.60795 LMwDS_long 
58 0 AP890330-0137  227 6.60795 LMwDS_long 
58 0 AP890724-0109  228 6.60795 LMwDS_long 
58 0 AP890724-0146  229 6.60795 LMwDS_long 
58 0 AP891021-0043  230 6.60795 LMwDS_long 
58 0 AP891028-0157  231 6.60795 LMwDS_long 
58 0 AP891019-0034  232 6.56933 LMwDS_long 
58 0 AP891108-0052  233 6.54554 LMwDS_long 
58 0 AP890131-0256  234 6.54205 LMwDS_long 
58 0 AP890306-0294  235 6.45469 LMwDS_long 
58 0 AP890722-0107  236 6.45307 LMwDS_long 
58 0 AP890830-0156  237 6.45307 LMwDS_long 
58 0 AP890911-0209  238 6.45307 LMwDS_long 
58 0 AP891119-0019  239 6.45307 LMwDS_long 
58 0 AP890306-0084  240 6.45113 LMwDS_long 
58 0 AP890704-0161  241 6.45065 LMwDS_long 
58 0 AP890830-0155  242 6.45065 LMwDS_long 
58 0 AP890725-0150  243 6.42504 LMwDS_long 
58 0 AP891011-0172  244 6.39425 LMwDS_long 
58 0 AP890715-0014  245 6.39076 LMwDS_long 
58 0 AP890901-0188  246 6.39076 LMwDS_long 
58 0 AP891109-0021  247 6.36294 LMwDS_long 
58 0 AP890720-0108  248 6.35702 LMwDS_long 
58 0 AP890920-0120  249 6.35702 LMwDS_long 
58 0 AP890411-0242  250 6.31798 LMwDS_long 
58 0 AP890702-0015  251 6.31684 LMwDS_long 
58 0 AP890720-0114  252 6.31059 LMwDS_long 
58 0 AP891108-0169  253 6.30932 LMwDS_long 
58 0 AP890320-0196  254 6.27443 LMwDS_long 
58 0 AP890427-0291  255 6.25558 LMwDS_long 
58 0 AP890509-0258  256 6.25558 LMwDS_long 
58 0 AP890909-0071  257 6.25558 LMwDS_long 
58 0 AP891011-0252  258 6.25558 LMwDS_long 
58 0 AP891130-0177  259 6.25558 LMwDS_long 
58 0 AP890814-0223  260 6.24123 LMwDS_long 
58 0 AP890422-0140  261 6.23209 LMwDS_long 
58 0 AP891002-0344  262 6.23173 LMwDS_long 
58 0 AP891107-0310  263 6.22294 LMwDS_long 
58 0 AP890515-0076  264 6.20621 LMwDS_long 
58 0 AP890301-0255  265 6.19962 LMwDS_long 
58 0 AP890417-0225  266 6.19113 LMwDS_long 
58 0 AP890502-0227  267 6.19113 LMwDS_long 
58 0 AP890727-0218  268 6.19113 LMwDS_long 
58 0 AP890511-0151  269 6.19019 LMwDS_long 
58 0 AP890628-0240  270 6.19019 LMwDS_long 
58 0 AP890712-0065  271 6.19019 LMwDS_long 
58 0 AP891002-0191  272 6.19019 LMwDS_long 
58 0 AP890324-0147  273 6.18327 LMwDS_long 
58 0 AP890720-0179  274 6.18103 LMwDS_long 
58 0 AP891012-0177  275 6.17377 LMwDS_long 
58 0 AP890908-0198  276 6.16422 LMwDS_long 
58 0 AP890509-0108  277 6.15355 LMwDS_long 
58 0 AP890713-0283  278 6.15156 LMwDS_long 
58 0 AP891018-0031  279 6.12611 LMwDS_long 
58 0 AP890628-0248  280 6.10595 LMwDS_long 
58 0 AP890301-0277  281 6.09877 LMwDS_long 
58 0 AP890209-0024  282 6.07930 LMwDS_long 
58 0 AP890426-0012  283 6.07930 LMwDS_long 
58 0 AP890510-0124  284 6.07930 LMwDS_long 
58 0 AP890921-0128  285 6.07930 LMwDS_long 
58 0 AP891115-0285  286 6.06088 LMwDS_long 
58 0 AP890803-0326  287 6.06054 LMwDS_long 
58 0 AP890808-0064  288 6.06054 LMwDS_long 
58 0 AP890113-0058  289 6.05360 LMwDS_long 
58 0 AP890419-0188  290 6.05360 LMwDS_long 
58 0 AP891207-0034  291 6.05360 LMwDS_long 
58 0 AP891106-0285  292 6.01914 LMwDS_long 
58 0 AP890204-0051  293 5.99588 LMwDS_long 
58 0 AP890208-0021  294 5.99588 LMwDS_long 
58 0 AP890213-0225  295 5.99588 LMwDS_long 
58 0 AP890221-0059  296 5.99588 LMwDS_long 
58 0 AP890330-0066  297 5.99588 LMwDS_long 
58 0 AP890407-0209  298 5.99588 LMwDS_long 
58 0 AP890415-0023  299 5.99588 LMwDS_long 
58 0 AP890418-0244  300 5.99588 LMwDS_long 
58 0 AP890513-0013  301 5.99588 LMwDS_long 
58 0 AP890623-0150  302 5.99588 LMwDS_long 
58 0 AP890718-0057  303 5.99588 LMwDS_long 
58 0 AP890906-0100  304 5.99588 LMwDS_long 
58 0 AP891002-0167  305 5.99588 LMwDS_long 
58 0 AP891010-0076  306 5.99588 LMwDS_long 
58 0 AP891115-0030  307 5.99588 LMwDS_long 
58 0 AP891127-0182  308 5.99588 LMwDS_long 
58 0 AP890813-0002  309 5.96452 LMwDS_long 
58 0 AP891127-0177  310 5.96452 LMwDS_long 
58 0 AP890412-0112  311 5.95810 LMwDS_long 
58 0 AP891209-0082  312 5.94853 LMwDS_long 
58 0 AP890430-0029  313 5.94006 LMwDS_long 
58 0 AP890105-0154  314 5.92758 LMwDS_long 
58 0 AP890109-0169  315 5.92758 LMwDS_long 
58 0 AP890116-0235  316 5.92758 LMwDS_long 
58 0 AP890118-0217  317 5.92758 LMwDS_long 
58 0 AP890118-0323  318 5.92758 LMwDS_long 
58 0 AP890119-0303  319 5.92758 LMwDS_long 
58 0 AP890305-0060  320 5.92758 LMwDS_long 
58 0 AP890412-0201  321 5.92758 LMwDS_long 
58 0 AP890427-0185  322 5.92758 LMwDS_long 
58 0 AP890518-0153  323 5.92758 LMwDS_long 
58 0 AP890524-0081  324 5.92758 LMwDS_long 
58 0 AP890609-0010  325 5.92758 LMwDS_long 
58 0 AP890621-0119  326 5.92758 LMwDS_long 
58 0 AP890621-0176  327 5.92758 LMwDS_long 
58 0 AP891106-0283  328 5.92758 LMwDS_long 
58 0 AP890510-0085  329 5.90397 LMwDS_long 
58 0 AP890226-0078  330 5.88443 LMwDS_long 
58 0 AP890318-0139  331 5.87907 LMwDS_long 
58 0 AP890621-0035  332 5.86844 LMwDS_long 
58 0 AP890823-0245  333 5.86593 LMwDS_long 
58 0 AP890306-0240  334 5.85187 LMwDS_long 
58 0 AP890306-0284  335 5.85187 LMwDS_long 
58 0 AP890505-0233  336 5.85187 LMwDS_long 
58 0 AP891011-0197  337 5.85187 LMwDS_long 
58 0 AP891218-0180  338 5.85187 LMwDS_long 
58 0 AP890214-0159  339 5.84557 LMwDS_long 
58 0 AP890718-0157  340 5.84557 LMwDS_long 
58 0 AP890621-0211  341 5.83546 LMwDS_long 
58 0 AP890905-0040  342 5.83546 LMwDS_long 
58 0 AP891122-0311  343 5.82843 LMwDS_long 
58 0 AP890307-0285  344 5.82793 LMwDS_long 
58 0 AP890110-0016  345 5.82672 LMwDS_long 
58 0 AP890110-0033  346 5.82672 LMwDS_long 
58 0 AP890205-0068  347 5.82672 LMwDS_long 
58 0 AP890325-0009  348 5.82672 LMwDS_long 
58 0 AP890406-0190  349 5.82672 LMwDS_long 
58 0 AP890411-0079  350 5.82672 LMwDS_long 
58 0 AP890419-0042  351 5.82672 LMwDS_long 
58 0 AP890422-0006  352 5.82672 LMwDS_long 
58 0 AP890424-0108  353 5.82672 LMwDS_long 
58 0 AP890622-0087  354 5.82672 LMwDS_long 
58 0 AP890720-0150  355 5.82672 LMwDS_long 
58 0 AP890724-0011  356 5.82672 LMwDS_long 
58 0 AP890912-0019  357 5.82672 LMwDS_long 
58 0 AP890917-0040  358 5.82672 LMwDS_long 
58 0 AP890920-0206  359 5.82672 LMwDS_long 
58 0 AP891008-0046  360 5.82672 LMwDS_long 
58 0 AP891009-0037  361 5.82672 LMwDS_long 
58 0 AP891019-0090  362 5.82672 LMwDS_long 
58 0 AP890301-0130  363 5.82512 LMwDS_long 
58 0 AP890731-0260  364 5.76540 LMwDS_long 
58 0 AP891004-0156  365 5.74579 LMwDS_long 
58 0 AP890911-0057  366 5.72622 LMwDS_long 
58 0 AP890228-0139  367 5.71228 LMwDS_long 
58 0 AP890518-0144  368 5.70584 LMwDS_long 
58 0 AP890505-0123  369 5.67226 LMwDS_long 
58 0 AP890123-0263  370 5.66991 LMwDS_long 
58 0 AP890320-0135  371 5.66991 LMwDS_long 
58 0 AP890604-0039  372 5.66991 LMwDS_long 
58 0 AP890606-0204  373 5.66991 LMwDS_long 
58 0 AP890620-0147  374 5.66991 LMwDS_long 
58 0 AP890716-0025  375 5.66991 LMwDS_long 
58 0 AP890728-0098  376 5.66991 LMwDS_long 
58 0 AP890810-0096  377 5.66991 LMwDS_long 
58 0 AP890810-0161  378 5.66991 LMwDS_long 
58 0 AP890813-0006  379 5.66991 LMwDS_long 
58 0 AP890813-0061  380 5.66991 LMwDS_long 
58 0 AP890825-0191  381 5.66991 LMwDS_long 
58 0 AP890828-0015  382 5.66991 LMwDS_long 
58 0 AP890903-0019  383 5.66991 LMwDS_long 
58 0 AP890927-0216  384 5.66991 LMwDS_long 
58 0 AP891204-0236  385 5.66991 LMwDS_long 
58 0 AP891218-0067  386 5.66991 LMwDS_long 
58 0 AP890730-0034  387 5.60589 LMwDS_long 
58 0 AP890708-0041  388 5.59499 LMwDS_long 
58 0 AP890318-0092  389 5.58897 LMwDS_long 
58 0 AP890718-0248  390 5.57647 LMwDS_long 
58 0 AP890328-0206  391 5.57158 LMwDS_long 
58 0 AP890625-0077  392 5.57158 LMwDS_long 
58 0 AP890518-0033  393 5.53824 LMwDS_long 
58 0 AP890620-0003  394 5.53824 LMwDS_long 
58 0 AP890620-0213  395 5.53824 LMwDS_long 
58 0 AP890704-0148  396 5.53824 LMwDS_long 
58 0 AP891120-0165  397 5.53824 LMwDS_long 
58 0 AP890802-0270  398 5.53018 LMwDS_long 
58 0 AP890203-0175  399 5.52510 LMwDS_long 
58 0 AP890428-0205  400 5.51481 LMwDS_long 
58 0 AP890201-0153  401 5.50219 LMwDS_long 
58 0 AP890426-0255  402 5.50219 LMwDS_long 
58 0 AP891124-0186  403 5.47371 LMwDS_long 
58 0 AP891211-0136  404 5.47371 LMwDS_long 
58 0 AP890118-0226  405 5.47338 LMwDS_long 
58 0 AP890526-0209  406 5.46182 LMwDS_long 
58 0 AP890808-0236  407 5.45756 LMwDS_long 
58 0 AP891207-0212  408 5.43552 LMwDS_long 
58 0 AP890812-0138  409 5.43534 LMwDS_long 
58 0 AP890212-0008  410 5.43518 LMwDS_long 
58 0 AP890425-0229  411 5.40990 LMwDS_long 
58 0 AP890802-0221  412 5.40990 LMwDS_long 
58 0 AP890807-0059  413 5.40990 LMwDS_long 
58 0 AP890911-0086  414 5.40990 LMwDS_long 
58 0 AP890804-0099  415 5.34825 LMwDS_long 
58 0 AP891207-0093  416 5.34825 LMwDS_long 
58 0 AP890314-0019  417 5.34808 LMwDS_long 
58 0 AP891102-0112  418 5.33281 LMwDS_long 
58 0 AP890302-0060  419 5.33274 LMwDS_long 
58 0 AP890717-0219  420 5.33274 LMwDS_long 
58 0 AP891130-0267  421 5.33274 LMwDS_long 
58 0 AP890619-0124  422 5.32240 LMwDS_long 
58 0 AP891026-0104  423 5.32240 LMwDS_long 
58 0 AP890721-0105  424 5.31689 LMwDS_long 
58 0 AP891004-0257  425 5.31689 LMwDS_long 
58 0 AP890518-0201  426 5.25956 LMwDS_long 
58 0 AP890623-0258  427 5.25339 LMwDS_long 
58 0 AP890214-0138  428 5.24581 LMwDS_long 
58 0 AP890513-0069  429 5.24581 LMwDS_long 
58 0 AP890324-0069  430 5.24451 LMwDS_long 
58 0 AP890118-0202  431 5.23014 LMwDS_long 
58 0 AP890726-0256  432 5.23014 LMwDS_long 
58 0 AP890628-0156  433 5.22273 LMwDS_long 
58 0 AP890209-0265  434 5.20044 LMwDS_long 
58 0 AP890526-0008  435 5.19989 LMwDS_long 
58 0 AP890620-0039  436 5.16558 LMwDS_long 
58 0 AP890717-0132  437 5.16558 LMwDS_long 
58 0 AP890812-0111  438 5.16558 LMwDS_long 
58 0 AP891127-0063  439 5.16558 LMwDS_long 
58 0 AP890214-0230  440 5.15870 LMwDS_long 
58 0 AP890228-0240  441 5.15870 LMwDS_long 
58 0 AP890315-0117  442 5.15870 LMwDS_long 
58 0 AP890522-0062  443 5.15870 LMwDS_long 
58 0 AP891218-0017  444 5.15870 LMwDS_long 
58 0 AP891115-0296  445 5.14955 LMwDS_long 
58 0 AP890915-0168  446 5.14478 LMwDS_long 
58 0 AP890418-0245  447 5.12992 LMwDS_long 
58 0 AP890818-0225  448 5.12189 LMwDS_long 
58 0 AP890304-0017  449 5.10255 LMwDS_long 
58 0 AP890304-0030  450 5.10255 LMwDS_long 
58 0 AP890419-0216  451 5.09758 LMwDS_long 
58 0 AP890627-0019  452 5.09758 LMwDS_long 
58 0 AP890721-0014  453 5.09758 LMwDS_long 
58 0 AP890927-0136  454 5.09758 LMwDS_long 
58 0 AP890222-0273  455 5.09451 LMwDS_long 
58 0 AP890914-0034  456 5.09451 LMwDS_long 
58 0 AP890927-0131  457 5.08125 LMwDS_long 
58 0 AP890629-0122  458 5.07144 LMwDS_long 
58 0 AP890322-0323  459 5.05778 LMwDS_long 
58 0 AP890324-0080  460 5.04292 LMwDS_long 
58 0 AP890802-0135  461 5.03869 LMwDS_long 
58 0 AP890118-0281  462 5.03479 LMwDS_long 
58 0 AP890217-0163  463 5.03479 LMwDS_long 
58 0 AP890227-0146  464 5.03479 LMwDS_long 
58 0 AP890526-0188  465 5.03479 LMwDS_long 
58 0 AP890724-0082  466 5.03479 LMwDS_long 
58 0 AP891105-0039  467 5.03479 LMwDS_long 
58 0 AP890525-0003  468 5.01824 LMwDS_long 
58 0 AP890208-0211  469 5.00188 LMwDS_long 
58 0 AP890314-0106  470 5.00188 LMwDS_long 
58 0 AP890314-0181  471 5.00188 LMwDS_long 
58 0 AP890525-0270  472 5.00188 LMwDS_long 
58 0 AP890717-0062  473 5.00188 LMwDS_long 
58 0 AP890721-0091  474 5.00188 LMwDS_long 
58 0 AP891121-0238  475 5.00188 LMwDS_long 
58 0 AP891123-0048  476 5.00188 LMwDS_long 
58 0 AP890210-0282  477 4.99924 LMwDS_long 
58 0 AP890718-0137  478 4.99924 LMwDS_long 
58 0 AP891122-0262  479 4.99924 LMwDS_long 
58 0 AP890816-0158  480 4.98653 LMwDS_long 
58 0 AP890202-0215  481 4.98039 LMwDS_long 
58 0 AP890209-0061  482 4.98039 LMwDS_long 
58 0 AP890303-0027  483 4.98039 LMwDS_long 
58 0 AP890304-0009  484 4.98039 LMwDS_long 
58 0 AP890315-0196  485 4.98039 LMwDS_long 
58 0 AP890529-0110  486 4.98039 LMwDS_long 
58 0 AP890620-0024  487 4.98039 LMwDS_long 
58 0 AP890723-0026  488 4.98039 LMwDS_long 
58 0 AP890724-0023  489 4.98039 LMwDS_long 
58 0 AP891024-0285  490 4.98039 LMwDS_long 
58 0 AP890419-0045  491 4.97295 LMwDS_long 
58 0 AP890407-0155  492 4.96963 LMwDS_long 
58 0 AP890511-0283  493 4.96963 LMwDS_long 
58 0 AP890527-0007  494 4.96963 LMwDS_long 
58 0 AP891211-0201  495 4.96963 LMwDS_long 
58 0 AP890425-0199  496 4.95378 LMwDS_long 
58 0 AP890510-0181  497 4.95378 LMwDS_long 
58 0 AP890720-0049  498 4.93235 LMwDS_long 
58 0 AP890831-0001  499 4.93235 LMwDS_long 
58 0 AP891018-0103  500 4.93235 LMwDS_long 
58 0 AP891121-0150  501 4.93235 LMwDS_long 
58 0 AP890124-0034  502 4.92907 LMwDS_long 
58 0 AP891122-0208  503 4.90558 LMwDS_long 
58 0 AP890325-0033  504 4.89989 LMwDS_long 
