51 0 AP890908-0222    1 8.04724 LMwDS_short 
54 0 AP891005-0258  657 2.62658 LMwDS_short 
54 0 AP891128-0117  658 2.62658 LMwDS_short 
54 0 AP890102-0035  659 2.62504 LMwDS_short 
54 0 AP890106-0222  660 2.62504 LMwDS_short 
54 0 AP890307-0231  661 2.62504 LMwDS_short 
54 0 AP890424-0065  662 2.62504 LMwDS_short 
54 0 AP890619-0002  663 2.62504 LMwDS_short 
54 0 AP890622-0139  664 2.62504 LMwDS_short 
54 0 AP890722-0047  665 2.62504 LMwDS_short 
54 0 AP890731-0049  666 2.62504 LMwDS_short 
54 0 AP890812-0057  667 2.62504 LMwDS_short 
54 0 AP890814-0100  668 2.62504 LMwDS_short 
54 0 AP890922-0059  669 2.62504 LMwDS_short 
54 0 AP891103-0030  670 2.62504 LMwDS_short 
54 0 AP891124-0060  671 2.62504 LMwDS_short 
54 0 AP891124-0080  672 2.62504 LMwDS_short 
54 0 AP891215-0116  673 2.62504 LMwDS_short 
54 0 AP890105-0263  674 2.61706 LMwDS_short 
54 0 AP890121-0038  675 2.61706 LMwDS_short 
54 0 AP890202-0153  676 2.61706 LMwDS_short 
54 0 AP890209-0168  677 2.61706 LMwDS_short 
54 0 AP890216-0016  678 2.61706 LMwDS_short 
54 0 AP890227-0168  679 2.61706 LMwDS_short 
54 0 AP890303-0192  680 2.61706 LMwDS_short 
54 0 AP890317-0238  681 2.61706 LMwDS_short 
54 0 AP890419-0268  682 2.61706 LMwDS_short 
54 0 AP890425-0016  683 2.61706 LMwDS_short 
54 0 AP890509-0155  684 2.61706 LMwDS_short 
54 0 AP890719-0245  685 2.61706 LMwDS_short 
54 0 AP890721-0200  686 2.61706 LMwDS_short 
54 0 AP890726-0292  687 2.61706 LMwDS_short 
54 0 AP890824-0250  688 2.61706 LMwDS_short 
54 0 AP890911-0059  689 2.61706 LMwDS_short 
54 0 AP890918-0235  690 2.61706 LMwDS_short 
54 0 AP891001-0028  691 2.61706 LMwDS_short 
54 0 AP891002-0015  692 2.61706 LMwDS_short 
54 0 AP891017-0221  693 2.61706 LMwDS_short 
54 0 AP891025-0293  694 2.61706 LMwDS_short 
54 0 AP891127-0256  695 2.61706 LMwDS_short 
54 0 AP891128-0217  696 2.61706 LMwDS_short 
54 0 AP891130-0254  697 2.61706 LMwDS_short 
54 0 AP891211-0124  698 2.61706 LMwDS_short 
54 0 AP890628-0218  699 2.60511 LMwDS_short 
54 0 AP891005-0214  700 2.60511 LMwDS_short 
54 0 AP890217-0183  701 2.59243 LMwDS_short 
54 0 AP890219-0072  702 2.59243 LMwDS_short 
54 0 AP890220-0140  703 2.59243 LMwDS_short 
54 0 AP890328-0058  704 2.59243 LMwDS_short 
54 0 AP890328-0062  705 2.59243 LMwDS_short 
54 0 AP890426-0078  706 2.59243 LMwDS_short 
54 0 AP890510-0172  707 2.59243 LMwDS_short 
54 0 AP890511-0147  708 2.59243 LMwDS_short 
54 0 AP890516-0272  709 2.59243 LMwDS_short 
54 0 AP890727-0118  710 2.59243 LMwDS_short 
54 0 AP890826-0119  711 2.59243 LMwDS_short 
54 0 AP891010-0093  712 2.59243 LMwDS_short 
54 0 AP891103-0239  713 2.59243 LMwDS_short 
54 0 AP891124-0110  714 2.59243 LMwDS_short 
54 0 AP890223-0278  715 2.59089 LMwDS_short 
54 0 AP890225-0122  716 2.59089 LMwDS_short 
54 0 AP890306-0314  717 2.59089 LMwDS_short 
54 0 AP890407-0067  718 2.59089 LMwDS_short 
54 0 AP890428-0174  719 2.59089 LMwDS_short 
54 0 AP890526-0212  720 2.59089 LMwDS_short 
54 0 AP890721-0181  721 2.59089 LMwDS_short 
54 0 AP890812-0079  722 2.59089 LMwDS_short 
54 0 AP891012-0140  723 2.59089 LMwDS_short 
54 0 AP891106-0189  724 2.59089 LMwDS_short 
54 0 AP891208-0023  725 2.59089 LMwDS_short 
54 0 AP890130-0137  726 2.56663 LMwDS_short 
54 0 AP890221-0189  727 2.56663 LMwDS_short 
54 0 AP890303-0101  728 2.56663 LMwDS_short 
54 0 AP890309-0098  729 2.56663 LMwDS_short 
54 0 AP890316-0144  730 2.56663 LMwDS_short 
54 0 AP890316-0274  731 2.56663 LMwDS_short 
54 0 AP890317-0207  732 2.56663 LMwDS_short 
54 0 AP890512-0252  733 2.56663 LMwDS_short 
54 0 AP890515-0279  734 2.56663 LMwDS_short 
54 0 AP890516-0119  735 2.56663 LMwDS_short 
54 0 AP890608-0248  736 2.56663 LMwDS_short 
54 0 AP890609-0220  737 2.56663 LMwDS_short 
54 0 AP890614-0249  738 2.56663 LMwDS_short 
54 0 AP890619-0259  739 2.56663 LMwDS_short 
54 0 AP890622-0283  740 2.56663 LMwDS_short 
54 0 AP890624-0098  741 2.56663 LMwDS_short 
54 0 AP890725-0071  742 2.56663 LMwDS_short 
54 0 AP890805-0046  743 2.56663 LMwDS_short 
54 0 AP890809-0048  744 2.56663 LMwDS_short 
54 0 AP890927-0023  745 2.56663 LMwDS_short 
54 0 AP890928-0192  746 2.56663 LMwDS_short 
54 0 AP891006-0246  747 2.56663 LMwDS_short 
54 0 AP891024-0011  748 2.56663 LMwDS_short 
54 0 AP891107-0304  749 2.56663 LMwDS_short 
54 0 AP891114-0253  750 2.56663 LMwDS_short 
54 0 AP891117-0260  751 2.56663 LMwDS_short 
54 0 AP891121-0246  752 2.56663 LMwDS_short 
54 0 AP891129-0271  753 2.56663 LMwDS_short 
54 0 AP891208-0248  754 2.56663 LMwDS_short 
54 0 AP891228-0176  755 2.56663 LMwDS_short 
54 0 AP891229-0207  756 2.56663 LMwDS_short 
54 0 AP890427-0198  757 2.54200 LMwDS_short 
54 0 AP890502-0136  758 2.54200 LMwDS_short 
54 0 AP890522-0030  759 2.54200 LMwDS_short 
54 0 AP890820-0043  760 2.54200 LMwDS_short 
54 0 AP890906-0151  761 2.54200 LMwDS_short 
54 0 AP891007-0014  762 2.54200 LMwDS_short 
54 0 AP891016-0183  763 2.54200 LMwDS_short 
54 0 AP890103-0084  764 2.54046 LMwDS_short 
54 0 AP890130-0189  765 2.54046 LMwDS_short 
54 0 AP890214-0167  766 2.54046 LMwDS_short 
54 0 AP890216-0285  767 2.54046 LMwDS_short 
54 0 AP890314-0130  768 2.54046 LMwDS_short 
54 0 AP890327-0179  769 2.54046 LMwDS_short 
54 0 AP890327-0198  770 2.54046 LMwDS_short 
54 0 AP890417-0214  771 2.54046 LMwDS_short 
54 0 AP890429-0083  772 2.54046 LMwDS_short 
54 0 AP890502-0063  773 2.54046 LMwDS_short 
54 0 AP890508-0102  774 2.54046 LMwDS_short 
54 0 AP890523-0102  775 2.54046 LMwDS_short 
54 0 AP890613-0066  776 2.54046 LMwDS_short 
54 0 AP890705-0086  777 2.54046 LMwDS_short 
54 0 AP890716-0040  778 2.54046 LMwDS_short 
54 0 AP890726-0282  779 2.54046 LMwDS_short 
54 0 AP890809-0051  780 2.54046 LMwDS_short 
54 0 AP890826-0140  781 2.54046 LMwDS_short 
54 0 AP890829-0169  782 2.54046 LMwDS_short 
54 0 AP890906-0046  783 2.54046 LMwDS_short 
54 0 AP890919-0034  784 2.54046 LMwDS_short 
54 0 AP890920-0152  785 2.54046 LMwDS_short 
54 0 AP890927-0189  786 2.54046 LMwDS_short 
54 0 AP891020-0083  787 2.54046 LMwDS_short 
54 0 AP891121-0082  788 2.54046 LMwDS_short 
54 0 AP891213-0186  789 2.54046 LMwDS_short 
54 0 AP891219-0016  790 2.54046 LMwDS_short 
54 0 AP891223-0080  791 2.54046 LMwDS_short 
54 0 AP890104-0073  792 2.48822 LMwDS_short 
54 0 AP890107-0095  793 2.48822 LMwDS_short 
54 0 AP890110-0276  794 2.48822 LMwDS_short 
54 0 AP890111-0125  795 2.48822 LMwDS_short 
54 0 AP890119-0348  796 2.48822 LMwDS_short 
54 0 AP890124-0022  797 2.48822 LMwDS_short 
54 0 AP890130-0184  798 2.48822 LMwDS_short 
54 0 AP890201-0231  799 2.48822 LMwDS_short 
54 0 AP890307-0119  800 2.48822 LMwDS_short 
54 0 AP890307-0225  801 2.48822 LMwDS_short 
54 0 AP890309-0279  802 2.48822 LMwDS_short 
54 0 AP890414-0245  803 2.48822 LMwDS_short 
54 0 AP890512-0047  804 2.48822 LMwDS_short 
54 0 AP890602-0137  805 2.48822 LMwDS_short 
54 0 AP891018-0245  806 2.48822 LMwDS_short 
54 0 AP891103-0248  807 2.48822 LMwDS_short 
54 0 AP890306-0218  808 2.46359 LMwDS_short 
54 0 AP890505-0039  809 2.46359 LMwDS_short 
54 0 AP890508-0003  810 2.46359 LMwDS_short 
54 0 AP890906-0085  811 2.46359 LMwDS_short 
54 0 AP890914-0212  812 2.46359 LMwDS_short 
54 0 AP890920-0004  813 2.46359 LMwDS_short 
54 0 AP891010-0204  814 2.46359 LMwDS_short 
54 0 AP890130-0077  815 2.46205 LMwDS_short 
54 0 AP890315-0271  816 2.46205 LMwDS_short 
54 0 AP890316-0060  817 2.46205 LMwDS_short 
54 0 AP890409-0081  818 2.46205 LMwDS_short 
54 0 AP890414-0016  819 2.46205 LMwDS_short 
54 0 AP890501-0111  820 2.46205 LMwDS_short 
54 0 AP890523-0196  821 2.46205 LMwDS_short 
54 0 AP890526-0208  822 2.46205 LMwDS_short 
54 0 AP890603-0118  823 2.46205 LMwDS_short 
54 0 AP890709-0027  824 2.46205 LMwDS_short 
54 0 AP890811-0069  825 2.46205 LMwDS_short 
54 0 AP890812-0099  826 2.46205 LMwDS_short 
54 0 AP890928-0121  827 2.46205 LMwDS_short 
54 0 AP891010-0227  828 2.46205 LMwDS_short 
54 0 AP891019-0236  829 2.46205 LMwDS_short 
54 0 AP891103-0226  830 2.46205 LMwDS_short 
54 0 AP891120-0099  831 2.46205 LMwDS_short 
54 0 AP891124-0175  832 2.46205 LMwDS_short 
54 0 AP891207-0196  833 2.46205 LMwDS_short 
54 0 AP891214-0201  834 2.46205 LMwDS_short 
54 0 AP890404-0059  835 2.35822 LMwDS_short 
54 0 AP890105-0171  836 2.34166 LMwDS_short 
54 0 AP890105-0253  837 2.34166 LMwDS_short 
54 0 AP890829-0216  838 2.34166 LMwDS_short 
54 0 AP891108-0275  839 2.34166 LMwDS_short 
54 0 AP891026-0073  840 2.34161 LMwDS_short 
54 0 AP890430-0091  841 2.33359 LMwDS_short 
54 0 AP890608-0203  842 2.33359 LMwDS_short 
54 0 AP891017-0206  843 2.33359 LMwDS_short 
54 0 AP890706-0186  844 2.33217 LMwDS_short 
54 0 AP890929-0141  845 2.33217 LMwDS_short 
54 0 AP891122-0219  846 2.33217 LMwDS_short 
54 0 AP891213-0238  847 2.33205 LMwDS_short 
54 0 AP890118-0294  848 2.31825 LMwDS_short 
54 0 AP890512-0203  849 2.31825 LMwDS_short 
54 0 AP890516-0087  850 2.31825 LMwDS_short 
54 0 AP890526-0259  851 2.31825 LMwDS_short 
54 0 AP890528-0011  852 2.31825 LMwDS_short 
54 0 AP890606-0063  853 2.31825 LMwDS_short 
54 0 AP890713-0255  854 2.31825 LMwDS_short 
54 0 AP890804-0176  855 2.31825 LMwDS_short 
54 0 AP890811-0236  856 2.31825 LMwDS_short 
54 0 AP890814-0245  857 2.31825 LMwDS_short 
54 0 AP890822-0244  858 2.31825 LMwDS_short 
54 0 AP890829-0243  859 2.31825 LMwDS_short 
54 0 AP891013-0172  860 2.31825 LMwDS_short 
54 0 AP891020-0310  861 2.31825 LMwDS_short 
54 0 AP891024-0272  862 2.31825 LMwDS_short 
54 0 AP891107-0302  863 2.31825 LMwDS_short 
54 0 AP891129-0246  864 2.31825 LMwDS_short 
54 0 AP891222-0273  865 2.31825 LMwDS_short 
54 0 AP891229-0022  866 2.31825 LMwDS_short 
54 0 AP891229-0200  867 2.31825 LMwDS_short 
54 0 AP891114-0084  868 2.31778 LMwDS_short 
54 0 AP890315-0148  869 2.29438 LMwDS_short 
54 0 AP890324-0096  870 2.29438 LMwDS_short 
54 0 AP890412-0077  871 2.29438 LMwDS_short 
54 0 AP890904-0100  872 2.29438 LMwDS_short 
54 0 AP890118-0253  873 2.27654 LMwDS_short 
54 0 AP890207-0148  874 2.27654 LMwDS_short 
54 0 AP890216-0201  875 2.27654 LMwDS_short 
54 0 AP890308-0262  876 2.27654 LMwDS_short 
54 0 AP890323-0093  877 2.27654 LMwDS_short 
54 0 AP890406-0153  878 2.27654 LMwDS_short 
54 0 AP890413-0052  879 2.27654 LMwDS_short 
54 0 AP890414-0094  880 2.27654 LMwDS_short 
54 0 AP890421-0082  881 2.27654 LMwDS_short 
54 0 AP890422-0139  882 2.27654 LMwDS_short 
54 0 AP890426-0287  883 2.27654 LMwDS_short 
54 0 AP890427-0296  884 2.27654 LMwDS_short 
54 0 AP890502-0251  885 2.27654 LMwDS_short 
54 0 AP890504-0283  886 2.27654 LMwDS_short 
54 0 AP890508-0278  887 2.27654 LMwDS_short 
54 0 AP890509-0192  888 2.27654 LMwDS_short 
54 0 AP890512-0277  889 2.27654 LMwDS_short 
54 0 AP890522-0345  890 2.27654 LMwDS_short 
54 0 AP890525-0058  891 2.27654 LMwDS_short 
54 0 AP890530-0252  892 2.27654 LMwDS_short 
54 0 AP890612-0292  893 2.27654 LMwDS_short 
54 0 AP890613-0244  894 2.27654 LMwDS_short 
54 0 AP890614-0264  895 2.27654 LMwDS_short 
54 0 AP890615-0286  896 2.27654 LMwDS_short 
54 0 AP890622-0324  897 2.27654 LMwDS_short 
54 0 AP890624-0027  898 2.27654 LMwDS_short 
54 0 AP890627-0235  899 2.27654 LMwDS_short 
54 0 AP890627-0258  900 2.27654 LMwDS_short 
54 0 AP890629-0248  901 2.27654 LMwDS_short 
54 0 AP890630-0289  902 2.27654 LMwDS_short 
54 0 AP890710-0098  903 2.27654 LMwDS_short 
54 0 AP890712-0274  904 2.27654 LMwDS_short 
54 0 AP890713-0040  905 2.27654 LMwDS_short 
54 0 AP890713-0294  906 2.27654 LMwDS_short 
54 0 AP890720-0269  907 2.27654 LMwDS_short 
54 0 AP890724-0256  908 2.27654 LMwDS_short 
54 0 AP890727-0289  909 2.27654 LMwDS_short 
54 0 AP890802-0284  910 2.27654 LMwDS_short 
54 0 AP890803-0273  911 2.27654 LMwDS_short 
54 0 AP890809-0290  912 2.27654 LMwDS_short 
54 0 AP890817-0208  913 2.27654 LMwDS_short 
54 0 AP890829-0219  914 2.27654 LMwDS_short 
54 0 AP890829-0247  915 2.27654 LMwDS_short 
54 0 AP890830-0276  916 2.27654 LMwDS_short 
54 0 AP890905-0229  917 2.27654 LMwDS_short 
54 0 AP890906-0291  918 2.27654 LMwDS_short 
54 0 AP890907-0261  919 2.27654 LMwDS_short 
54 0 AP890907-0286  920 2.27654 LMwDS_short 
54 0 AP890911-0058  921 2.27654 LMwDS_short 
54 0 AP890914-0176  922 2.27654 LMwDS_short 
54 0 AP890917-0069  923 2.27654 LMwDS_short 
54 0 AP890921-0266  924 2.27654 LMwDS_short 
54 0 AP891012-0307  925 2.27654 LMwDS_short 
54 0 AP891023-0257  926 2.27654 LMwDS_short 
54 0 AP891024-0255  927 2.27654 LMwDS_short 
54 0 AP891030-0205  928 2.27654 LMwDS_short 
54 0 AP891107-0127  929 2.27654 LMwDS_short 
54 0 AP891116-0065  930 2.27654 LMwDS_short 
54 0 AP891117-0146  931 2.27654 LMwDS_short 
54 0 AP891120-0209  932 2.27654 LMwDS_short 
54 0 AP891126-0084  933 2.27654 LMwDS_short 
54 0 AP891127-0269  934 2.27654 LMwDS_short 
54 0 AP891130-0066  935 2.27654 LMwDS_short 
54 0 AP891201-0142  936 2.27654 LMwDS_short 
54 0 AP891202-0017  937 2.27654 LMwDS_short 
54 0 AP891206-0207  938 2.27654 LMwDS_short 
54 0 AP891208-0279  939 2.27654 LMwDS_short 
54 0 AP891211-0243  940 2.27654 LMwDS_short 
54 0 AP891212-0257  941 2.27654 LMwDS_short 
54 0 AP890120-0284  942 2.25267 LMwDS_short 
54 0 AP890126-0109  943 2.25267 LMwDS_short 
54 0 AP890215-0163  944 2.25267 LMwDS_short 
54 0 AP890306-0288  945 2.25267 LMwDS_short 
54 0 AP890315-0289  946 2.25267 LMwDS_short 
54 0 AP890317-0084  947 2.25267 LMwDS_short 
54 0 AP890426-0003  948 2.25267 LMwDS_short 
54 0 AP890609-0270  949 2.25267 LMwDS_short 
54 0 AP890613-0112  950 2.25267 LMwDS_short 
54 0 AP890719-0120  951 2.25267 LMwDS_short 
54 0 AP890816-0039  952 2.25267 LMwDS_short 
54 0 AP890829-0109  953 2.25267 LMwDS_short 
54 0 AP890917-0054  954 2.25267 LMwDS_short 
54 0 AP891017-0021  955 2.25267 LMwDS_short 
54 0 AP891123-0002  956 2.25267 LMwDS_short 
54 0 AP891125-0094  957 2.25267 LMwDS_short 
54 0 AP890119-0181  958 2.24239 LMwDS_short 
54 0 AP890124-0241  959 2.24239 LMwDS_short 
54 0 AP890130-0015  960 2.24239 LMwDS_short 
54 0 AP890204-0013  961 2.24239 LMwDS_short 
54 0 AP890223-0287  962 2.24239 LMwDS_short 
54 0 AP890311-0134  963 2.24239 LMwDS_short 
54 0 AP890323-0151  964 2.24239 LMwDS_short 
54 0 AP890413-0160  965 2.24239 LMwDS_short 
54 0 AP890420-0273  966 2.24239 LMwDS_short 
54 0 AP890424-0301  967 2.24239 LMwDS_short 
54 0 AP890425-0058  968 2.24239 LMwDS_short 
54 0 AP890505-0287  969 2.24239 LMwDS_short 
54 0 AP890508-0287  970 2.24239 LMwDS_short 
54 0 AP890509-0022  971 2.24239 LMwDS_short 
54 0 AP890515-0268  972 2.24239 LMwDS_short 
54 0 AP890523-0038  973 2.24239 LMwDS_short 
54 0 AP890531-0186  974 2.24239 LMwDS_short 
54 0 AP890616-0189  975 2.24239 LMwDS_short 
54 0 AP890619-0118  976 2.24239 LMwDS_short 
54 0 AP890620-0157  977 2.24239 LMwDS_short 
54 0 AP890622-0111  978 2.24239 LMwDS_short 
54 0 AP890718-0061  979 2.24239 LMwDS_short 
54 0 AP890720-0120  980 2.24239 LMwDS_short 
54 0 AP890725-0200  981 2.24239 LMwDS_short 
54 0 AP890727-0106  982 2.24239 LMwDS_short 
54 0 AP890731-0121  983 2.24239 LMwDS_short 
54 0 AP890806-0011  984 2.24239 LMwDS_short 
54 0 AP890809-0286  985 2.24239 LMwDS_short 
54 0 AP890926-0251  986 2.24239 LMwDS_short 
54 0 AP890926-0282  987 2.24239 LMwDS_short 
54 0 AP891006-0285  988 2.24239 LMwDS_short 
54 0 AP891013-0189  989 2.24239 LMwDS_short 
54 0 AP891023-0144  990 2.24239 LMwDS_short 
54 0 AP891031-0055  991 2.24239 LMwDS_short 
54 0 AP891115-0062  992 2.24239 LMwDS_short 
54 0 AP891118-0001  993 2.24239 LMwDS_short 
54 0 AP891118-0058  994 2.24239 LMwDS_short 
54 0 AP891121-0250  995 2.24239 LMwDS_short 
54 0 AP891128-0199  996 2.24239 LMwDS_short 
54 0 AP891204-0073  997 2.24239 LMwDS_short 
54 0 AP891210-0002  998 2.24239 LMwDS_short 
54 0 AP891214-0123  999 2.24239 LMwDS_short 
54 0 AP891227-0012 1000 2.24239 LMwDS_short 
55 0 AP890711-0218    1 7.12395 LMwDS_short 
55 0 AP890217-0193    2 6.87636 LMwDS_short 
55 0 AP890406-0272    3 6.73625 LMwDS_short 
55 0 AP890131-0245    4 6.70199 LMwDS_short 
55 0 AP890218-0084    5 6.64627 LMwDS_short 
55 0 AP891108-0271    6 6.62668 LMwDS_short 
55 0 AP890202-0252    7 6.47857 LMwDS_short 
55 0 AP891102-0064    8 6.11239 LMwDS_short 
55 0 AP891109-0248    9 6.06565 LMwDS_short 
55 0 AP890310-0321   10 6.01153 LMwDS_short 
55 0 AP890304-0043   11 5.99623 LMwDS_short 
55 0 AP891108-0270   12 5.98510 LMwDS_short 
55 0 AP890619-0292   13 5.93466 LMwDS_short 
55 0 AP890123-0314   14 5.92448 LMwDS_short 
55 0 AP890901-0193   15 5.92448 LMwDS_short 
55 0 AP891102-0283   16 5.77566 LMwDS_short 
55 0 AP890201-0275   17 5.76408 LMwDS_short 
55 0 AP890120-0166   18 5.70737 LMwDS_short 
55 0 AP890311-0157   19 5.64121 LMwDS_short 
55 0 AP890201-0248   20 5.64107 LMwDS_short 
55 0 AP890818-0181   21 5.63414 LMwDS_short 
55 0 AP890803-0054   22 5.60841 LMwDS_short 
55 0 AP890510-0275   23 5.60650 LMwDS_short 
55 0 AP890621-0273   24 5.60650 LMwDS_short 
55 0 AP890720-0241   25 5.60650 LMwDS_short 
55 0 AP891102-0118   26 5.60073 LMwDS_short 
55 0 AP891103-0251   27 5.60073 LMwDS_short 
55 0 AP890121-0037   28 5.54816 LMwDS_short 
55 0 AP890518-0261   29 5.50755 LMwDS_short 
55 0 AP890823-0207   30 5.50755 LMwDS_short 
55 0 AP891117-0220   31 5.49225 LMwDS_short 
55 0 AP890122-0037   32 5.48102 LMwDS_short 
55 0 AP890125-0256   33 5.44969 LMwDS_short 
55 0 AP890901-0198   34 5.42396 LMwDS_short 
55 0 AP890309-0241   35 5.40091 LMwDS_short 
55 0 AP890502-0244   36 5.40091 LMwDS_short 
55 0 AP890216-0194   37 5.38016 LMwDS_short 
55 0 AP890222-0251   38 5.35073 LMwDS_short 
55 0 AP890323-0271   39 5.35073 LMwDS_short 
55 0 AP890203-0275   40 5.32310 LMwDS_short 
55 0 AP890905-0166   41 5.32310 LMwDS_short 
55 0 AP890906-0282   42 5.32310 LMwDS_short 
55 0 AP890519-0266   43 5.26624 LMwDS_short 
55 0 AP890328-0224   44 5.26591 LMwDS_short 
55 0 AP890512-0279   45 5.26591 LMwDS_short 
55 0 AP891221-0272   46 5.26591 LMwDS_short 
55 0 AP890307-0165   47 5.25627 LMwDS_short 
55 0 AP890808-0189   48 5.24410 LMwDS_short 
55 0 AP890731-0221   49 5.24179 LMwDS_short 
55 0 AP890913-0172   50 5.24179 LMwDS_short 
55 0 AP890914-0022   51 5.22138 LMwDS_short 
55 0 AP890819-0156   52 5.16628 LMwDS_short 
55 0 AP890831-0242   53 5.16628 LMwDS_short 
55 0 AP891227-0015   54 5.16628 LMwDS_short 
55 0 AP890706-0244   55 5.09675 LMwDS_short 
55 0 AP890830-0279   56 5.09675 LMwDS_short 
55 0 AP891226-0093   57 5.09675 LMwDS_short 
55 0 AP890309-0271   58 5.02698 LMwDS_short 
55 0 AP890906-0297   59 5.02698 LMwDS_short 
55 0 AP891010-0277   60 5.02698 LMwDS_short 
55 0 AP890320-0321   61 4.97286 LMwDS_short 
55 0 AP890414-0119   62 4.93993 LMwDS_short 
55 0 AP890511-0228   63 4.93993 LMwDS_short 
55 0 AP890131-0266   64 4.92612 LMwDS_short 
55 0 AP890906-0249   65 4.92612 LMwDS_short 
55 0 AP891002-0340   66 4.92612 LMwDS_short 
55 0 AP890608-0263   67 4.90628 LMwDS_short 
55 0 AP890511-0244   68 4.90197 LMwDS_short 
55 0 AP890803-0052   69 4.89662 LMwDS_short 
55 0 AP890803-0325   70 4.86893 LMwDS_short 
55 0 AP891108-0272   71 4.84943 LMwDS_short 
55 0 AP890318-0131   72 4.80370 LMwDS_short 
55 0 AP890427-0288   73 4.80370 LMwDS_short 
55 0 AP890914-0099   74 4.80064 LMwDS_short 
55 0 AP890201-0249   75 4.76931 LMwDS_short 
55 0 AP890817-0200   76 4.76931 LMwDS_short 
55 0 AP890823-0243   77 4.76931 LMwDS_short 
55 0 AP890214-0249   78 4.73282 LMwDS_short 
55 0 AP891030-0277   79 4.73282 LMwDS_short 
55 0 AP890126-0153   80 4.69978 LMwDS_short 
55 0 AP890131-0144   81 4.69978 LMwDS_short 
55 0 AP890630-0066   82 4.69978 LMwDS_short 
55 0 AP890908-0218   83 4.69978 LMwDS_short 
55 0 AP891213-0279   84 4.69978 LMwDS_short 
55 0 AP890218-0068   85 4.69901 LMwDS_short 
55 0 AP891222-0295   86 4.67993 LMwDS_short 
55 0 AP891218-0284   87 4.65931 LMwDS_short 
55 0 AP890111-0042   88 4.64689 LMwDS_short 
55 0 AP890203-0206   89 4.64689 LMwDS_short 
55 0 AP890217-0189   90 4.64689 LMwDS_short 
55 0 AP890420-0239   91 4.59815 LMwDS_short 
55 0 AP890912-0231   92 4.57600 LMwDS_short 
55 0 AP891116-0214   93 4.57600 LMwDS_short 
55 0 AP890127-0278   94 4.57589 LMwDS_short 
55 0 AP890725-0256   95 4.57589 LMwDS_short 
55 0 AP890906-0182   96 4.57589 LMwDS_short 
55 0 AP891115-0268   97 4.57589 LMwDS_short 
55 0 AP891226-0076   98 4.57589 LMwDS_short 
55 0 AP890302-0264   99 4.54296 LMwDS_short 
55 0 AP890413-0227  100 4.54296 LMwDS_short 
55 0 AP890601-0369  101 4.54296 LMwDS_short 
55 0 AP890620-0265  102 4.54296 LMwDS_short 
55 0 AP890902-0167  103 4.54296 LMwDS_short 
55 0 AP890626-0283  104 4.51060 LMwDS_short 
55 0 AP890106-0220  105 4.50759 LMwDS_short 
55 0 AP890330-0204  106 4.50759 LMwDS_short 
55 0 AP890504-0133  107 4.50759 LMwDS_short 
55 0 AP890510-0253  108 4.50759 LMwDS_short 
55 0 AP890518-0072  109 4.50759 LMwDS_short 
55 0 AP890605-0168  110 4.50759 LMwDS_short 
55 0 AP890719-0269  111 4.50759 LMwDS_short 
55 0 AP890720-0291  112 4.50759 LMwDS_short 
55 0 AP891208-0033  113 4.50759 LMwDS_short 
55 0 AP890121-0118  114 4.44248 LMwDS_short 
55 0 AP890725-0250  115 4.44248 LMwDS_short 
55 0 AP891219-0189  116 4.44248 LMwDS_short 
55 0 AP890330-0202  117 4.44133 LMwDS_short 
55 0 AP890719-0268  118 4.44133 LMwDS_short 
55 0 AP891102-0058  119 4.42719 LMwDS_short 
55 0 AP891102-0266  120 4.42719 LMwDS_short 
55 0 AP890111-0238  121 4.40673 LMwDS_short 
55 0 AP890112-0122  122 4.40673 LMwDS_short 
55 0 AP890113-0239  123 4.40673 LMwDS_short 
55 0 AP890124-0233  124 4.40673 LMwDS_short 
55 0 AP890201-0254  125 4.40673 LMwDS_short 
55 0 AP890320-0283  126 4.40673 LMwDS_short 
55 0 AP890329-0214  127 4.40673 LMwDS_short 
55 0 AP890907-0240  128 4.40673 LMwDS_short 
55 0 AP891116-0007  129 4.40673 LMwDS_short 
55 0 AP890922-0261  130 4.35889 LMwDS_short 
55 0 AP890808-0186  131 4.28566 LMwDS_short 
55 0 AP891102-0291  132 4.25803 LMwDS_short 
55 0 AP890111-0274  133 4.24992 LMwDS_short 
55 0 AP890225-0055  134 4.24992 LMwDS_short 
55 0 AP890323-0239  135 4.24992 LMwDS_short 
55 0 AP890330-0207  136 4.24992 LMwDS_short 
55 0 AP890330-0238  137 4.24992 LMwDS_short 
55 0 AP890412-0284  138 4.24992 LMwDS_short 
55 0 AP890414-0280  139 4.24992 LMwDS_short 
55 0 AP890428-0243  140 4.24992 LMwDS_short 
55 0 AP890612-0257  141 4.24992 LMwDS_short 
55 0 AP890615-0297  142 4.24992 LMwDS_short 
55 0 AP890616-0192  143 4.24992 LMwDS_short 
55 0 AP890622-0321  144 4.24992 LMwDS_short 
55 0 AP890707-0208  145 4.24992 LMwDS_short 
55 0 AP890711-0210  146 4.24992 LMwDS_short 
55 0 AP890912-0229  147 4.24992 LMwDS_short 
55 0 AP891227-0152  148 4.24992 LMwDS_short 
55 0 AP890901-0047  149 4.20084 LMwDS_short 
55 0 AP891102-0259  150 4.20084 LMwDS_short 
55 0 AP890217-0185  151 4.15961 LMwDS_short 
55 0 AP890426-0241  152 4.15961 LMwDS_short 
55 0 AP890628-0192  153 4.13254 LMwDS_short 
55 0 AP890913-0258  154 4.10121 LMwDS_short 
