51 0 AP890908-0222    1 10.20738 LMwJMS_short 
64 0 AP890815-0148  165 4.49283 LMwJMS_short 
64 0 AP891101-0004  166 4.49283 LMwJMS_short 
64 0 AP890117-0177  167 4.48501 LMwJMS_short 
64 0 AP890418-0188  168 4.48501 LMwJMS_short 
64 0 AP890908-0052  169 4.48501 LMwJMS_short 
64 0 AP890801-0114  170 4.44697 LMwJMS_short 
64 0 AP891102-0006  171 4.44697 LMwJMS_short 
64 0 AP890104-0017  172 4.28460 LMwJMS_short 
64 0 AP890105-0007  173 4.28460 LMwJMS_short 
64 0 AP890220-0057  174 4.28460 LMwJMS_short 
64 0 AP890314-0161  175 4.28460 LMwJMS_short 
64 0 AP890411-0068  176 4.28460 LMwJMS_short 
64 0 AP890411-0127  177 4.28460 LMwJMS_short 
64 0 AP890530-0037  178 4.28460 LMwJMS_short 
64 0 AP890713-0125  179 4.28460 LMwJMS_short 
64 0 AP890807-0076  180 4.28460 LMwJMS_short 
64 0 AP890830-0130  181 4.28460 LMwJMS_short 
64 0 AP891005-0103  182 4.28460 LMwJMS_short 
64 0 AP891017-0188  183 4.28460 LMwJMS_short 
64 0 AP891114-0072  184 4.28460 LMwJMS_short 
64 0 AP891127-0062  185 4.28460 LMwJMS_short 
64 0 AP890801-0110  186 4.27029 LMwJMS_short 
64 0 AP890803-0228  187 4.27029 LMwJMS_short 
64 0 AP890110-0219  188 4.26468 LMwJMS_short 
64 0 AP890119-0214  189 4.26468 LMwJMS_short 
64 0 AP890120-0177  190 4.26468 LMwJMS_short 
64 0 AP890127-0177  191 4.26468 LMwJMS_short 
64 0 AP890314-0068  192 4.26468 LMwJMS_short 
64 0 AP890708-0129  193 4.26468 LMwJMS_short 
64 0 AP890815-0097  194 4.26468 LMwJMS_short 
64 0 AP890816-0144  195 4.26468 LMwJMS_short 
64 0 AP890829-0131  196 4.26468 LMwJMS_short 
64 0 AP890908-0149  197 4.26468 LMwJMS_short 
64 0 AP890108-0056  198 4.24435 LMwJMS_short 
64 0 AP890116-0066  199 4.24435 LMwJMS_short 
64 0 AP890323-0091  200 4.24435 LMwJMS_short 
64 0 AP890411-0134  201 4.24435 LMwJMS_short 
64 0 AP890504-0225  202 4.24435 LMwJMS_short 
64 0 AP890519-0080  203 4.24435 LMwJMS_short 
64 0 AP890806-0010  204 4.24435 LMwJMS_short 
64 0 AP890809-0124  205 4.24435 LMwJMS_short 
64 0 AP891028-0053  206 4.24435 LMwJMS_short 
64 0 AP891109-0166  207 4.24435 LMwJMS_short 
64 0 AP890327-0183  208 4.18077 LMwJMS_short 
64 0 AP890801-0152  209 4.18077 LMwJMS_short 
64 0 AP890812-0082  210 4.18077 LMwJMS_short 
64 0 AP890802-0050  211 4.15304 LMwJMS_short 
64 0 AP890804-0017  212 4.15304 LMwJMS_short 
64 0 AP890908-0124  213 4.15304 LMwJMS_short 
64 0 AP890119-0148  214 4.10517 LMwJMS_short 
64 0 AP890224-0109  215 4.10517 LMwJMS_short 
64 0 AP890315-0031  216 4.10517 LMwJMS_short 
64 0 AP890406-0087  217 4.10517 LMwJMS_short 
64 0 AP890511-0169  218 4.10517 LMwJMS_short 
64 0 AP890517-0124  219 4.10517 LMwJMS_short 
64 0 AP890801-0207  220 4.10517 LMwJMS_short 
64 0 AP890804-0073  221 4.10517 LMwJMS_short 
64 0 AP890821-0135  222 4.10517 LMwJMS_short 
64 0 AP890919-0037  223 4.10517 LMwJMS_short 
64 0 AP890929-0001  224 4.10517 LMwJMS_short 
64 0 AP890113-0232  225 4.06166 LMwJMS_short 
64 0 AP890114-0110  226 4.06166 LMwJMS_short 
64 0 AP890125-0148  227 4.06166 LMwJMS_short 
64 0 AP890211-0166  228 4.06166 LMwJMS_short 
64 0 AP890220-0091  229 4.06166 LMwJMS_short 
64 0 AP890310-0162  230 4.06166 LMwJMS_short 
64 0 AP890324-0165  231 4.06166 LMwJMS_short 
64 0 AP890330-0064  232 4.06166 LMwJMS_short 
64 0 AP890417-0167  233 4.06166 LMwJMS_short 
64 0 AP890421-0231  234 4.06166 LMwJMS_short 
64 0 AP890428-0066  235 4.06166 LMwJMS_short 
64 0 AP890504-0170  236 4.06166 LMwJMS_short 
64 0 AP890515-0175  237 4.06166 LMwJMS_short 
64 0 AP890722-0143  238 4.06166 LMwJMS_short 
64 0 AP890731-0143  239 4.06166 LMwJMS_short 
64 0 AP890811-0097  240 4.06166 LMwJMS_short 
64 0 AP890821-0064  241 4.06166 LMwJMS_short 
64 0 AP890912-0014  242 4.06166 LMwJMS_short 
64 0 AP890920-0085  243 4.06166 LMwJMS_short 
64 0 AP890920-0091  244 4.06166 LMwJMS_short 
64 0 AP891009-0047  245 4.06166 LMwJMS_short 
64 0 AP891018-0046  246 4.06166 LMwJMS_short 
64 0 AP891107-0082  247 4.06166 LMwJMS_short 
64 0 AP891113-0196  248 4.06166 LMwJMS_short 
64 0 AP891226-0159  249 4.06166 LMwJMS_short 
64 0 AP890801-0074  250 4.05555 LMwJMS_short 
64 0 AP890116-0174  251 4.00150 LMwJMS_short 
64 0 AP890126-0074  252 4.00150 LMwJMS_short 
64 0 AP890808-0059  253 4.00150 LMwJMS_short 
64 0 AP890808-0113  254 4.00150 LMwJMS_short 
64 0 AP890918-0171  255 4.00150 LMwJMS_short 
64 0 AP890803-0200  256 3.98744 LMwJMS_short 
64 0 AP890814-0017  257 3.98744 LMwJMS_short 
64 0 AP891122-0164  258 3.98744 LMwJMS_short 
64 0 AP891221-0145  259 3.98744 LMwJMS_short 
64 0 AP891223-0129  260 3.98744 LMwJMS_short 
64 0 AP890101-0034  261 3.98167 LMwJMS_short 
64 0 AP890208-0188  262 3.98167 LMwJMS_short 
64 0 AP890214-0131  263 3.98167 LMwJMS_short 
64 0 AP890313-0102  264 3.98167 LMwJMS_short 
64 0 AP890315-0173  265 3.98167 LMwJMS_short 
64 0 AP890320-0212  266 3.98167 LMwJMS_short 
64 0 AP890508-0083  267 3.98167 LMwJMS_short 
64 0 AP890530-0134  268 3.98167 LMwJMS_short 
64 0 AP890603-0142  269 3.98167 LMwJMS_short 
64 0 AP890719-0016  270 3.98167 LMwJMS_short 
64 0 AP890801-0198  271 3.98167 LMwJMS_short 
64 0 AP890804-0012  272 3.98167 LMwJMS_short 
64 0 AP890805-0089  273 3.98167 LMwJMS_short 
64 0 AP890810-0041  274 3.98167 LMwJMS_short 
64 0 AP890818-0051  275 3.98167 LMwJMS_short 
64 0 AP891006-0057  276 3.98167 LMwJMS_short 
64 0 AP891006-0105  277 3.98167 LMwJMS_short 
64 0 AP891110-0151  278 3.98167 LMwJMS_short 
64 0 AP890118-0216  279 3.96144 LMwJMS_short 
64 0 AP890125-0181  280 3.96144 LMwJMS_short 
64 0 AP890318-0069  281 3.96144 LMwJMS_short 
64 0 AP890318-0075  282 3.96144 LMwJMS_short 
64 0 AP890520-0079  283 3.96144 LMwJMS_short 
64 0 AP890614-0085  284 3.96144 LMwJMS_short 
64 0 AP890705-0146  285 3.96144 LMwJMS_short 
64 0 AP890802-0060  286 3.96144 LMwJMS_short 
64 0 AP890802-0066  287 3.96144 LMwJMS_short 
64 0 AP890803-0053  288 3.96144 LMwJMS_short 
64 0 AP890804-0047  289 3.96144 LMwJMS_short 
64 0 AP890806-0021  290 3.96144 LMwJMS_short 
64 0 AP890815-0068  291 3.96144 LMwJMS_short 
64 0 AP890818-0131  292 3.96144 LMwJMS_short 
64 0 AP890823-0059  293 3.96144 LMwJMS_short 
64 0 AP890911-0025  294 3.96144 LMwJMS_short 
64 0 AP890915-0105  295 3.96144 LMwJMS_short 
64 0 AP891006-0192  296 3.96144 LMwJMS_short 
64 0 AP891019-0226  297 3.96144 LMwJMS_short 
64 0 AP891026-0045  298 3.96144 LMwJMS_short 
64 0 AP891028-0131  299 3.96144 LMwJMS_short 
64 0 AP891113-0135  300 3.96144 LMwJMS_short 
64 0 AP891212-0191  301 3.96144 LMwJMS_short 
64 0 AP891220-0193  302 3.96144 LMwJMS_short 
64 0 AP890119-0331  303 3.94979 LMwJMS_short 
64 0 AP891027-0057  304 3.86450 LMwJMS_short 
64 0 AP890206-0092  305 3.84604 LMwJMS_short 
64 0 AP890209-0141  306 3.84604 LMwJMS_short 
64 0 AP890324-0046  307 3.84604 LMwJMS_short 
64 0 AP890417-0182  308 3.84604 LMwJMS_short 
64 0 AP890424-0208  309 3.84604 LMwJMS_short 
64 0 AP890501-0159  310 3.84604 LMwJMS_short 
64 0 AP890522-0170  311 3.84604 LMwJMS_short 
64 0 AP890601-0082  312 3.84604 LMwJMS_short 
64 0 AP890616-0107  313 3.84604 LMwJMS_short 
64 0 AP890703-0097  314 3.84604 LMwJMS_short 
64 0 AP890707-0078  315 3.84604 LMwJMS_short 
64 0 AP890707-0171  316 3.84604 LMwJMS_short 
64 0 AP890730-0023  317 3.84604 LMwJMS_short 
64 0 AP890804-0004  318 3.84604 LMwJMS_short 
64 0 AP890805-0102  319 3.84604 LMwJMS_short 
64 0 AP890807-0067  320 3.84604 LMwJMS_short 
64 0 AP890807-0090  321 3.84604 LMwJMS_short 
64 0 AP890808-0093  322 3.84604 LMwJMS_short 
64 0 AP890808-0131  323 3.84604 LMwJMS_short 
64 0 AP890810-0127  324 3.84604 LMwJMS_short 
64 0 AP890815-0098  325 3.84604 LMwJMS_short 
64 0 AP890818-0084  326 3.84604 LMwJMS_short 
64 0 AP890910-0047  327 3.84604 LMwJMS_short 
64 0 AP891014-0014  328 3.84604 LMwJMS_short 
64 0 AP891022-0066  329 3.84604 LMwJMS_short 
64 0 AP891111-0131  330 3.84604 LMwJMS_short 
64 0 AP891214-0058  331 3.84604 LMwJMS_short 
64 0 AP891220-0112  332 3.84604 LMwJMS_short 
64 0 AP890314-0160  333 3.83441 LMwJMS_short 
64 0 AP890105-0060  334 3.82283 LMwJMS_short 
64 0 AP890206-0031  335 3.82283 LMwJMS_short 
64 0 AP890316-0007  336 3.82283 LMwJMS_short 
64 0 AP890408-0021  337 3.82283 LMwJMS_short 
64 0 AP890802-0108  338 3.82283 LMwJMS_short 
64 0 AP890803-0094  339 3.82283 LMwJMS_short 
64 0 AP890814-0181  340 3.82283 LMwJMS_short 
64 0 AP890121-0071  341 3.78172 LMwJMS_short 
64 0 AP890801-0008  342 3.78172 LMwJMS_short 
64 0 AP890802-0131  343 3.78172 LMwJMS_short 
64 0 AP890803-0131  344 3.78172 LMwJMS_short 
64 0 AP890803-0011  345 3.71555 LMwJMS_short 
64 0 AP891027-0231  346 3.71555 LMwJMS_short 
64 0 AP890104-0086  347 3.68008 LMwJMS_short 
64 0 AP890107-0108  348 3.68008 LMwJMS_short 
64 0 AP890204-0084  349 3.68008 LMwJMS_short 
64 0 AP890316-0032  350 3.68008 LMwJMS_short 
64 0 AP890329-0061  351 3.68008 LMwJMS_short 
64 0 AP890409-0008  352 3.68008 LMwJMS_short 
64 0 AP890506-0101  353 3.68008 LMwJMS_short 
64 0 AP890615-0156  354 3.68008 LMwJMS_short 
64 0 AP890729-0135  355 3.68008 LMwJMS_short 
64 0 AP890803-0309  356 3.68008 LMwJMS_short 
64 0 AP890805-0021  357 3.68008 LMwJMS_short 
64 0 AP890809-0059  358 3.68008 LMwJMS_short 
64 0 AP890809-0073  359 3.68008 LMwJMS_short 
64 0 AP890809-0085  360 3.68008 LMwJMS_short 
64 0 AP890815-0079  361 3.68008 LMwJMS_short 
64 0 AP891027-0134  362 3.68008 LMwJMS_short 
64 0 AP891103-0006  363 3.68008 LMwJMS_short 
64 0 AP891227-0116  364 3.68008 LMwJMS_short 
64 0 AP890109-0148  365 3.60514 LMwJMS_short 
64 0 AP890117-0108  366 3.60514 LMwJMS_short 
64 0 AP890117-0115  367 3.60514 LMwJMS_short 
64 0 AP890118-0105  368 3.60514 LMwJMS_short 
64 0 AP890123-0180  369 3.60514 LMwJMS_short 
64 0 AP890130-0176  370 3.60514 LMwJMS_short 
64 0 AP890205-0013  371 3.60514 LMwJMS_short 
64 0 AP890308-0118  372 3.60514 LMwJMS_short 
64 0 AP890325-0067  373 3.60514 LMwJMS_short 
64 0 AP890523-0101  374 3.60514 LMwJMS_short 
64 0 AP890612-0109  375 3.60514 LMwJMS_short 
64 0 AP890618-0047  376 3.60514 LMwJMS_short 
64 0 AP890727-0121  377 3.60514 LMwJMS_short 
64 0 AP890803-0165  378 3.60514 LMwJMS_short 
64 0 AP890806-0037  379 3.60514 LMwJMS_short 
64 0 AP890806-0047  380 3.60514 LMwJMS_short 
64 0 AP890807-0056  381 3.60514 LMwJMS_short 
64 0 AP890809-0115  382 3.60514 LMwJMS_short 
64 0 AP890813-0088  383 3.60514 LMwJMS_short 
64 0 AP890815-0122  384 3.60514 LMwJMS_short 
64 0 AP890823-0252  385 3.60514 LMwJMS_short 
64 0 AP890829-0099  386 3.60514 LMwJMS_short 
64 0 AP890906-0084  387 3.60514 LMwJMS_short 
64 0 AP890919-0124  388 3.60514 LMwJMS_short 
64 0 AP890928-0091  389 3.60514 LMwJMS_short 
64 0 AP891012-0091  390 3.60514 LMwJMS_short 
64 0 AP891101-0089  391 3.60514 LMwJMS_short 
64 0 AP891116-0069  392 3.60514 LMwJMS_short 
64 0 AP891119-0013  393 3.60514 LMwJMS_short 
64 0 AP891123-0143  394 3.60514 LMwJMS_short 
64 0 AP891124-0041  395 3.60514 LMwJMS_short 
64 0 AP891215-0013  396 3.60514 LMwJMS_short 
64 0 AP891222-0179  397 3.60514 LMwJMS_short 
64 0 AP891225-0111  398 3.60514 LMwJMS_short 
64 0 AP890401-0057  399 3.59359 LMwJMS_short 
64 0 AP890109-0249  400 3.58549 LMwJMS_short 
64 0 AP890121-0090  401 3.58549 LMwJMS_short 
64 0 AP890123-0190  402 3.58549 LMwJMS_short 
64 0 AP890124-0126  403 3.58549 LMwJMS_short 
64 0 AP890128-0122  404 3.58549 LMwJMS_short 
64 0 AP890228-0111  405 3.58549 LMwJMS_short 
64 0 AP890312-0068  406 3.58549 LMwJMS_short 
64 0 AP890316-0139  407 3.58549 LMwJMS_short 
64 0 AP890322-0150  408 3.58549 LMwJMS_short 
64 0 AP890502-0213  409 3.58549 LMwJMS_short 
64 0 AP890505-0107  410 3.58549 LMwJMS_short 
64 0 AP890505-0195  411 3.58549 LMwJMS_short 
64 0 AP890511-0141  412 3.58549 LMwJMS_short 
64 0 AP890515-0082  413 3.58549 LMwJMS_short 
64 0 AP890615-0081  414 3.58549 LMwJMS_short 
64 0 AP890618-0062  415 3.58549 LMwJMS_short 
64 0 AP890708-0049  416 3.58549 LMwJMS_short 
64 0 AP890731-0088  417 3.58549 LMwJMS_short 
64 0 AP890801-0104  418 3.58549 LMwJMS_short 
64 0 AP890802-0155  419 3.58549 LMwJMS_short 
64 0 AP890809-0071  420 3.58549 LMwJMS_short 
64 0 AP890809-0148  421 3.58549 LMwJMS_short 
64 0 AP890821-0043  422 3.58549 LMwJMS_short 
64 0 AP891003-0072  423 3.58549 LMwJMS_short 
64 0 AP891029-0041  424 3.58549 LMwJMS_short 
64 0 AP891030-0204  425 3.58549 LMwJMS_short 
64 0 AP891204-0091  426 3.58549 LMwJMS_short 
64 0 AP891222-0089  427 3.58549 LMwJMS_short 
64 0 AP891230-0106  428 3.58549 LMwJMS_short 
64 0 AP890619-0007  429 3.57395 LMwJMS_short 
64 0 AP890801-0109  430 3.56545 LMwJMS_short 
64 0 AP890119-0265  431 3.46360 LMwJMS_short 
64 0 AP890123-0230  432 3.46360 LMwJMS_short 
64 0 AP890131-0128  433 3.46360 LMwJMS_short 
64 0 AP890211-0117  434 3.46360 LMwJMS_short 
64 0 AP890223-0052  435 3.46360 LMwJMS_short 
64 0 AP890226-0011  436 3.46360 LMwJMS_short 
64 0 AP890302-0210  437 3.46360 LMwJMS_short 
64 0 AP890315-0253  438 3.46360 LMwJMS_short 
64 0 AP890325-0003  439 3.46360 LMwJMS_short 
64 0 AP890426-0122  440 3.46360 LMwJMS_short 
64 0 AP890508-0191  441 3.46360 LMwJMS_short 
64 0 AP890515-0014  442 3.46360 LMwJMS_short 
64 0 AP890516-0109  443 3.46360 LMwJMS_short 
64 0 AP890516-0160  444 3.46360 LMwJMS_short 
64 0 AP890517-0044  445 3.46360 LMwJMS_short 
64 0 AP890605-0023  446 3.46360 LMwJMS_short 
64 0 AP890715-0049  447 3.46360 LMwJMS_short 
64 0 AP890717-0184  448 3.46360 LMwJMS_short 
64 0 AP890729-0069  449 3.46360 LMwJMS_short 
64 0 AP890731-0061  450 3.46360 LMwJMS_short 
64 0 AP890817-0110  451 3.46360 LMwJMS_short 
64 0 AP890823-0117  452 3.46360 LMwJMS_short 
64 0 AP890901-0021  453 3.46360 LMwJMS_short 
64 0 AP890907-0210  454 3.46360 LMwJMS_short 
64 0 AP890925-0113  455 3.46360 LMwJMS_short 
64 0 AP891005-0206  456 3.46360 LMwJMS_short 
64 0 AP891013-0095  457 3.46360 LMwJMS_short 
64 0 AP891016-0202  458 3.46360 LMwJMS_short 
64 0 AP891027-0212  459 3.46360 LMwJMS_short 
64 0 AP891106-0196  460 3.46360 LMwJMS_short 
64 0 AP891116-0211  461 3.46360 LMwJMS_short 
64 0 AP891202-0114  462 3.46360 LMwJMS_short 
64 0 AP891220-0141  463 3.46360 LMwJMS_short 
64 0 AP891223-0111  464 3.46360 LMwJMS_short 
64 0 AP891224-0006  465 3.46360 LMwJMS_short 
64 0 AP890925-0100  466 3.40339 LMwJMS_short 
64 0 AP890121-0099  467 3.38877 LMwJMS_short 
64 0 AP890801-0037  468 3.38877 LMwJMS_short 
64 0 AP890805-0081  469 3.38877 LMwJMS_short 
64 0 AP890104-0190  470 3.32648 LMwJMS_short 
64 0 AP890124-0108  471 3.32648 LMwJMS_short 
64 0 AP890505-0090  472 3.32648 LMwJMS_short 
64 0 AP890529-0137  473 3.32648 LMwJMS_short 
64 0 AP890605-0049  474 3.32648 LMwJMS_short 
64 0 AP890730-0036  475 3.32648 LMwJMS_short 
64 0 AP890803-0124  476 3.32648 LMwJMS_short 
64 0 AP890807-0093  477 3.32648 LMwJMS_short 
64 0 AP890808-0106  478 3.32648 LMwJMS_short 
64 0 AP890808-0140  479 3.32648 LMwJMS_short 
64 0 AP891027-0115  480 3.32648 LMwJMS_short 
64 0 AP891219-0147  481 3.32648 LMwJMS_short 
64 0 AP891221-0053  482 3.32648 LMwJMS_short 
64 0 AP890925-0187  483 3.31503 LMwJMS_short 
64 0 AP890106-0194  484 3.28715 LMwJMS_short 
64 0 AP890117-0091  485 3.28715 LMwJMS_short 
64 0 AP890205-0038  486 3.28715 LMwJMS_short 
64 0 AP890206-0187  487 3.28715 LMwJMS_short 
64 0 AP890210-0126  488 3.28715 LMwJMS_short 
64 0 AP890210-0205  489 3.28715 LMwJMS_short 
64 0 AP890214-0069  490 3.28715 LMwJMS_short 
64 0 AP890301-0031  491 3.28715 LMwJMS_short 
64 0 AP890304-0104  492 3.28715 LMwJMS_short 
64 0 AP890319-0007  493 3.28715 LMwJMS_short 
64 0 AP890319-0078  494 3.28715 LMwJMS_short 
64 0 AP890327-0087  495 3.28715 LMwJMS_short 
64 0 AP890408-0038  496 3.28715 LMwJMS_short 
64 0 AP890505-0036  497 3.28715 LMwJMS_short 
64 0 AP890506-0048  498 3.28715 LMwJMS_short 
64 0 AP890622-0122  499 3.28715 LMwJMS_short 
64 0 AP890719-0071  500 3.28715 LMwJMS_short 
64 0 AP890731-0103  501 3.28715 LMwJMS_short 
64 0 AP890731-0114  502 3.28715 LMwJMS_short 
64 0 AP890803-0002  503 3.28715 LMwJMS_short 
64 0 AP890803-0100  504 3.28715 LMwJMS_short 
64 0 AP890803-0128  505 3.28715 LMwJMS_short 
64 0 AP890803-0147  506 3.28715 LMwJMS_short 
64 0 AP890807-0007  507 3.28715 LMwJMS_short 
64 0 AP890808-0012  508 3.28715 LMwJMS_short 
64 0 AP890814-0149  509 3.28715 LMwJMS_short 
64 0 AP890815-0139  510 3.28715 LMwJMS_short 
64 0 AP890815-0196  511 3.28715 LMwJMS_short 
64 0 AP890816-0049  512 3.28715 LMwJMS_short 
64 0 AP890901-0171  513 3.28715 LMwJMS_short 
64 0 AP890911-0054  514 3.28715 LMwJMS_short 
64 0 AP891014-0098  515 3.28715 LMwJMS_short 
64 0 AP891027-0160  516 3.28715 LMwJMS_short 
64 0 AP891031-0111  517 3.28715 LMwJMS_short 
64 0 AP891107-0112  518 3.28715 LMwJMS_short 
64 0 AP891107-0166  519 3.28715 LMwJMS_short 
64 0 AP891122-0171  520 3.28715 LMwJMS_short 
64 0 AP891128-0082  521 3.28715 LMwJMS_short 
64 0 AP891128-0201  522 3.28715 LMwJMS_short 
64 0 AP891214-0114  523 3.28715 LMwJMS_short 
64 0 AP891222-0033  524 3.28715 LMwJMS_short 
64 0 AP891223-0099  525 3.28715 LMwJMS_short 
64 0 AP891225-0026  526 3.28715 LMwJMS_short 
64 0 AP890111-0132  527 3.27572 LMwJMS_short 
64 0 AP890310-0154  528 3.27572 LMwJMS_short 
64 0 AP890531-0087  529 3.27572 LMwJMS_short 
64 0 AP890728-0283  530 3.27572 LMwJMS_short 
64 0 AP890815-0064  531 3.27572 LMwJMS_short 
64 0 AP890914-0108  532 3.27572 LMwJMS_short 
64 0 AP891010-0094  533 3.27572 LMwJMS_short 
64 0 AP890531-0105  534 3.24861 LMwJMS_short 
64 0 AP891223-0068  535 3.24861 LMwJMS_short 
64 0 AP890110-0118  536 3.17403 LMwJMS_short 
64 0 AP890120-0073  537 3.17403 LMwJMS_short 
64 0 AP890122-0055  538 3.17403 LMwJMS_short 
64 0 AP890123-0001  539 3.17403 LMwJMS_short 
64 0 AP890123-0233  540 3.17403 LMwJMS_short 
64 0 AP890131-0088  541 3.17403 LMwJMS_short 
64 0 AP890131-0135  542 3.17403 LMwJMS_short 
64 0 AP890203-0211  543 3.17403 LMwJMS_short 
64 0 AP890205-0036  544 3.17403 LMwJMS_short 
64 0 AP890209-0075  545 3.17403 LMwJMS_short 
64 0 AP890213-0105  546 3.17403 LMwJMS_short 
64 0 AP890215-0136  547 3.17403 LMwJMS_short 
64 0 AP890217-0072  548 3.17403 LMwJMS_short 
64 0 AP890228-0060  549 3.17403 LMwJMS_short 
64 0 AP890302-0205  550 3.17403 LMwJMS_short 
64 0 AP890313-0067  551 3.17403 LMwJMS_short 
64 0 AP890317-0042  552 3.17403 LMwJMS_short 
64 0 AP890322-0233  553 3.17403 LMwJMS_short 
64 0 AP890323-0002  554 3.17403 LMwJMS_short 
64 0 AP890323-0140  555 3.17403 LMwJMS_short 
64 0 AP890324-0196  556 3.17403 LMwJMS_short 
64 0 AP890325-0124  557 3.17403 LMwJMS_short 
64 0 AP890330-0104  558 3.17403 LMwJMS_short 
64 0 AP890401-0084  559 3.17403 LMwJMS_short 
64 0 AP890405-0097  560 3.17403 LMwJMS_short 
64 0 AP890405-0205  561 3.17403 LMwJMS_short 
64 0 AP890407-0170  562 3.17403 LMwJMS_short 
64 0 AP890413-0084  563 3.17403 LMwJMS_short 
64 0 AP890413-0103  564 3.17403 LMwJMS_short 
64 0 AP890419-0161  565 3.17403 LMwJMS_short 
64 0 AP890425-0133  566 3.17403 LMwJMS_short 
64 0 AP890429-0079  567 3.17403 LMwJMS_short 
64 0 AP890504-0105  568 3.17403 LMwJMS_short 
64 0 AP890505-0064  569 3.17403 LMwJMS_short 
64 0 AP890505-0084  570 3.17403 LMwJMS_short 
64 0 AP890506-0064  571 3.17403 LMwJMS_short 
64 0 AP890507-0029  572 3.17403 LMwJMS_short 
64 0 AP890515-0194  573 3.17403 LMwJMS_short 
64 0 AP890518-0094  574 3.17403 LMwJMS_short 
64 0 AP890521-0064  575 3.17403 LMwJMS_short 
64 0 AP890531-0088  576 3.17403 LMwJMS_short 
64 0 AP890603-0062  577 3.17403 LMwJMS_short 
64 0 AP890609-0008  578 3.17403 LMwJMS_short 
64 0 AP890609-0025  579 3.17403 LMwJMS_short 
64 0 AP890620-0033  580 3.17403 LMwJMS_short 
64 0 AP890624-0146  581 3.17403 LMwJMS_short 
64 0 AP890628-0137  582 3.17403 LMwJMS_short 
64 0 AP890708-0122  583 3.17403 LMwJMS_short 
64 0 AP890718-0191  584 3.17403 LMwJMS_short 
64 0 AP890718-0241  585 3.17403 LMwJMS_short 
64 0 AP890728-0121  586 3.17403 LMwJMS_short 
64 0 AP890731-0099  587 3.17403 LMwJMS_short 
64 0 AP890801-0006  588 3.17403 LMwJMS_short 
64 0 AP890801-0196  589 3.17403 LMwJMS_short 
64 0 AP890802-0171  590 3.17403 LMwJMS_short 
64 0 AP890802-0284  591 3.17403 LMwJMS_short 
64 0 AP890803-0286  592 3.17403 LMwJMS_short 
64 0 AP890803-0306  593 3.17403 LMwJMS_short 
64 0 AP890803-0332  594 3.17403 LMwJMS_short 
64 0 AP890804-0106  595 3.17403 LMwJMS_short 
64 0 AP890804-0128  596 3.17403 LMwJMS_short 
64 0 AP890805-0091  597 3.17403 LMwJMS_short 
64 0 AP890806-0065  598 3.17403 LMwJMS_short 
64 0 AP890808-0005  599 3.17403 LMwJMS_short 
64 0 AP890809-0143  600 3.17403 LMwJMS_short 
64 0 AP890817-0136  601 3.17403 LMwJMS_short 
64 0 AP890818-0008  602 3.17403 LMwJMS_short 
64 0 AP890818-0046  603 3.17403 LMwJMS_short 
64 0 AP890819-0129  604 3.17403 LMwJMS_short 
64 0 AP890904-0085  605 3.17403 LMwJMS_short 
64 0 AP890916-0149  606 3.17403 LMwJMS_short 
64 0 AP890927-0067  607 3.17403 LMwJMS_short 
64 0 AP890928-0072  608 3.17403 LMwJMS_short 
64 0 AP891005-0054  609 3.17403 LMwJMS_short 
64 0 AP891008-0078  610 3.17403 LMwJMS_short 
64 0 AP891013-0089  611 3.17403 LMwJMS_short 
64 0 AP891015-0013  612 3.17403 LMwJMS_short 
64 0 AP891026-0031  613 3.17403 LMwJMS_short 
64 0 AP891026-0198  614 3.17403 LMwJMS_short 
64 0 AP891027-0114  615 3.17403 LMwJMS_short 
64 0 AP891030-0188  616 3.17403 LMwJMS_short 
64 0 AP891102-0020  617 3.17403 LMwJMS_short 
64 0 AP891103-0077  618 3.17403 LMwJMS_short 
64 0 AP891105-0045  619 3.17403 LMwJMS_short 
64 0 AP891126-0045  620 3.17403 LMwJMS_short 
64 0 AP891201-0084  621 3.17403 LMwJMS_short 
64 0 AP891209-0080  622 3.17403 LMwJMS_short 
64 0 AP891211-0071  623 3.17403 LMwJMS_short 
64 0 AP891211-0142  624 3.17403 LMwJMS_short 
64 0 AP891214-0159  625 3.17403 LMwJMS_short 
64 0 AP891221-0111  626 3.17403 LMwJMS_short 
64 0 AP891223-0045  627 3.17403 LMwJMS_short 
64 0 AP891223-0109  628 3.17403 LMwJMS_short 
64 0 AP891224-0023  629 3.17403 LMwJMS_short 
64 0 AP890114-0055  630 3.16265 LMwJMS_short 
64 0 AP890117-0097  631 3.16265 LMwJMS_short 
64 0 AP890327-0030  632 3.16265 LMwJMS_short 
64 0 AP890329-0101  633 3.16265 LMwJMS_short 
64 0 AP890502-0156  634 3.16265 LMwJMS_short 
64 0 AP890510-0273  635 3.16265 LMwJMS_short 
64 0 AP890606-0133  636 3.16265 LMwJMS_short 
64 0 AP890613-0189  637 3.16265 LMwJMS_short 
64 0 AP890905-0013  638 3.16265 LMwJMS_short 
64 0 AP890926-0091  639 3.16265 LMwJMS_short 
64 0 AP890928-0260  640 3.16265 LMwJMS_short 
64 0 AP891005-0143  641 3.16265 LMwJMS_short 
64 0 AP891127-0056  642 3.16265 LMwJMS_short 
64 0 AP891214-0231  643 3.16265 LMwJMS_short 
64 0 AP891226-0002  644 3.16265 LMwJMS_short 
64 0 AP890726-0176  645 3.00056 LMwJMS_short 
